NOHCAPFK_00003	K01872
NOHCAPFK_00190	K04075
NOHCAPFK_00191	K07042
NOHCAPFK_00192	K09903
NOHCAPFK_00193	K04773
NOHCAPFK_00194	K02193
NOHCAPFK_00195	K02194
NOHCAPFK_00196	K00789
NOHCAPFK_00197	K08973
NOHCAPFK_00199	K12339
NOHCAPFK_00200	K01733
NOHCAPFK_00201	K00003
NOHCAPFK_00202	K08311
NOHCAPFK_00203	K19416
NOHCAPFK_00204	K01925
NOHCAPFK_00205	K00791
NOHCAPFK_00206	K00523
NOHCAPFK_00207	K05527
NOHCAPFK_00209	K01749
NOHCAPFK_00211	K01755
NOHCAPFK_00213	K02495
NOHCAPFK_00216	K04561
NOHCAPFK_00222	K00368
NOHCAPFK_00224	K07152
NOHCAPFK_00228	K00604
NOHCAPFK_00229	K13866
NOHCAPFK_00230	K03216
NOHCAPFK_00231	K03695
NOHCAPFK_00232	K03613
NOHCAPFK_00234	K02493
NOHCAPFK_00236	K01676
NOHCAPFK_00237	K03569
NOHCAPFK_00238	K03570
NOHCAPFK_00240	K05515
NOHCAPFK_00242	K00773
NOHCAPFK_00243	K06147
NOHCAPFK_00245	K03553
NOHCAPFK_00246	K11752
NOHCAPFK_00247	K13038
NOHCAPFK_00248	K02238
NOHCAPFK_00249	K02337
NOHCAPFK_00253	K17227
NOHCAPFK_00254	K17226
NOHCAPFK_00256	K01657
NOHCAPFK_00257	K03046
NOHCAPFK_00258	K03043
NOHCAPFK_00259	K02935
NOHCAPFK_00260	K02864
NOHCAPFK_00261	K02863
NOHCAPFK_00262	K02867
NOHCAPFK_00263	K02601
NOHCAPFK_00266	K02358
NOHCAPFK_00267	K16052
NOHCAPFK_00268	K06194
NOHCAPFK_00269	K19302
NOHCAPFK_00270	K01878
NOHCAPFK_00275	K00569
NOHCAPFK_00284	K02572
NOHCAPFK_00285	K02568
NOHCAPFK_00286	K02567
NOHCAPFK_00287	K02574
NOHCAPFK_00288	K02573
NOHCAPFK_00294	K03648
NOHCAPFK_00295	K10563
NOHCAPFK_00298	K05810
NOHCAPFK_00299	K06180
NOHCAPFK_00304	K00969
NOHCAPFK_00305	K09710
NOHCAPFK_00306	K00783
NOHCAPFK_00307	K01890
NOHCAPFK_00308	K04764
NOHCAPFK_00313	K07304
NOHCAPFK_00314	K21029
NOHCAPFK_00315	K00060
NOHCAPFK_00316	K00639
NOHCAPFK_00322	K02224
NOHCAPFK_00326	K01448
NOHCAPFK_00327	K06925
NOHCAPFK_00328	K07301
NOHCAPFK_00332	K00297
NOHCAPFK_00333	K02518
NOHCAPFK_00336	K01960
NOHCAPFK_00337	K01572
NOHCAPFK_00338	K01579
NOHCAPFK_00339	K09810
NOHCAPFK_00340	K09808
NOHCAPFK_00342	K00912
NOHCAPFK_00344	K00979
NOHCAPFK_00345	K01491
NOHCAPFK_00349	K01589
NOHCAPFK_00350	K01588
NOHCAPFK_00354	K02170
NOHCAPFK_00355	K00652
NOHCAPFK_00357	K03149
NOHCAPFK_00362	K03498
NOHCAPFK_00363	K03499
NOHCAPFK_00366	K03684
NOHCAPFK_00367	K01507
NOHCAPFK_00368	K08316
NOHCAPFK_00369	K00954
NOHCAPFK_00370	K04043
NOHCAPFK_00371	K03686
NOHCAPFK_00377	K00569
NOHCAPFK_00385	K02034
NOHCAPFK_00386	K02033
NOHCAPFK_00390	K00548
NOHCAPFK_00394	K03625
NOHCAPFK_00395	K00794
NOHCAPFK_00396	K14652
NOHCAPFK_00397	K00793
NOHCAPFK_00400	K03588
NOHCAPFK_00401	K02563
NOHCAPFK_00402	K01012
NOHCAPFK_00403	K01915
NOHCAPFK_00405	K01652
NOHCAPFK_00410	K03596
NOHCAPFK_00411	K03564
NOHCAPFK_00412	K00568
NOHCAPFK_00414	K00997
NOHCAPFK_00415	K03474
NOHCAPFK_00416	K03584
NOHCAPFK_00417	K03595
NOHCAPFK_00418	K03685
NOHCAPFK_00421	K06193
NOHCAPFK_00422	K00560
NOHCAPFK_00426	K03797
NOHCAPFK_00427	K03496
NOHCAPFK_00428	K03497
NOHCAPFK_00429	K03100
NOHCAPFK_00430	K11179
NOHCAPFK_00431	K00800
NOHCAPFK_00432	K04517
NOHCAPFK_00433	K00817
NOHCAPFK_00434	K14170
NOHCAPFK_00435	K00058
NOHCAPFK_00436	K00831
NOHCAPFK_00439	K19221
NOHCAPFK_00440	K04485
NOHCAPFK_00441	K07738
NOHCAPFK_00442	K00600
NOHCAPFK_00443	K03152
NOHCAPFK_00448	K00370
NOHCAPFK_00449	K02575
NOHCAPFK_00450	K02575
NOHCAPFK_00451	K03831
NOHCAPFK_00454	K14572
NOHCAPFK_00455	K01601
NOHCAPFK_00456	K21703
NOHCAPFK_00460	K01433
NOHCAPFK_00461	K00620
NOHCAPFK_00464	K02011
NOHCAPFK_00465	K02012
NOHCAPFK_00467	K00615
NOHCAPFK_00468	K00134
NOHCAPFK_00470	K00927
NOHCAPFK_00471	K00873
NOHCAPFK_00472	K01624
NOHCAPFK_00473	K03495
NOHCAPFK_00474	K03501
NOHCAPFK_00476	K03424
NOHCAPFK_00477	K06179
NOHCAPFK_00478	K03179
NOHCAPFK_00481	K22010
NOHCAPFK_00482	K03118
NOHCAPFK_00483	K03117
NOHCAPFK_00485	K01523
NOHCAPFK_00486	K11755
NOHCAPFK_00488	K00383
NOHCAPFK_00489	K02836
NOHCAPFK_00490	K02956
NOHCAPFK_00491	K02517
NOHCAPFK_00492	K02316
NOHCAPFK_00493	K03587
NOHCAPFK_00495	K03438
NOHCAPFK_00496	K03925
NOHCAPFK_00500	K01940
NOHCAPFK_00504	K02199
NOHCAPFK_00507	K00995
NOHCAPFK_00509	K01929
NOHCAPFK_00510	K01928
NOHCAPFK_00513	K01626
NOHCAPFK_00514	K09007
NOHCAPFK_00515	K01737
NOHCAPFK_00516	K02621
NOHCAPFK_00517	K00281
NOHCAPFK_00518	K02503
NOHCAPFK_00519	K17218
NOHCAPFK_00521	K09019
NOHCAPFK_00527	K03651
NOHCAPFK_00529	K01081
NOHCAPFK_00531	K01892
NOHCAPFK_00533	K03977
NOHCAPFK_00535	K01937
NOHCAPFK_00536	K11085
NOHCAPFK_00540	K00651
NOHCAPFK_00542	K14261
NOHCAPFK_00543	K01802
NOHCAPFK_00545	K01923
NOHCAPFK_00547	K19304
NOHCAPFK_00548	K00099
NOHCAPFK_00549	K00981
NOHCAPFK_00550	K00806
NOHCAPFK_00551	K02500
NOHCAPFK_00553	K02257
NOHCAPFK_00555	K07152
NOHCAPFK_00556	K02259
NOHCAPFK_00558	K02275
NOHCAPFK_00559	K02274
NOHCAPFK_00560	K02258
NOHCAPFK_00561	K02262
NOHCAPFK_00564	K00404
NOHCAPFK_00565	K00405
NOHCAPFK_00571	K00259
NOHCAPFK_00572	K00762
NOHCAPFK_00573	K01142
NOHCAPFK_00574	K03439
NOHCAPFK_00576	K11754
NOHCAPFK_00578	K00764
NOHCAPFK_00579	K10764
NOHCAPFK_00580	K01716
NOHCAPFK_00581	K00647
NOHCAPFK_00582	K03074
NOHCAPFK_00583	K03072
NOHCAPFK_00584	K03210
NOHCAPFK_00585	K01875
NOHCAPFK_00588	K21029
NOHCAPFK_00589	K07304
NOHCAPFK_00594	K04764
NOHCAPFK_00595	K01890
NOHCAPFK_00596	K01889
NOHCAPFK_00597	K02887
NOHCAPFK_00598	K02916
NOHCAPFK_00599	K02520
NOHCAPFK_00600	K01868
NOHCAPFK_00601	K03841
NOHCAPFK_00604	K20881
NOHCAPFK_00605	K01883
NOHCAPFK_00607	K06980
NOHCAPFK_00609	K09971
NOHCAPFK_00610	K09970
NOHCAPFK_00611	K10039
NOHCAPFK_00613	K02963
NOHCAPFK_00614	K02990
NOHCAPFK_00615	K16904
NOHCAPFK_00616	K09384
NOHCAPFK_00619	K03630
NOHCAPFK_00620	K05366
NOHCAPFK_00621	K14742
NOHCAPFK_00622	K02195
NOHCAPFK_00624	K02197
NOHCAPFK_00625	K02199
NOHCAPFK_00626	K03530
NOHCAPFK_00629	K03770
NOHCAPFK_00630	K00208
NOHCAPFK_00631	K12368
NOHCAPFK_00632	K03101
NOHCAPFK_00633	K03153
NOHCAPFK_00635	K07462
NOHCAPFK_00642	K00569
NOHCAPFK_00649	K03768
NOHCAPFK_00650	K02888
NOHCAPFK_00651	K02899
NOHCAPFK_00654	K00645
NOHCAPFK_00655	K00059
NOHCAPFK_00656	K22022
NOHCAPFK_00657	K11991
NOHCAPFK_00658	K01951
NOHCAPFK_00660	K01868
NOHCAPFK_00661	K04763
NOHCAPFK_00662	K08963
NOHCAPFK_00663	K00759
NOHCAPFK_00664	K00772
NOHCAPFK_00666	K03654
NOHCAPFK_00667	K00639
NOHCAPFK_00672	K03152
NOHCAPFK_00673	K01934
NOHCAPFK_00674	K06126
NOHCAPFK_00675	K03592
NOHCAPFK_00676	K09792
NOHCAPFK_00677	K06189
NOHCAPFK_00678	K09801
NOHCAPFK_00679	K01814
NOHCAPFK_00681	K04764
NOHCAPFK_00682	K01890
NOHCAPFK_00683	K01889
NOHCAPFK_00684	K02887
NOHCAPFK_00685	K02916
NOHCAPFK_00687	K02503
NOHCAPFK_00688	K03111
NOHCAPFK_00690	K05807
NOHCAPFK_00691	K02835
NOHCAPFK_00692	K09816
NOHCAPFK_00693	K03711
NOHCAPFK_00698	K22132
NOHCAPFK_00699	K03424
NOHCAPFK_00700	K02871
NOHCAPFK_00701	K02996
NOHCAPFK_00703	K02226
NOHCAPFK_00704	K00057
NOHCAPFK_00705	K03676
NOHCAPFK_00707	K01658
NOHCAPFK_00708	K15256
NOHCAPFK_00710	K03655
NOHCAPFK_00712	K02078
NOHCAPFK_00713	K09458
NOHCAPFK_00715	K01414
NOHCAPFK_00726	K09780
NOHCAPFK_00727	K17725
NOHCAPFK_00735	K09019
NOHCAPFK_00736	K07263
NOHCAPFK_00737	K11749
NOHCAPFK_00738	K07277
NOHCAPFK_00740	K02536
NOHCAPFK_00741	K02372
NOHCAPFK_00742	K00677
NOHCAPFK_00743	K03980
NOHCAPFK_00746	K00275
NOHCAPFK_00747	K00014
NOHCAPFK_00748	K08300
NOHCAPFK_00749	K00059
NOHCAPFK_00751	K00655
NOHCAPFK_00753	K03683
NOHCAPFK_00756	K01972
NOHCAPFK_00765	K12368
NOHCAPFK_00766	K00208
NOHCAPFK_00767	K03770
NOHCAPFK_00770	K03530
NOHCAPFK_00771	K02199
NOHCAPFK_00772	K02197
NOHCAPFK_00774	K02195
NOHCAPFK_00775	K14742
NOHCAPFK_00776	K05366
NOHCAPFK_00777	K03630
NOHCAPFK_00781	K00333
NOHCAPFK_00782	K00332
NOHCAPFK_00783	K00331
NOHCAPFK_00784	K00330
NOHCAPFK_00785	K03568
NOHCAPFK_00786	K00564
NOHCAPFK_00787	K07390
NOHCAPFK_00788	K07043
NOHCAPFK_00791	K01952
NOHCAPFK_00792	K02469
NOHCAPFK_00794	K02837
NOHCAPFK_00795	K01493
NOHCAPFK_00796	K01000
NOHCAPFK_00797	K01802
NOHCAPFK_00798	K00052
NOHCAPFK_00803	K00384
NOHCAPFK_00808	K02335
NOHCAPFK_00809	K01887
NOHCAPFK_00810	K16898
NOHCAPFK_00811	K00525
NOHCAPFK_00812	K00526
NOHCAPFK_00814	K06917
NOHCAPFK_00815	K01008
NOHCAPFK_00816	K19158
NOHCAPFK_00817	K19159
NOHCAPFK_00819	K07160
NOHCAPFK_00820	K06351
NOHCAPFK_00821	K06350
NOHCAPFK_00825	K07234
NOHCAPFK_00827	K01872
NOHCAPFK_00831	K07462
NOHCAPFK_00833	K03153
NOHCAPFK_00834	K03101
NOHCAPFK_00835	K12368
NOHCAPFK_00836	K00208
NOHCAPFK_00837	K03770
NOHCAPFK_00840	K03530
NOHCAPFK_00841	K02199
NOHCAPFK_00842	K02197
NOHCAPFK_00844	K02195
NOHCAPFK_00845	K14742
NOHCAPFK_00846	K05366
NOHCAPFK_00847	K03630
NOHCAPFK_00850	K02198
NOHCAPFK_00852	K01439
NOHCAPFK_00853	K00554
NOHCAPFK_00854	K04751
NOHCAPFK_00858	K09019
NOHCAPFK_00860	K00602
NOHCAPFK_00862	K00835
NOHCAPFK_00866	K05591
NOHCAPFK_00867	K02314
NOHCAPFK_00868	K02939
NOHCAPFK_00869	K02963
NOHCAPFK_00870	K02990
NOHCAPFK_00871	K00824
NOHCAPFK_00872	K07258
NOHCAPFK_00873	K08305
NOHCAPFK_00875	K02482
NOHCAPFK_00876	K00788
NOHCAPFK_00880	K00759
NOHCAPFK_00881	K08963
NOHCAPFK_00882	K04763
NOHCAPFK_00883	K02884
