AGBCBMFN_00001	K18979
AGBCBMFN_00251	K01409
AGBCBMFN_00252	K00057
AGBCBMFN_00254	K01251
AGBCBMFN_00256	K07042
AGBCBMFN_00257	K06217
AGBCBMFN_00258	K06168
AGBCBMFN_00259	K00208
AGBCBMFN_00260	K00647
AGBCBMFN_00261	K01716
AGBCBMFN_00262	K09825
AGBCBMFN_00264	K16898
AGBCBMFN_00265	K03671
AGBCBMFN_00266	K01419
AGBCBMFN_00268	K03667
AGBCBMFN_00270	K00111
AGBCBMFN_00272	K03442
AGBCBMFN_00273	K02035
AGBCBMFN_00274	K02033
AGBCBMFN_00275	K02034
AGBCBMFN_00276	K02031
AGBCBMFN_00280	K09815
AGBCBMFN_00281	K09823
AGBCBMFN_00282	K09817
AGBCBMFN_00283	K09816
AGBCBMFN_00285	K05606
AGBCBMFN_00287	K01876
AGBCBMFN_00289	K01657
AGBCBMFN_00290	K01955
AGBCBMFN_00293	K18707
AGBCBMFN_00294	K01778
AGBCBMFN_00298	K00265
AGBCBMFN_00300	K07393
AGBCBMFN_00301	K06911
AGBCBMFN_00302	K13892
AGBCBMFN_00303	K01295
AGBCBMFN_00304	K01436
AGBCBMFN_00306	K03639
AGBCBMFN_00309	K07107
AGBCBMFN_00310	K03562
AGBCBMFN_00311	K03559
AGBCBMFN_00313	K03641
AGBCBMFN_00314	K01869
AGBCBMFN_00317	K02114
AGBCBMFN_00318	K02112
AGBCBMFN_00319	K02115
AGBCBMFN_00320	K07646
AGBCBMFN_00321	K07714
AGBCBMFN_00323	K19302
AGBCBMFN_00326	K07335
AGBCBMFN_00327	K02056
AGBCBMFN_00328	K02057
AGBCBMFN_00329	K02057
AGBCBMFN_00330	K01485
AGBCBMFN_00332	K13821
AGBCBMFN_00333	K18258
AGBCBMFN_00334	K01476
AGBCBMFN_00335	K02062
AGBCBMFN_00339	K04079
AGBCBMFN_00340	K02481
AGBCBMFN_00342	K03470
AGBCBMFN_00343	K00571
AGBCBMFN_00344	K00496
AGBCBMFN_00346	K03575
AGBCBMFN_00349	K18703
AGBCBMFN_00350	K00912
AGBCBMFN_00353	K02884
AGBCBMFN_00357	K06929
AGBCBMFN_00359	K00040
AGBCBMFN_00362	K03630
AGBCBMFN_00364	K05592
AGBCBMFN_00368	K17509
AGBCBMFN_00370	K07447
AGBCBMFN_00374	K07090
AGBCBMFN_00377	K05770
AGBCBMFN_00378	K02291
AGBCBMFN_00379	K02063
AGBCBMFN_00380	K02064
AGBCBMFN_00385	K06145
AGBCBMFN_00390	K02523
AGBCBMFN_00391	K00919
AGBCBMFN_00393	K00311
AGBCBMFN_00394	K11610
AGBCBMFN_00395	K01556
AGBCBMFN_00396	K07240
AGBCBMFN_00397	K07010
AGBCBMFN_00399	K01638
AGBCBMFN_00400	K06188
AGBCBMFN_00402	K08683
AGBCBMFN_00404	K07090
AGBCBMFN_00405	K02057
AGBCBMFN_00406	K02057
AGBCBMFN_00407	K02056
AGBCBMFN_00408	K07335
AGBCBMFN_00409	K03789
AGBCBMFN_00411	K22074
AGBCBMFN_00413	K00826
AGBCBMFN_00414	K01867
AGBCBMFN_00416	K03980
AGBCBMFN_00417	K00990
AGBCBMFN_00419	K07056
AGBCBMFN_00421	K01920
AGBCBMFN_00422	K07391
AGBCBMFN_00423	K03936
AGBCBMFN_00424	K00333
AGBCBMFN_00425	K03943
AGBCBMFN_00428	K03942
AGBCBMFN_00431	K03934
AGBCBMFN_00432	K00337
AGBCBMFN_00433	K03941
AGBCBMFN_00435	K00339
AGBCBMFN_00436	K00340
AGBCBMFN_00437	K00341
AGBCBMFN_00438	K00342
AGBCBMFN_00439	K00343
AGBCBMFN_00440	K03524
AGBCBMFN_00441	K03525
AGBCBMFN_00442	K12574
AGBCBMFN_00443	K05592
AGBCBMFN_00444	K07018
AGBCBMFN_00445	K13643
AGBCBMFN_00446	K04487
AGBCBMFN_00447	K09014
AGBCBMFN_00448	K09013
AGBCBMFN_00449	K09015
AGBCBMFN_00452	K11717
AGBCBMFN_00456	K00605
AGBCBMFN_00457	K06942
AGBCBMFN_00458	K01695
AGBCBMFN_00460	K00101
AGBCBMFN_00461	K03750
AGBCBMFN_00462	K01356
AGBCBMFN_00463	K02238
AGBCBMFN_00465	K01885
AGBCBMFN_00466	K01647
AGBCBMFN_00467	K08299
AGBCBMFN_00469	K10805
AGBCBMFN_00470	K01715
AGBCBMFN_00471	K00799
AGBCBMFN_00473	K08869
AGBCBMFN_00474	K04768
AGBCBMFN_00475	K01693
AGBCBMFN_00476	K02501
AGBCBMFN_00477	K01814
AGBCBMFN_00478	K02500
AGBCBMFN_00479	K11755
AGBCBMFN_00481	K00613
AGBCBMFN_00483	K02028
AGBCBMFN_00486	K02316
AGBCBMFN_00487	K00261
AGBCBMFN_00488	K00020
AGBCBMFN_00490	K00003
AGBCBMFN_00491	K02446
AGBCBMFN_00501	K03665
AGBCBMFN_00502	K03666
AGBCBMFN_00503	K03498
AGBCBMFN_00504	K03499
AGBCBMFN_00505	K13599
AGBCBMFN_00508	K00059
AGBCBMFN_00510	K13247
AGBCBMFN_00514	K00297
AGBCBMFN_00515	K03576
AGBCBMFN_00516	K03704
AGBCBMFN_00520	K09930
AGBCBMFN_00522	K01868
AGBCBMFN_00523	K13702
AGBCBMFN_00525	K00432
AGBCBMFN_00526	K08602
AGBCBMFN_00528	K10747
AGBCBMFN_00530	K02510
AGBCBMFN_00533	K17675
AGBCBMFN_00534	K04762
AGBCBMFN_00535	K05524
AGBCBMFN_00536	K07736
AGBCBMFN_00539	K00059
AGBCBMFN_00540	K03657
AGBCBMFN_00541	K00101
AGBCBMFN_00542	K01958
AGBCBMFN_00543	K01436
AGBCBMFN_00544	K04765
AGBCBMFN_00545	K01250
AGBCBMFN_00546	K08997
AGBCBMFN_00548	K05592
AGBCBMFN_00549	K03711
AGBCBMFN_00550	K11390
AGBCBMFN_00551	K00128
AGBCBMFN_00553	K13954
AGBCBMFN_00554	K00605
AGBCBMFN_00555	K08351
AGBCBMFN_00558	K00330
AGBCBMFN_00559	K01968
AGBCBMFN_00560	K01969
AGBCBMFN_00562	K00253
AGBCBMFN_00565	K01091
AGBCBMFN_00566	K04042
AGBCBMFN_00567	K00820
AGBCBMFN_00569	K12410
AGBCBMFN_00570	K02028
AGBCBMFN_00571	K10009
AGBCBMFN_00572	K10009
AGBCBMFN_00576	K00605
AGBCBMFN_00579	K01799
AGBCBMFN_00580	K01274
AGBCBMFN_00582	K01610
AGBCBMFN_00584	K01915
AGBCBMFN_00585	K00820
AGBCBMFN_00587	K00265
AGBCBMFN_00590	K01776
AGBCBMFN_00591	K00145
AGBCBMFN_00592	K02197
AGBCBMFN_00593	K02198
AGBCBMFN_00595	K15866
AGBCBMFN_00596	K00019
AGBCBMFN_00600	K01951
AGBCBMFN_00604	K03644
AGBCBMFN_00605	K10112
AGBCBMFN_00607	K02027
AGBCBMFN_00608	K17245
AGBCBMFN_00609	K10119
AGBCBMFN_00610	K07406
AGBCBMFN_00611	K13370
AGBCBMFN_00612	K00883
AGBCBMFN_00617	K01755
AGBCBMFN_00620	K00812
AGBCBMFN_00622	K01586
AGBCBMFN_00625	K09812
AGBCBMFN_00627	K00655
AGBCBMFN_00628	K07006
AGBCBMFN_00629	K01938
AGBCBMFN_00630	K01491
AGBCBMFN_00634	K19073
AGBCBMFN_00637	K03406
AGBCBMFN_00638	K02035
AGBCBMFN_00639	K02033
AGBCBMFN_00640	K02034
AGBCBMFN_00641	K02031
AGBCBMFN_00642	K03797
AGBCBMFN_00644	K15633
AGBCBMFN_00645	K00783
AGBCBMFN_00646	K09710
AGBCBMFN_00647	K01703
AGBCBMFN_00648	K01704
AGBCBMFN_00649	K00052
AGBCBMFN_00651	K08281
AGBCBMFN_00652	K00763
AGBCBMFN_00653	K06902
AGBCBMFN_00654	K07261
AGBCBMFN_00655	K15034
AGBCBMFN_00657	K03654
AGBCBMFN_00658	K09861
AGBCBMFN_00659	K15986
AGBCBMFN_00660	K10112
AGBCBMFN_00663	K00249
AGBCBMFN_00665	K03782
AGBCBMFN_00666	K04761
AGBCBMFN_00667	K01070
AGBCBMFN_00671	K01486
AGBCBMFN_00673	K21085
AGBCBMFN_00678	K02488
AGBCBMFN_00679	K01908
AGBCBMFN_00680	K01426
AGBCBMFN_00684	K03595
AGBCBMFN_00685	K03685
AGBCBMFN_00686	K03100
AGBCBMFN_00687	K00997
AGBCBMFN_00688	K03474
AGBCBMFN_00689	K09928
AGBCBMFN_00690	K11407
AGBCBMFN_00694	K00573
AGBCBMFN_00698	K02356
AGBCBMFN_00699	K07149
AGBCBMFN_00700	K22073
AGBCBMFN_00701	K09810
AGBCBMFN_00702	K09808
AGBCBMFN_00703	K00817
AGBCBMFN_00704	K00830
AGBCBMFN_00706	K00073
AGBCBMFN_00711	K04072
AGBCBMFN_00712	K22133
AGBCBMFN_00715	K00830
AGBCBMFN_00716	K03336
AGBCBMFN_00718	K01243
AGBCBMFN_00720	K09125
AGBCBMFN_00724	K23003
AGBCBMFN_00726	K19265
AGBCBMFN_00727	K01686
AGBCBMFN_00728	K00073
AGBCBMFN_00729	K00010
AGBCBMFN_00732	K00015
AGBCBMFN_00735	K05595
AGBCBMFN_00736	K06158
AGBCBMFN_00737	K00940
AGBCBMFN_00739	K00812
AGBCBMFN_00740	K01883
AGBCBMFN_00741	K03043
AGBCBMFN_00742	K03046
AGBCBMFN_00743	K03046
AGBCBMFN_00745	K02435
AGBCBMFN_00746	K02433
AGBCBMFN_00748	K11066
AGBCBMFN_00749	K02913
AGBCBMFN_00750	K06890
AGBCBMFN_00752	K18649
AGBCBMFN_00753	K12960
AGBCBMFN_00754	K01487
AGBCBMFN_00755	K06213
AGBCBMFN_00756	K01934
AGBCBMFN_00758	K09769
AGBCBMFN_00763	K06895
AGBCBMFN_00766	K02167
AGBCBMFN_00767	K00130
AGBCBMFN_00768	K00108
AGBCBMFN_00769	K07110
AGBCBMFN_00770	K07552
AGBCBMFN_00771	K01966
AGBCBMFN_00774	K01965
AGBCBMFN_00776	K01847
AGBCBMFN_00780	K01524
AGBCBMFN_00790	K02424
AGBCBMFN_00791	K02028
AGBCBMFN_00792	K02028
AGBCBMFN_00793	K02029
AGBCBMFN_00796	K00024
AGBCBMFN_00797	K01903
AGBCBMFN_00798	K01902
AGBCBMFN_00799	K00164
AGBCBMFN_00800	K00658
AGBCBMFN_00801	K00382
AGBCBMFN_00802	K03798
AGBCBMFN_00804	K03405
AGBCBMFN_00805	K03404
AGBCBMFN_00808	K00548
AGBCBMFN_00809	K00548
AGBCBMFN_00811	K02426
AGBCBMFN_00812	K03684
AGBCBMFN_00813	K11175
AGBCBMFN_00814	K01933
AGBCBMFN_00819	K16291
AGBCBMFN_00820	K16786
AGBCBMFN_00821	K16783
AGBCBMFN_00822	K03523
AGBCBMFN_00823	K00626
AGBCBMFN_00824	K01897
AGBCBMFN_00825	K02479
AGBCBMFN_00828	K02401
AGBCBMFN_00830	K04096
AGBCBMFN_00831	K03168
AGBCBMFN_00832	K01028
AGBCBMFN_00833	K01029
AGBCBMFN_00837	K01436
AGBCBMFN_00839	K00077
AGBCBMFN_00840	K00013
AGBCBMFN_00844	K01644
AGBCBMFN_00845	K07695
AGBCBMFN_00846	K01879
AGBCBMFN_00847	K01006
AGBCBMFN_00849	K01881
AGBCBMFN_00850	K09966
AGBCBMFN_00852	K01956
AGBCBMFN_00854	K00241
AGBCBMFN_00856	K00239
AGBCBMFN_00857	K00240
AGBCBMFN_00858	K00796
AGBCBMFN_00859	K03431
AGBCBMFN_00861	K08483
AGBCBMFN_00862	K01870
AGBCBMFN_00863	K11991
AGBCBMFN_00867	K01754
AGBCBMFN_00868	K22468
AGBCBMFN_00872	K06958
AGBCBMFN_00874	K11189
AGBCBMFN_00876	K00074
AGBCBMFN_00878	K00666
AGBCBMFN_00879	K09747
AGBCBMFN_00880	K06187
AGBCBMFN_00881	K09987
AGBCBMFN_00882	K01166
AGBCBMFN_00884	K00627
AGBCBMFN_00885	K00162
AGBCBMFN_00886	K00161
AGBCBMFN_00887	K11209
AGBCBMFN_00888	K06190
AGBCBMFN_00890	K03110
AGBCBMFN_00892	K01687
AGBCBMFN_00893	K00019
AGBCBMFN_00898	K02899
AGBCBMFN_00899	K11249
AGBCBMFN_00902	K03979
AGBCBMFN_00903	K00931
AGBCBMFN_00904	K00147
AGBCBMFN_00906	K01624
AGBCBMFN_00908	K06147
AGBCBMFN_00912	K00020
AGBCBMFN_00913	K03072
AGBCBMFN_00914	K03074
AGBCBMFN_00917	K02193
AGBCBMFN_00918	K02194
AGBCBMFN_00919	K01738
AGBCBMFN_00920	K02195
AGBCBMFN_00922	K02199
AGBCBMFN_00923	K01681
AGBCBMFN_00924	K00259
AGBCBMFN_00925	K03282
AGBCBMFN_00927	K01890
AGBCBMFN_00928	K00097
AGBCBMFN_00929	K02528
AGBCBMFN_00931	K02493
AGBCBMFN_00932	K02835
AGBCBMFN_00936	K01939
AGBCBMFN_00949	K01619
AGBCBMFN_00954	K22443
AGBCBMFN_00957	K01924
AGBCBMFN_00960	K21309
AGBCBMFN_00961	K21308
AGBCBMFN_00962	K21307
AGBCBMFN_00964	K01647
AGBCBMFN_00965	K00108
AGBCBMFN_00966	K01782
AGBCBMFN_00968	K00626
AGBCBMFN_00970	K00255
AGBCBMFN_00972	K09815
AGBCBMFN_00976	K02032
AGBCBMFN_00977	K00106
AGBCBMFN_00978	K07402
AGBCBMFN_00979	K02056
AGBCBMFN_00980	K02057
AGBCBMFN_00981	K02057
AGBCBMFN_00982	K02058
AGBCBMFN_00983	K22895
AGBCBMFN_00985	K11209
AGBCBMFN_00988	K18893
AGBCBMFN_00989	K18893
AGBCBMFN_00990	K01644
AGBCBMFN_00991	K01962
AGBCBMFN_00993	K07043
AGBCBMFN_01004	K02337
AGBCBMFN_01011	K02588
AGBCBMFN_01012	K01919
AGBCBMFN_01014	K09761
AGBCBMFN_01015	K06125
AGBCBMFN_01018	K03635
AGBCBMFN_01019	K03636
AGBCBMFN_01020	K00995
AGBCBMFN_01021	K01897
AGBCBMFN_01022	K11073
AGBCBMFN_01023	K11076
AGBCBMFN_01024	K11075
AGBCBMFN_01025	K11074
AGBCBMFN_01028	K07304
AGBCBMFN_01030	K03769
AGBCBMFN_01031	K03070
AGBCBMFN_01033	K11473
AGBCBMFN_01034	K11472
AGBCBMFN_01035	K00104
AGBCBMFN_01038	K06041
AGBCBMFN_01039	K00979
AGBCBMFN_01040	K01627
AGBCBMFN_01042	K00942
AGBCBMFN_01044	K01760
AGBCBMFN_01045	K07636
AGBCBMFN_01047	K12661
AGBCBMFN_01052	K00314
AGBCBMFN_01055	K01998
AGBCBMFN_01056	K01995
AGBCBMFN_01057	K01996
AGBCBMFN_01058	K01740
AGBCBMFN_01060	K09971
AGBCBMFN_01061	K09972
AGBCBMFN_01064	K00930
AGBCBMFN_01065	K03978
AGBCBMFN_01067	K03217
AGBCBMFN_01071	K01591
AGBCBMFN_01072	K03695
AGBCBMFN_01073	K07147
AGBCBMFN_01075	K17246
AGBCBMFN_01076	K17245
AGBCBMFN_01077	K05813
AGBCBMFN_01078	K10112
AGBCBMFN_01081	K05813
AGBCBMFN_01082	K05814
AGBCBMFN_01083	K05815
AGBCBMFN_01084	K03520
AGBCBMFN_01085	K01095
AGBCBMFN_01086	K01770
AGBCBMFN_01087	K00991
AGBCBMFN_01088	K03218
AGBCBMFN_01089	K14652
AGBCBMFN_01090	K02895
AGBCBMFN_01091	K02874
AGBCBMFN_01092	K02961
AGBCBMFN_01093	K02904
AGBCBMFN_01094	K02878
AGBCBMFN_01095	K02982
AGBCBMFN_01096	K02890
AGBCBMFN_01097	K02965
AGBCBMFN_01099	K08998
AGBCBMFN_01100	K14058
AGBCBMFN_01102	K07712
AGBCBMFN_01109	K14441
AGBCBMFN_01110	K18204
AGBCBMFN_01111	K03790
AGBCBMFN_01113	K14607
AGBCBMFN_01114	K00823
AGBCBMFN_01115	K01816
AGBCBMFN_01116	K00001
AGBCBMFN_01117	K07250
AGBCBMFN_01118	K01247
AGBCBMFN_01119	K06999
AGBCBMFN_01121	K02871
AGBCBMFN_01125	K02388
AGBCBMFN_01126	K02387
AGBCBMFN_01130	K00210
AGBCBMFN_01131	K00817
AGBCBMFN_01132	K03787
AGBCBMFN_01133	K00573
AGBCBMFN_01134	K06194
AGBCBMFN_01135	K06923
AGBCBMFN_01136	K03118
AGBCBMFN_01140	K02357
AGBCBMFN_01141	K02967
AGBCBMFN_01145	K16329
AGBCBMFN_01148	K00059
AGBCBMFN_01149	K13893
AGBCBMFN_01151	K01896
AGBCBMFN_01154	K00525
AGBCBMFN_01156	K00108
AGBCBMFN_01158	K03885
AGBCBMFN_01160	K00982
AGBCBMFN_01162	K00065
AGBCBMFN_01167	K02529
AGBCBMFN_01168	K00065
AGBCBMFN_01170	K00013
AGBCBMFN_01172	K17320
AGBCBMFN_01173	K02025
AGBCBMFN_01175	K00059
AGBCBMFN_01176	K00764
AGBCBMFN_01178	K04485
AGBCBMFN_01179	K02065
AGBCBMFN_01180	K02066
AGBCBMFN_01181	K01775
AGBCBMFN_01182	K02314
AGBCBMFN_01184	K01465
AGBCBMFN_01186	K07161
AGBCBMFN_01187	K01142
AGBCBMFN_01189	K07658
AGBCBMFN_01190	K14652
AGBCBMFN_01194	K00411
AGBCBMFN_01195	K00412
AGBCBMFN_01196	K00413
AGBCBMFN_01200	K10112
AGBCBMFN_01201	K10119
AGBCBMFN_01202	K10118
AGBCBMFN_01204	K06147
AGBCBMFN_01206	K02012
AGBCBMFN_01207	K01662
AGBCBMFN_01210	K17245
AGBCBMFN_01211	K10119
AGBCBMFN_01213	K00248
AGBCBMFN_01214	K13247
AGBCBMFN_01215	K00059
AGBCBMFN_01218	K02427
AGBCBMFN_01219	K01524
AGBCBMFN_01222	K00548
AGBCBMFN_01225	K18384
AGBCBMFN_01226	K00382
AGBCBMFN_01229	K07568
AGBCBMFN_01231	K03527
AGBCBMFN_01234	K03469
AGBCBMFN_01235	K00266
AGBCBMFN_01236	K17723
AGBCBMFN_01237	K09017
AGBCBMFN_01238	K09017
AGBCBMFN_01239	K02083
AGBCBMFN_01240	K01464
AGBCBMFN_01241	K02049
AGBCBMFN_01243	K02049
AGBCBMFN_01246	K01483
AGBCBMFN_01247	K13485
AGBCBMFN_01248	K07127
AGBCBMFN_01250	K01714
AGBCBMFN_01251	K03110
AGBCBMFN_01253	K06190
AGBCBMFN_01254	K11209
AGBCBMFN_01255	K10764
AGBCBMFN_01256	K09007
AGBCBMFN_01257	K03498
AGBCBMFN_01258	K00666
AGBCBMFN_01262	K00344
AGBCBMFN_01263	K01847
AGBCBMFN_01264	K18852
AGBCBMFN_01265	K00008
AGBCBMFN_01266	K00046
AGBCBMFN_01269	K07266
AGBCBMFN_01270	K01057
AGBCBMFN_01271	K00036
AGBCBMFN_01272	K09001
AGBCBMFN_01273	K01866
AGBCBMFN_01274	K03768
AGBCBMFN_01275	K03767
AGBCBMFN_01276	K00927
AGBCBMFN_01279	K07402
AGBCBMFN_01280	K07161
AGBCBMFN_01283	K03518
AGBCBMFN_01284	K03519
AGBCBMFN_01285	K11527
AGBCBMFN_01288	K00031
AGBCBMFN_01291	K01714
AGBCBMFN_01293	K00097
AGBCBMFN_01294	K00135
AGBCBMFN_01295	K11163
AGBCBMFN_01297	K00428
AGBCBMFN_01300	K21393
AGBCBMFN_01302	K07636
AGBCBMFN_01306	K06167
AGBCBMFN_01307	K03424
AGBCBMFN_01308	K02343
AGBCBMFN_01309	K00943
AGBCBMFN_01310	K01241
AGBCBMFN_01311	K03530
AGBCBMFN_01315	K00102
AGBCBMFN_01316	K03631
AGBCBMFN_01321	K07657
AGBCBMFN_01323	K01754
AGBCBMFN_01324	K01940
AGBCBMFN_01326	K06941
AGBCBMFN_01328	K01424
AGBCBMFN_01329	K06181
AGBCBMFN_01330	K00833
AGBCBMFN_01331	K03664
AGBCBMFN_01332	K01011
AGBCBMFN_01333	K00813
AGBCBMFN_01334	K00864
AGBCBMFN_01339	K00219
AGBCBMFN_01341	K01769
AGBCBMFN_01350	K01092
AGBCBMFN_01352	K09796
AGBCBMFN_01355	K00020
AGBCBMFN_01359	K01652
AGBCBMFN_01362	K09760
AGBCBMFN_01363	K03572
AGBCBMFN_01366	K05607
AGBCBMFN_01367	K00059
AGBCBMFN_01368	K00059
AGBCBMFN_01369	K03592
AGBCBMFN_01370	K01092
AGBCBMFN_01372	K03088
AGBCBMFN_01373	K00574
AGBCBMFN_01376	K00044
AGBCBMFN_01377	K00290
AGBCBMFN_01379	K07277
AGBCBMFN_01381	K02372
AGBCBMFN_01382	K00677
AGBCBMFN_01384	K00748
AGBCBMFN_01386	K00020
AGBCBMFN_01387	K05605
AGBCBMFN_01388	K11538
AGBCBMFN_01389	K00140
AGBCBMFN_01392	K00954
AGBCBMFN_01393	K00134
AGBCBMFN_01394	K00134
AGBCBMFN_01395	K00615
AGBCBMFN_01398	K07390
AGBCBMFN_01400	K01952
AGBCBMFN_01401	K01754
AGBCBMFN_01402	K01271
AGBCBMFN_01403	K01799
AGBCBMFN_01405	K00179
AGBCBMFN_01406	K02028
AGBCBMFN_01407	K02029
AGBCBMFN_01416	K11960
AGBCBMFN_01417	K01998
AGBCBMFN_01418	K06861
AGBCBMFN_01419	K01996
AGBCBMFN_01421	K03088
AGBCBMFN_01429	K01874
AGBCBMFN_01431	K00101
AGBCBMFN_01432	K01652
AGBCBMFN_01434	K00605
AGBCBMFN_01440	K19221
AGBCBMFN_01441	K02232
AGBCBMFN_01445	K00001
AGBCBMFN_01446	K08151
AGBCBMFN_01447	K00128
AGBCBMFN_01448	K02031
AGBCBMFN_01449	K02034
AGBCBMFN_01450	K02033
AGBCBMFN_01451	K12368
AGBCBMFN_01453	K07232
AGBCBMFN_01455	K02557
AGBCBMFN_01457	K04080
AGBCBMFN_01459	K00215
AGBCBMFN_01461	K03469
AGBCBMFN_01462	K11749
AGBCBMFN_01463	K00099
AGBCBMFN_01466	K08316
AGBCBMFN_01467	K00529
AGBCBMFN_01469	K01724
AGBCBMFN_01470	K09919
AGBCBMFN_01473	K04754
AGBCBMFN_01477	K00681
