FEKHAPIA_00004	K01869
FEKHAPIA_00211	K06153
FEKHAPIA_00212	K11928
FEKHAPIA_00214	K03088
FEKHAPIA_00220	K07011
FEKHAPIA_00223	K03210
FEKHAPIA_00224	K01462
FEKHAPIA_00225	K00604
FEKHAPIA_00228	K03665
FEKHAPIA_00229	K11102
FEKHAPIA_00230	K14387
FEKHAPIA_00233	K01591
FEKHAPIA_00234	K00762
FEKHAPIA_00235	K14676
FEKHAPIA_00236	K04084
FEKHAPIA_00237	K04771
FEKHAPIA_00238	K01870
FEKHAPIA_00240	K03101
FEKHAPIA_00241	K06180
FEKHAPIA_00242	K03733
FEKHAPIA_00243	K01610
FEKHAPIA_00245	K11720
FEKHAPIA_00246	K03310
FEKHAPIA_00247	K17497
FEKHAPIA_00248	K13789
FEKHAPIA_00250	K09458
FEKHAPIA_00251	K02078
FEKHAPIA_00252	K00059
FEKHAPIA_00253	K00645
FEKHAPIA_00255	K00940
FEKHAPIA_00256	K01902
FEKHAPIA_00257	K01903
FEKHAPIA_00258	K00294
FEKHAPIA_00259	K05540
FEKHAPIA_00260	K02902
FEKHAPIA_00261	K02434
FEKHAPIA_00262	K01681
FEKHAPIA_00263	K06287
FEKHAPIA_00265	K03925
FEKHAPIA_00266	K03438
FEKHAPIA_00268	K08384
FEKHAPIA_00269	K01925
FEKHAPIA_00270	K03588
FEKHAPIA_00271	K02563
FEKHAPIA_00272	K01924
FEKHAPIA_00273	K00075
FEKHAPIA_00275	K03590
FEKHAPIA_00276	K03531
FEKHAPIA_00279	K06168
FEKHAPIA_00286	K02335
FEKHAPIA_00287	K01775
FEKHAPIA_00289	K01969
FEKHAPIA_00290	K13767
FEKHAPIA_00291	K11731
FEKHAPIA_00293	K01273
FEKHAPIA_00294	K03218
FEKHAPIA_00295	K15034
FEKHAPIA_00297	K01928
FEKHAPIA_00298	K01929
FEKHAPIA_00299	K01000
FEKHAPIA_00300	K03526
FEKHAPIA_00301	K16052
FEKHAPIA_00302	K01520
FEKHAPIA_00303	K04078
FEKHAPIA_00304	K04077
FEKHAPIA_00306	K00950
FEKHAPIA_00310	K09761
FEKHAPIA_00311	K02503
FEKHAPIA_00312	K03529
FEKHAPIA_00313	K02959
FEKHAPIA_00314	K00554
FEKHAPIA_00315	K02884
FEKHAPIA_00318	K00942
FEKHAPIA_00320	K03648
FEKHAPIA_00321	K02314
FEKHAPIA_00322	K00951
FEKHAPIA_00323	K07447
FEKHAPIA_00324	K03820
FEKHAPIA_00325	K06173
FEKHAPIA_00326	K04771
FEKHAPIA_00329	K02433
FEKHAPIA_00330	K07114
FEKHAPIA_00331	K07114
FEKHAPIA_00337	K01159
FEKHAPIA_00338	K03550
FEKHAPIA_00339	K00605
FEKHAPIA_00340	K03466
FEKHAPIA_00342	K03273
FEKHAPIA_00344	K01921
FEKHAPIA_00345	K01883
FEKHAPIA_00350	K02358
FEKHAPIA_00351	K02913
FEKHAPIA_00354	K02601
FEKHAPIA_00355	K02867
FEKHAPIA_00356	K02863
FEKHAPIA_00357	K02864
FEKHAPIA_00358	K02935
FEKHAPIA_00359	K03043
FEKHAPIA_00360	K03046
FEKHAPIA_00361	K02950
FEKHAPIA_00362	K02992
FEKHAPIA_00363	K02355
FEKHAPIA_00364	K02946
FEKHAPIA_00365	K02906
FEKHAPIA_00366	K02926
FEKHAPIA_00367	K02892
FEKHAPIA_00368	K02886
FEKHAPIA_00369	K02965
FEKHAPIA_00370	K02890
FEKHAPIA_00371	K02982
FEKHAPIA_00372	K02878
FEKHAPIA_00374	K02961
FEKHAPIA_00375	K02874
FEKHAPIA_00376	K02895
FEKHAPIA_00377	K02931
FEKHAPIA_00378	K02954
FEKHAPIA_00379	K02994
FEKHAPIA_00380	K02933
FEKHAPIA_00381	K02881
FEKHAPIA_00382	K02988
FEKHAPIA_00384	K02876
FEKHAPIA_00385	K03076
FEKHAPIA_00386	K01265
FEKHAPIA_00387	K02518
FEKHAPIA_00389	K02952
FEKHAPIA_00390	K02948
FEKHAPIA_00391	K02986
FEKHAPIA_00392	K03040
FEKHAPIA_00393	K02879
FEKHAPIA_00394	K08968
FEKHAPIA_00396	K00262
FEKHAPIA_00397	K00927
FEKHAPIA_00398	K01803
FEKHAPIA_00403	K00997
FEKHAPIA_00404	K00790
FEKHAPIA_00405	K03499
FEKHAPIA_00406	K03498
FEKHAPIA_00407	K03703
FEKHAPIA_00408	K01697
FEKHAPIA_00409	K03568
FEKHAPIA_00414	K06991
FEKHAPIA_00425	K01885
FEKHAPIA_00430	K11991
FEKHAPIA_00431	K12343
FEKHAPIA_00432	K11170
FEKHAPIA_00434	K09861
FEKHAPIA_00438	K02343
FEKHAPIA_00440	K06187
FEKHAPIA_00441	K00995
FEKHAPIA_00443	K03742
FEKHAPIA_00444	K03553
FEKHAPIA_00445	K03215
FEKHAPIA_00446	K03310
FEKHAPIA_00447	K03470
FEKHAPIA_00448	K03100
FEKHAPIA_00451	K01897
FEKHAPIA_00456	K01868
FEKHAPIA_00457	K02520
FEKHAPIA_00458	K02916
FEKHAPIA_00459	K02887
FEKHAPIA_00460	K01889
FEKHAPIA_00461	K01890
FEKHAPIA_00463	K01491
FEKHAPIA_00465	K03926
FEKHAPIA_00468	K09760
