HOJPHHHG_00002	K01914
HOJPHHHG_00354	K00754
HOJPHHHG_00364	K15986
HOJPHHHG_00365	K03529
HOJPHHHG_00369	K00754
HOJPHHHG_00378	K01881
HOJPHHHG_00381	K07305
HOJPHHHG_00401	K03654
HOJPHHHG_00404	K07461
HOJPHHHG_00406	K03726
HOJPHHHG_00407	K01902
HOJPHHHG_00408	K12460
HOJPHHHG_00409	K13292
HOJPHHHG_00412	K03531
HOJPHHHG_00414	K02601
HOJPHHHG_00420	K07558
HOJPHHHG_00425	K03424
HOJPHHHG_00429	K00809
HOJPHHHG_00432	K01480
HOJPHHHG_00438	K00666
HOJPHHHG_00440	K13525
HOJPHHHG_00442	K07502
HOJPHHHG_00445	K11927
HOJPHHHG_00452	K01756
HOJPHHHG_00453	K01939
HOJPHHHG_00456	K01885
HOJPHHHG_00458	K00384
HOJPHHHG_00461	K02004
HOJPHHHG_00462	K02004
HOJPHHHG_00463	K02003
HOJPHHHG_00469	K06287
HOJPHHHG_00470	K02995
HOJPHHHG_00471	K04076
HOJPHHHG_00472	K05896
HOJPHHHG_00477	K02493
HOJPHHHG_00478	K03726
HOJPHHHG_00483	K02996
HOJPHHHG_00485	K02883
HOJPHHHG_00486	K03027
HOJPHHHG_00487	K02948
HOJPHHHG_00488	K02986
HOJPHHHG_00489	K02952
HOJPHHHG_00504	K07332
HOJPHHHG_00509	K02877
HOJPHHHG_00514	K17717
HOJPHHHG_00528	K18214
HOJPHHHG_00529	K04801
HOJPHHHG_00531	K16052
HOJPHHHG_00535	K03101
HOJPHHHG_00538	K03236
HOJPHHHG_00539	K11131
HOJPHHHG_00545	K01689
HOJPHHHG_00551	K12733
HOJPHHHG_00558	K00939
HOJPHHHG_00563	K15865
HOJPHHHG_00584	K02493
HOJPHHHG_00587	K01870
HOJPHHHG_00589	K00820
HOJPHHHG_00593	K00927
HOJPHHHG_00595	K06942
HOJPHHHG_00597	K17759
HOJPHHHG_00599	K06147
HOJPHHHG_00602	K09775
HOJPHHHG_00605	K03242
HOJPHHHG_00606	K05540
HOJPHHHG_00609	K03688
HOJPHHHG_00614	K00789
HOJPHHHG_00618	K02869
HOJPHHHG_00620	K02863
HOJPHHHG_00622	K01507
HOJPHHHG_00626	K03686
HOJPHHHG_00628	K04043
HOJPHHHG_00629	K03687
HOJPHHHG_00635	K06953
HOJPHHHG_00638	K10563
HOJPHHHG_00643	K03237
HOJPHHHG_00644	K02978
HOJPHHHG_00646	K03471
HOJPHHHG_00647	K03470
HOJPHHHG_00658	K02966
HOJPHHHG_00663	K03744
HOJPHHHG_00664	K03799
HOJPHHHG_00667	K02316
HOJPHHHG_00669	K07178
HOJPHHHG_00670	K06961
HOJPHHHG_00673	K14415
HOJPHHHG_00682	K01880
HOJPHHHG_00684	K01779
HOJPHHHG_00686	K04800
HOJPHHHG_00687	K00088
HOJPHHHG_00688	K01873
HOJPHHHG_00695	K01493
HOJPHHHG_00702	K01869
HOJPHHHG_00707	K07575
HOJPHHHG_00716	K03231
HOJPHHHG_00717	K02946
HOJPHHHG_00720	K07041
HOJPHHHG_00721	K03433
HOJPHHHG_00732	K01710
HOJPHHHG_00733	K01841
HOJPHHHG_00735	K09459
HOJPHHHG_00738	K15987
HOJPHHHG_00742	K11717
HOJPHHHG_00743	K18967
HOJPHHHG_00744	K10773
HOJPHHHG_00753	K03234
HOJPHHHG_00761	K01207
HOJPHHHG_00764	K00057
HOJPHHHG_00770	K01151
HOJPHHHG_00773	K03053
HOJPHHHG_00774	K03045
HOJPHHHG_00775	K03044
HOJPHHHG_00776	K03041
HOJPHHHG_00777	K03042
HOJPHHHG_00780	K02973
HOJPHHHG_00781	K02992
HOJPHHHG_00787	K03496
HOJPHHHG_00790	K03531
HOJPHHHG_00791	K19285
HOJPHHHG_00802	K04487
HOJPHHHG_00803	K22068
HOJPHHHG_00814	K13652
HOJPHHHG_00820	K01494
HOJPHHHG_00824	K07566
HOJPHHHG_00825	K19689
HOJPHHHG_00826	K14835
HOJPHHHG_00827	K00134
HOJPHHHG_00828	K00951
HOJPHHHG_00829	K01689
HOJPHHHG_00832	K03798
HOJPHHHG_00835	K01887
HOJPHHHG_00836	K01779
HOJPHHHG_00847	K08984
HOJPHHHG_00852	K05982
HOJPHHHG_00858	K00945
HOJPHHHG_00860	K03775
HOJPHHHG_00866	K01834
HOJPHHHG_00871	K04763
HOJPHHHG_00872	K01126
HOJPHHHG_00876	K03657
HOJPHHHG_00878	K02319
HOJPHHHG_00881	K07175
HOJPHHHG_00882	K03546
HOJPHHHG_00884	K03106
HOJPHHHG_00887	K06865
HOJPHHHG_00896	K01711
HOJPHHHG_00897	K00012
HOJPHHHG_00898	K00175
HOJPHHHG_00899	K00174
HOJPHHHG_00900	K00973
HOJPHHHG_00902	K00966
HOJPHHHG_00905	K06935
HOJPHHHG_00912	K18980
HOJPHHHG_00913	K07001
HOJPHHHG_00914	K07562
HOJPHHHG_00915	K15449
HOJPHHHG_00924	K01892
HOJPHHHG_00927	K00995
HOJPHHHG_00931	K06915
HOJPHHHG_00935	K06196
HOJPHHHG_00938	K03704
HOJPHHHG_00940	K06870
HOJPHHHG_00942	K00029
HOJPHHHG_00943	K00262
HOJPHHHG_00944	K09759
HOJPHHHG_00949	K07301
HOJPHHHG_00950	K03152
HOJPHHHG_00958	K01883
HOJPHHHG_00960	K03151
HOJPHHHG_00963	K06865
HOJPHHHG_00964	K03420
HOJPHHHG_00966	K11954
HOJPHHHG_00970	K06861
HOJPHHHG_00971	K01998
HOJPHHHG_00973	K11954
HOJPHHHG_00975	K03704
HOJPHHHG_00976	K15429
HOJPHHHG_00979	K04799
HOJPHHHG_00982	K01170
HOJPHHHG_00986	K00384
HOJPHHHG_00987	K01791
HOJPHHHG_00994	K14652
HOJPHHHG_00999	K09469
HOJPHHHG_01000	K01153
HOJPHHHG_01008	K03627
HOJPHHHG_01010	K02933
HOJPHHHG_01012	K02885
HOJPHHHG_01013	K02881
HOJPHHHG_01014	K02988
HOJPHHHG_01015	K02907
HOJPHHHG_01017	K03076
HOJPHHHG_01020	K02915
HOJPHHHG_01021	K02875
HOJPHHHG_01022	K01890
HOJPHHHG_01025	K01889
HOJPHHHG_01027	K06965
HOJPHHHG_01028	K01007
HOJPHHHG_01033	K03540
HOJPHHHG_01037	K00600
HOJPHHHG_01038	K00287
HOJPHHHG_01039	K00560
HOJPHHHG_01040	K11754
HOJPHHHG_01044	K03263
HOJPHHHG_01048	K00612
HOJPHHHG_01050	K02962
HOJPHHHG_01051	K03622
HOJPHHHG_01052	K04773
HOJPHHHG_01055	K08851
HOJPHHHG_01056	K08303
HOJPHHHG_01058	K03671
HOJPHHHG_01062	K03106
HOJPHHHG_01066	K08303
HOJPHHHG_01070	K08678
HOJPHHHG_01071	K00721
HOJPHHHG_01073	K20534
HOJPHHHG_01074	K04034
HOJPHHHG_01076	K18214
HOJPHHHG_01095	K03045
HOJPHHHG_01096	K03044
HOJPHHHG_01104	K06874
HOJPHHHG_01105	K03572
HOJPHHHG_01108	K03798
HOJPHHHG_01116	K01875
HOJPHHHG_01121	K07739
HOJPHHHG_01127	K02889
HOJPHHHG_01130	K02866
HOJPHHHG_01133	K06943
HOJPHHHG_01135	K17286
HOJPHHHG_01138	K20283
HOJPHHHG_01139	K08482
HOJPHHHG_01144	K07636
HOJPHHHG_01147	K01867
HOJPHHHG_01152	K14540
HOJPHHHG_01154	K10896
HOJPHHHG_01155	K04763
HOJPHHHG_01161	K07444
HOJPHHHG_01162	K02469
HOJPHHHG_01165	K04763
HOJPHHHG_01167	K03455
HOJPHHHG_01168	K01916
HOJPHHHG_01172	K02470
HOJPHHHG_01176	K10747
HOJPHHHG_01181	K03057
HOJPHHHG_01182	K03330
HOJPHHHG_01187	K03775
HOJPHHHG_01192	K01803
HOJPHHHG_01196	K01808
HOJPHHHG_01198	K01783
HOJPHHHG_01202	K02895
HOJPHHHG_01203	K02874
HOJPHHHG_01204	K02961
HOJPHHHG_01206	K03113
HOJPHHHG_01208	K02982
HOJPHHHG_01210	K02958
HOJPHHHG_01211	K02886
HOJPHHHG_01212	K02893
HOJPHHHG_01213	K02930
HOJPHHHG_01214	K02906
HOJPHHHG_01216	K14564
HOJPHHHG_01217	K05873
HOJPHHHG_01218	K04795
HOJPHHHG_01220	K01990
HOJPHHHG_01222	K18532
HOJPHHHG_01223	K03265
HOJPHHHG_01229	K07561
HOJPHHHG_01231	K19664
HOJPHHHG_01232	K07738
HOJPHHHG_01233	K00525
HOJPHHHG_01234	K19221
