GMCMGICM_00001	K04079
GMCMGICM_00212	K01069
GMCMGICM_00216	K01990
GMCMGICM_00217	K07218
GMCMGICM_00219	K03386
GMCMGICM_00224	K07124
GMCMGICM_00232	K07729
GMCMGICM_00235	K11068
GMCMGICM_00239	K03307
GMCMGICM_00241	K01132
GMCMGICM_00244	K01784
GMCMGICM_00245	K13444
GMCMGICM_00249	K11717
GMCMGICM_00252	K01246
GMCMGICM_00253	K00059
GMCMGICM_00257	K00024
GMCMGICM_00258	K02470
GMCMGICM_00259	K10026
GMCMGICM_00260	K06178
GMCMGICM_00261	K06991
GMCMGICM_00264	K01491
GMCMGICM_00265	K03106
GMCMGICM_00266	K01887
GMCMGICM_00269	K01647
GMCMGICM_00270	K01689
GMCMGICM_00271	K01956
GMCMGICM_00274	K22468
GMCMGICM_00276	K07710
GMCMGICM_00277	K02503
GMCMGICM_00278	K03624
GMCMGICM_00280	K02014
GMCMGICM_00284	K02899
GMCMGICM_00285	K02888
GMCMGICM_00291	K03111
GMCMGICM_00292	K03575
GMCMGICM_00293	K03530
GMCMGICM_00295	K08301
GMCMGICM_00296	K01142
GMCMGICM_00299	K01880
GMCMGICM_00301	K00240
GMCMGICM_00302	K00239
GMCMGICM_00305	K01262
GMCMGICM_00306	K00946
GMCMGICM_00307	K13628
GMCMGICM_00308	K09014
GMCMGICM_00309	K09013
GMCMGICM_00310	K09015
GMCMGICM_00311	K11717
GMCMGICM_00312	K02426
GMCMGICM_00315	K03665
GMCMGICM_00320	K09861
GMCMGICM_00321	K06180
GMCMGICM_00323	K01921
GMCMGICM_00324	K00954
GMCMGICM_00326	K00762
GMCMGICM_00327	K03524
GMCMGICM_00328	K09710
GMCMGICM_00329	K03798
GMCMGICM_00331	K00981
GMCMGICM_00332	K01613
GMCMGICM_00333	K01873
GMCMGICM_00335	K00812
GMCMGICM_00336	K00075
GMCMGICM_00339	K03644
GMCMGICM_00340	K00912
GMCMGICM_00342	K07164
GMCMGICM_00343	K07304
GMCMGICM_00346	K05995
GMCMGICM_00347	K15633
GMCMGICM_00348	K01265
GMCMGICM_00350	K03734
GMCMGICM_00351	K00351
GMCMGICM_00352	K00350
GMCMGICM_00353	K00349
GMCMGICM_00354	K00348
GMCMGICM_00355	K00347
GMCMGICM_00356	K00346
GMCMGICM_00360	K00294
GMCMGICM_00366	K03501
GMCMGICM_00367	K00508
GMCMGICM_00368	K00812
GMCMGICM_00369	K03498
GMCMGICM_00370	K03499
GMCMGICM_00371	K03183
GMCMGICM_00373	K03437
GMCMGICM_00374	K01624
GMCMGICM_00375	K01963
GMCMGICM_00376	K02956
GMCMGICM_00377	K00962
GMCMGICM_00378	K03086
GMCMGICM_00379	K01783
GMCMGICM_00380	K02851
GMCMGICM_00384	K01881
GMCMGICM_00386	K02968
GMCMGICM_00387	K03628
GMCMGICM_00389	K07095
GMCMGICM_00390	K06173
GMCMGICM_00391	K06147
GMCMGICM_00392	K18672
GMCMGICM_00393	K00796
GMCMGICM_00396	K02033
GMCMGICM_00397	K01803
GMCMGICM_00398	K01069
GMCMGICM_00399	K01206
GMCMGICM_00400	K03704
GMCMGICM_00410	K01342
GMCMGICM_00414	K07301
GMCMGICM_00415	K01915
GMCMGICM_00417	K01933
GMCMGICM_00418	K02835
GMCMGICM_00419	K01591
GMCMGICM_00420	K16264
GMCMGICM_00425	K09164
GMCMGICM_00427	K06199
GMCMGICM_00428	K01277
GMCMGICM_00431	K00826
GMCMGICM_00432	K03687
GMCMGICM_00433	K03686
GMCMGICM_00434	K01990
GMCMGICM_00435	K01992
GMCMGICM_00436	K02481
GMCMGICM_00437	K01302
GMCMGICM_00439	K01627
GMCMGICM_00448	K09812
GMCMGICM_00450	K09808
GMCMGICM_00451	K01697
GMCMGICM_00452	K03310
GMCMGICM_00454	K03733
GMCMGICM_00459	K00681
GMCMGICM_00465	K05592
GMCMGICM_00467	K02527
GMCMGICM_00470	K00645
GMCMGICM_00471	K00287
GMCMGICM_00472	K00560
GMCMGICM_00473	K11536
GMCMGICM_00474	K08999
GMCMGICM_00475	K03522
GMCMGICM_00477	K00162
GMCMGICM_00478	K23025
GMCMGICM_00479	K15519
GMCMGICM_00484	K06949
GMCMGICM_00485	K07560
GMCMGICM_00487	K07568
GMCMGICM_00488	K06941
GMCMGICM_00489	K02316
GMCMGICM_00490	K01916
GMCMGICM_00493	K05837
GMCMGICM_00494	K05515
GMCMGICM_00496	K03570
GMCMGICM_00497	K03569
GMCMGICM_00498	K00602
GMCMGICM_00500	K19302
GMCMGICM_00506	K07588
GMCMGICM_00507	K03070
GMCMGICM_00509	K00798
GMCMGICM_00512	K17103
GMCMGICM_00513	K06861
GMCMGICM_00514	K03118
GMCMGICM_00515	K06041
GMCMGICM_00516	K03654
GMCMGICM_00517	K03768
GMCMGICM_00520	K06878
GMCMGICM_00523	K18889
GMCMGICM_00524	K03625
GMCMGICM_00527	K00254
GMCMGICM_00532	K00088
GMCMGICM_00533	K03771
GMCMGICM_00535	K03771
GMCMGICM_00536	K01681
GMCMGICM_00539	K02825
GMCMGICM_00542	K00615
GMCMGICM_00543	K00615
GMCMGICM_00544	K00773
GMCMGICM_00545	K11720
GMCMGICM_00546	K01962
GMCMGICM_00547	K02314
GMCMGICM_00549	K02887
GMCMGICM_00550	K02916
GMCMGICM_00551	K02520
GMCMGICM_00552	K01868
GMCMGICM_00554	K07106
GMCMGICM_00555	K00031
GMCMGICM_00556	K02884
GMCMGICM_00557	K00554
GMCMGICM_00558	K04771
GMCMGICM_00559	K01778
GMCMGICM_00561	K07082
GMCMGICM_00562	K02313
GMCMGICM_00563	K11752
GMCMGICM_00564	K03828
GMCMGICM_00565	K02493
GMCMGICM_00567	K06201
GMCMGICM_00568	K12373
GMCMGICM_00569	K01972
GMCMGICM_00571	K02003
GMCMGICM_00576	K01081
GMCMGICM_00579	K05807
GMCMGICM_00581	K13038
GMCMGICM_00583	K03631
GMCMGICM_00584	K00208
GMCMGICM_00588	K00859
GMCMGICM_00589	K07636
GMCMGICM_00591	K00791
GMCMGICM_00592	K02342
GMCMGICM_00593	K06997
GMCMGICM_00594	K00074
GMCMGICM_00595	K03810
GMCMGICM_00596	K00573
GMCMGICM_00597	K03664
GMCMGICM_00598	K00600
GMCMGICM_00600	K22757
GMCMGICM_00602	K00616
GMCMGICM_00604	K01890
GMCMGICM_00606	K03655
GMCMGICM_00607	K03657
GMCMGICM_00608	K02557
GMCMGICM_00609	K07011
GMCMGICM_00610	K17677
GMCMGICM_00614	K16052
GMCMGICM_00618	K00059
GMCMGICM_00620	K00059
GMCMGICM_00621	K01902
GMCMGICM_00622	K02356
GMCMGICM_00623	K00677
GMCMGICM_00624	K16363
GMCMGICM_00625	K02536
GMCMGICM_00626	K07670
GMCMGICM_00627	K06925
GMCMGICM_00629	K00318
GMCMGICM_00632	K02621
GMCMGICM_00633	K02622
GMCMGICM_00634	K06942
GMCMGICM_00638	K00831
GMCMGICM_00639	K00058
GMCMGICM_00641	K07304
GMCMGICM_00642	K09810
GMCMGICM_00645	K01465
GMCMGICM_00646	K06999
GMCMGICM_00647	K06167
GMCMGICM_00649	K03564
GMCMGICM_00650	K10773
GMCMGICM_00654	K03650
GMCMGICM_00656	K06158
GMCMGICM_00660	K06207
GMCMGICM_00664	K01751
GMCMGICM_00667	K12343
GMCMGICM_00668	K11749
GMCMGICM_00669	K01256
GMCMGICM_00672	K04759
GMCMGICM_00674	K07238
GMCMGICM_00675	K05801
GMCMGICM_00677	K21573
GMCMGICM_00678	K01715
GMCMGICM_00679	K13598
GMCMGICM_00681	K02031
GMCMGICM_00682	K01907
GMCMGICM_00683	K05366
GMCMGICM_00686	K07146
GMCMGICM_00687	K03553
GMCMGICM_00689	K01867
GMCMGICM_00691	K12417
GMCMGICM_00694	K01520
GMCMGICM_00696	K02115
GMCMGICM_00697	K02111
GMCMGICM_00698	K02113
GMCMGICM_00699	K02109
GMCMGICM_00701	K02108
GMCMGICM_00705	K02639
GMCMGICM_00710	K01945
GMCMGICM_00711	K03606
GMCMGICM_00723	K08307
GMCMGICM_00724	K00927
GMCMGICM_00725	K02341
GMCMGICM_00728	K03495
GMCMGICM_00730	K01885
GMCMGICM_00732	K01886
GMCMGICM_00737	K12573
GMCMGICM_00738	K01808
GMCMGICM_00739	K02348
GMCMGICM_00745	K03596
GMCMGICM_00747	K09808
GMCMGICM_00748	K02834
GMCMGICM_00749	K05606
GMCMGICM_00753	K19802
GMCMGICM_00761	K00793
GMCMGICM_00762	K00097
GMCMGICM_00766	K02160
GMCMGICM_00767	K01961
GMCMGICM_00774	K01775
GMCMGICM_00775	K00857
GMCMGICM_00776	K07056
GMCMGICM_00777	K07397
GMCMGICM_00778	K07462
GMCMGICM_00780	K03269
GMCMGICM_00781	K01737
GMCMGICM_00787	K00499
GMCMGICM_00788	K00252
GMCMGICM_00790	K00384
GMCMGICM_00792	K03593
GMCMGICM_00794	K03439
GMCMGICM_00795	K07636
GMCMGICM_00796	K07658
GMCMGICM_00798	K01866
GMCMGICM_00800	K01465
GMCMGICM_00801	K00721
GMCMGICM_00803	K01719
GMCMGICM_00804	K01610
GMCMGICM_00805	K14157
GMCMGICM_00807	K01869
GMCMGICM_00810	K06153
GMCMGICM_00811	K03177
GMCMGICM_00812	K22468
GMCMGICM_00813	K22468
GMCMGICM_00814	K14445
GMCMGICM_00816	K07119
GMCMGICM_00817	K07511
GMCMGICM_00818	K01961
GMCMGICM_00820	K01897
GMCMGICM_00822	K00255
GMCMGICM_00823	K00059
GMCMGICM_00824	K11147
GMCMGICM_00826	K15866
GMCMGICM_00827	K00249
GMCMGICM_00831	K01874
GMCMGICM_00832	K01297
GMCMGICM_00833	K03723
GMCMGICM_00834	K03841
GMCMGICM_00835	K00657
GMCMGICM_00836	K06213
GMCMGICM_00838	K03704
GMCMGICM_00840	K07090
GMCMGICM_00842	K02338
GMCMGICM_00843	K22205
GMCMGICM_00844	K06217
GMCMGICM_00845	K01923
GMCMGICM_00846	K03310
GMCMGICM_00848	K14393
GMCMGICM_00849	K01895
GMCMGICM_00852	K07729
GMCMGICM_00854	K01929
GMCMGICM_00858	K01489
GMCMGICM_00859	K00161
GMCMGICM_00860	K00627
GMCMGICM_00861	K16066
GMCMGICM_00864	K02065
GMCMGICM_00865	K02066
GMCMGICM_00867	K03978
GMCMGICM_00869	K03925
GMCMGICM_00870	K03438
GMCMGICM_00874	K03470
GMCMGICM_00876	K03801
GMCMGICM_00878	K04567
GMCMGICM_00882	K01847
GMCMGICM_00884	K01712
GMCMGICM_00886	K02034
GMCMGICM_00887	K03797
GMCMGICM_00888	K03787
GMCMGICM_00890	K00748
GMCMGICM_00892	K03305
GMCMGICM_00893	K03305
GMCMGICM_00894	K00054
GMCMGICM_00896	K03770
GMCMGICM_00902	K03525
GMCMGICM_00903	K00681
GMCMGICM_00904	K01840
GMCMGICM_00905	K02517
GMCMGICM_00908	K07729
GMCMGICM_00913	K07322
GMCMGICM_00915	K04084
GMCMGICM_00918	K03734
GMCMGICM_00919	K01829
GMCMGICM_00928	K03168
GMCMGICM_00930	K13444
GMCMGICM_00937	K00872
GMCMGICM_00939	K03595
GMCMGICM_00941	K03977
GMCMGICM_00944	K01872
GMCMGICM_00945	K12235
GMCMGICM_00948	K00648
GMCMGICM_00949	K00281
GMCMGICM_00951	K01588
GMCMGICM_00952	K01589
GMCMGICM_00953	K00939
GMCMGICM_00954	K03979
GMCMGICM_00956	K01924
GMCMGICM_00957	K07025
GMCMGICM_00958	K03218
GMCMGICM_00964	K02950
GMCMGICM_00965	K02992
GMCMGICM_00966	K02355
GMCMGICM_00967	K02946
GMCMGICM_00968	K02906
GMCMGICM_00969	K02926
GMCMGICM_00970	K02892
GMCMGICM_00971	K02886
GMCMGICM_00972	K02965
GMCMGICM_00973	K02890
GMCMGICM_00974	K02982
GMCMGICM_00975	K02878
GMCMGICM_00977	K02961
GMCMGICM_00978	K02874
GMCMGICM_00979	K02895
GMCMGICM_00980	K02931
GMCMGICM_00981	K02954
GMCMGICM_00982	K02994
GMCMGICM_00983	K02933
GMCMGICM_00984	K02881
GMCMGICM_00985	K02988
GMCMGICM_00987	K02876
GMCMGICM_00988	K03076
GMCMGICM_00989	K02518
GMCMGICM_00990	K02952
GMCMGICM_00991	K02948
GMCMGICM_00992	K02986
GMCMGICM_00993	K03040
GMCMGICM_00994	K02879
GMCMGICM_00997	K02357
GMCMGICM_00998	K09903
GMCMGICM_00999	K02838
GMCMGICM_01001	K01893
GMCMGICM_01002	K03092
GMCMGICM_01006	K03561
GMCMGICM_01008	K03424
GMCMGICM_01009	K00658
GMCMGICM_01010	K03932
GMCMGICM_01011	K00164
GMCMGICM_01012	K13789
GMCMGICM_01013	K01876
GMCMGICM_01015	K11991
GMCMGICM_01017	K01129
GMCMGICM_01020	K10807
GMCMGICM_01021	K10808
GMCMGICM_01023	K01493
GMCMGICM_01024	K04084
GMCMGICM_01029	K17759
GMCMGICM_01031	K01241
GMCMGICM_01032	K00499
GMCMGICM_01035	K01434
GMCMGICM_01043	K03286
GMCMGICM_01051	K03703
GMCMGICM_01053	K01870
GMCMGICM_01054	K04485
GMCMGICM_01057	K01918
GMCMGICM_01058	K00703
GMCMGICM_01060	K00820
GMCMGICM_01064	K02112
GMCMGICM_01066	K16089
GMCMGICM_01068	K16089
GMCMGICM_01071	K00262
GMCMGICM_01072	K01760
GMCMGICM_01074	K00942
GMCMGICM_01075	K03701
GMCMGICM_01076	K06966
GMCMGICM_01077	K00167
GMCMGICM_01078	K02340
GMCMGICM_01079	K00382
GMCMGICM_01080	K04763
GMCMGICM_01081	K18682
GMCMGICM_01086	K04487
GMCMGICM_01088	K00819
GMCMGICM_01089	K03215
GMCMGICM_01092	K07444
GMCMGICM_01093	K02256
GMCMGICM_01094	K03551
GMCMGICM_01095	K18979
GMCMGICM_01096	K03550
GMCMGICM_01098	K02437
GMCMGICM_01100	K03832
GMCMGICM_01101	K02257
GMCMGICM_01102	K02262
GMCMGICM_01107	K08976
GMCMGICM_01113	K10947
GMCMGICM_01115	K02003
GMCMGICM_01116	K02004
GMCMGICM_01117	K02004
GMCMGICM_01118	K02005
GMCMGICM_01119	K12340
GMCMGICM_01120	K14742
GMCMGICM_01121	K06888
GMCMGICM_01122	K22074
GMCMGICM_01125	K01776
GMCMGICM_01127	K06142
GMCMGICM_01128	K07277
GMCMGICM_01129	K00806
GMCMGICM_01131	K00858
GMCMGICM_01132	K03474
GMCMGICM_01133	K13703
GMCMGICM_01134	K03545
GMCMGICM_01135	K01358
GMCMGICM_01136	K03544
GMCMGICM_01139	K09125
GMCMGICM_01140	K15518
GMCMGICM_01142	K03555
GMCMGICM_01147	K02358
GMCMGICM_01150	K02601
GMCMGICM_01151	K02867
GMCMGICM_01152	K02863
GMCMGICM_01153	K02864
GMCMGICM_01154	K02935
GMCMGICM_01155	K03043
GMCMGICM_01156	K03046
GMCMGICM_01158	K01823
GMCMGICM_01159	K01737
GMCMGICM_01163	K08641
GMCMGICM_01166	K04077
GMCMGICM_01167	K04078
GMCMGICM_01171	K06168
GMCMGICM_01172	K00658
GMCMGICM_01173	K03424
GMCMGICM_01175	K03561
GMCMGICM_01179	K03092
GMCMGICM_01180	K01893
GMCMGICM_01182	K02838
GMCMGICM_01183	K09903
GMCMGICM_01184	K02357
GMCMGICM_01185	K02967
GMCMGICM_01186	K02996
GMCMGICM_01187	K02871
GMCMGICM_01188	K02335
GMCMGICM_01189	K01444
GMCMGICM_01190	K02429
GMCMGICM_01196	K02600
GMCMGICM_01197	K02519
GMCMGICM_01205	K01273
GMCMGICM_01206	K00167
GMCMGICM_01207	K03307
GMCMGICM_01209	K03270
GMCMGICM_01212	K01758
GMCMGICM_01213	K01463
GMCMGICM_01216	K00873
GMCMGICM_01219	K03685
GMCMGICM_01220	K09458
GMCMGICM_01221	K02078
GMCMGICM_01222	K11175
GMCMGICM_01223	K03469
GMCMGICM_01224	K00852
GMCMGICM_01225	K00764
GMCMGICM_01226	K04564
GMCMGICM_01231	K07011
GMCMGICM_01235	K12996
GMCMGICM_01238	K03606
GMCMGICM_01241	K16191
GMCMGICM_01248	K01667
GMCMGICM_01249	K01256
GMCMGICM_01250	K01262
GMCMGICM_01252	K01752
GMCMGICM_01261	K00605
GMCMGICM_01263	K01745
GMCMGICM_01264	K03696
GMCMGICM_01265	K02469
GMCMGICM_01267	K20742
GMCMGICM_01268	K00626
GMCMGICM_01269	K07037
GMCMGICM_01275	K01251
GMCMGICM_01276	K00789
GMCMGICM_01277	K00297
GMCMGICM_01278	K00548
GMCMGICM_01279	K12257
GMCMGICM_01280	K13292
GMCMGICM_01281	K08998
GMCMGICM_01282	K01883
GMCMGICM_01283	K01495
GMCMGICM_01287	K09001
GMCMGICM_01289	K11754
GMCMGICM_01291	K07788
GMCMGICM_01294	K11717
GMCMGICM_01295	K01322
GMCMGICM_01299	K01354
GMCMGICM_01300	K06013
GMCMGICM_01307	K07305
GMCMGICM_01309	K06902
GMCMGICM_01310	K01338
GMCMGICM_01312	K00945
GMCMGICM_01313	K02945
GMCMGICM_01314	K02825
GMCMGICM_01315	K00609
GMCMGICM_01316	K00275
GMCMGICM_01317	K01524
GMCMGICM_01318	K02343
GMCMGICM_01322	K00979
GMCMGICM_01324	K12941
GMCMGICM_01325	K00790
GMCMGICM_01329	K00604
GMCMGICM_01330	K07735
GMCMGICM_01341	K01903
GMCMGICM_01342	K03702
GMCMGICM_01344	K02259
GMCMGICM_01345	K00970
GMCMGICM_01346	K07566
GMCMGICM_01348	K07447
GMCMGICM_01349	K01462
GMCMGICM_01350	K03327
GMCMGICM_01359	K06204
GMCMGICM_01365	K12410
GMCMGICM_01367	K05515
GMCMGICM_01369	K03980
GMCMGICM_01382	K03695
GMCMGICM_01383	K10112
GMCMGICM_01384	K01126
GMCMGICM_01388	K07114
GMCMGICM_01393	K07114
GMCMGICM_01394	K02557
GMCMGICM_01395	K21919
GMCMGICM_01397	K00643
GMCMGICM_01401	K01803
GMCMGICM_01402	K03431
GMCMGICM_01405	K03098
GMCMGICM_01409	K02483
GMCMGICM_01410	K00340
GMCMGICM_01411	K00337
GMCMGICM_01412	K03878
GMCMGICM_01421	K01301
GMCMGICM_01430	K06013
GMCMGICM_01431	K01354
GMCMGICM_01435	K03671
GMCMGICM_01436	K02337
GMCMGICM_01439	K02687
GMCMGICM_01440	K03310
GMCMGICM_01441	K11720
GMCMGICM_01448	K14157
GMCMGICM_01450	K01209
GMCMGICM_01461	K01555
GMCMGICM_01462	K00500
GMCMGICM_01463	K00457
GMCMGICM_01466	K02860
GMCMGICM_01467	K00499
GMCMGICM_01468	K00252
GMCMGICM_01470	K00340
GMCMGICM_01471	K00339
GMCMGICM_01472	K00338
GMCMGICM_01473	K00337
GMCMGICM_01474	K01928
GMCMGICM_01475	K01000
GMCMGICM_01478	K02302
GMCMGICM_01481	K19430
GMCMGICM_01483	K07729
GMCMGICM_01485	K01929
GMCMGICM_01489	K01489
GMCMGICM_01490	K00161
GMCMGICM_01491	K02012
GMCMGICM_01493	K02337
GMCMGICM_01494	K03671
GMCMGICM_01498	K02913
GMCMGICM_01499	K02902
GMCMGICM_01500	K03742
GMCMGICM_01502	K00658
GMCMGICM_01503	K07011
GMCMGICM_01504	K06187
GMCMGICM_01506	K00067
GMCMGICM_01507	K01710
GMCMGICM_01512	K01697
GMCMGICM_01521	K03590
GMCMGICM_01523	K01924
GMCMGICM_01524	K02563
GMCMGICM_01527	K04079
GMCMGICM_01529	K01869
GMCMGICM_01532	K06153
GMCMGICM_01533	K03177
GMCMGICM_01534	K22468
GMCMGICM_01535	K22468
GMCMGICM_01537	K06901
GMCMGICM_01541	K01247
GMCMGICM_01542	K06213
GMCMGICM_01543	K02528
GMCMGICM_01544	K01875
GMCMGICM_01545	K11753
GMCMGICM_01546	K01056
GMCMGICM_01547	K02897
GMCMGICM_01548	K00948
GMCMGICM_01551	K00869
GMCMGICM_01552	K01597
GMCMGICM_01554	K03310
GMCMGICM_01555	K00767
GMCMGICM_01559	K10716
GMCMGICM_01561	K00057
GMCMGICM_01562	K01889
