OFGNKLEL_00013	K09815
OFGNKLEL_00213	K12368
OFGNKLEL_00214	K12369
OFGNKLEL_00215	K12370
OFGNKLEL_00216	K02031
OFGNKLEL_00217	K02032
OFGNKLEL_00218	K00656
OFGNKLEL_00219	K04069
OFGNKLEL_00225	K03561
OFGNKLEL_00226	K02013
OFGNKLEL_00227	K02015
OFGNKLEL_00228	K02016
OFGNKLEL_00230	K16089
OFGNKLEL_00231	K02016
OFGNKLEL_00232	K02015
OFGNKLEL_00233	K02013
OFGNKLEL_00235	K03671
OFGNKLEL_00240	K02851
OFGNKLEL_00247	K07305
OFGNKLEL_00249	K07668
OFGNKLEL_00250	K05777
OFGNKLEL_00252	K11072
OFGNKLEL_00254	K06042
OFGNKLEL_00255	K02224
OFGNKLEL_00256	K02188
OFGNKLEL_00257	K22900
OFGNKLEL_00259	K03639
OFGNKLEL_00261	K00442
OFGNKLEL_00263	K06282
OFGNKLEL_00264	K06281
OFGNKLEL_00265	K03605
OFGNKLEL_00271	K00891
OFGNKLEL_00274	K03753
OFGNKLEL_00276	K00606
OFGNKLEL_00277	K01996
OFGNKLEL_00278	K01999
OFGNKLEL_00279	K01998
OFGNKLEL_00280	K01997
OFGNKLEL_00281	K01897
OFGNKLEL_00282	K01995
OFGNKLEL_00284	K01995
OFGNKLEL_00285	K01996
OFGNKLEL_00287	K06920
OFGNKLEL_00288	K11473
OFGNKLEL_00289	K01079
OFGNKLEL_00290	K08177
OFGNKLEL_00291	K00974
OFGNKLEL_00292	K03179
OFGNKLEL_00293	K04652
OFGNKLEL_00295	K00773
OFGNKLEL_00296	K07568
OFGNKLEL_00299	K03524
OFGNKLEL_00300	K04083
OFGNKLEL_00301	K07391
OFGNKLEL_00302	K02535
OFGNKLEL_00305	K02481
OFGNKLEL_00306	K08316
OFGNKLEL_00307	K00954
OFGNKLEL_00308	K08189
OFGNKLEL_00309	K18880
OFGNKLEL_00310	K01473
OFGNKLEL_00311	K11406
OFGNKLEL_00312	K04567
OFGNKLEL_00313	K08974
OFGNKLEL_00314	K00573
OFGNKLEL_00315	K10716
OFGNKLEL_00316	K01934
OFGNKLEL_00317	K01875
OFGNKLEL_00318	K01733
OFGNKLEL_00320	K02482
OFGNKLEL_00322	K01007
OFGNKLEL_00323	K00027
OFGNKLEL_00324	K01681
OFGNKLEL_00326	K02338
OFGNKLEL_00330	K03737
OFGNKLEL_00333	K18967
OFGNKLEL_00341	K03544
OFGNKLEL_00342	K01338
OFGNKLEL_00343	K03628
OFGNKLEL_00355	K07455
OFGNKLEL_00356	K02481
OFGNKLEL_00371	K11529
OFGNKLEL_00372	K22373
OFGNKLEL_00377	K06911
OFGNKLEL_00378	K15976
OFGNKLEL_00379	K00605
OFGNKLEL_00381	K07005
OFGNKLEL_00382	K07053
OFGNKLEL_00383	K01596
OFGNKLEL_00387	K01684
OFGNKLEL_00390	K03585
OFGNKLEL_00391	K02584
OFGNKLEL_00393	K02231
OFGNKLEL_00395	K02233
OFGNKLEL_00396	K00817
OFGNKLEL_00397	K02227
OFGNKLEL_00399	K04069
OFGNKLEL_00400	K00656
OFGNKLEL_00403	K03711
OFGNKLEL_00404	K04759
OFGNKLEL_00407	K07714
OFGNKLEL_00408	K07709
OFGNKLEL_00413	K02666
OFGNKLEL_00415	K02488
OFGNKLEL_00417	K22597
OFGNKLEL_00418	K00696
OFGNKLEL_00419	K00847
OFGNKLEL_00423	K01953
OFGNKLEL_00428	K01556
OFGNKLEL_00429	K01999
OFGNKLEL_00430	K03704
OFGNKLEL_00431	K05592
OFGNKLEL_00433	K07277
OFGNKLEL_00436	K01897
OFGNKLEL_00438	K03388
OFGNKLEL_00441	K00125
OFGNKLEL_00442	K16950
OFGNKLEL_00450	K02945
OFGNKLEL_00452	K21064
OFGNKLEL_00453	K03474
OFGNKLEL_00455	K07037
OFGNKLEL_00456	K06217
OFGNKLEL_00459	K01653
OFGNKLEL_00460	K15550
OFGNKLEL_00462	K03296
OFGNKLEL_00463	K01591
OFGNKLEL_00464	K00928
OFGNKLEL_00465	K06925
OFGNKLEL_00466	K17758
OFGNKLEL_00468	K01246
OFGNKLEL_00469	K01770
OFGNKLEL_00472	K00314
OFGNKLEL_00478	K00355
OFGNKLEL_00481	K12500
OFGNKLEL_00482	K01996
OFGNKLEL_00483	K01995
OFGNKLEL_00484	K01998
OFGNKLEL_00485	K01997
OFGNKLEL_00486	K06153
OFGNKLEL_00487	K03640
OFGNKLEL_00488	K07219
OFGNKLEL_00489	K03750
OFGNKLEL_00490	K10206
OFGNKLEL_00491	K02528
OFGNKLEL_00492	K11523
OFGNKLEL_00496	K03388
OFGNKLEL_00501	K00441
OFGNKLEL_00502	K14128
OFGNKLEL_00503	K14126
OFGNKLEL_00505	K07107
OFGNKLEL_00507	K06199
OFGNKLEL_00512	K07444
OFGNKLEL_00513	K01626
OFGNKLEL_00516	K01998
OFGNKLEL_00517	K11956
OFGNKLEL_00519	K01995
OFGNKLEL_00520	K01996
OFGNKLEL_00521	K01897
OFGNKLEL_00522	K18672
OFGNKLEL_00525	K19303
OFGNKLEL_00533	K07493
OFGNKLEL_00535	K15986
OFGNKLEL_00539	K00249
OFGNKLEL_00540	K03522
OFGNKLEL_00541	K03521
OFGNKLEL_00542	K01663
OFGNKLEL_00544	K01893
OFGNKLEL_00545	K03924
OFGNKLEL_00553	K07150
OFGNKLEL_00554	K01952
OFGNKLEL_00555	K01952
OFGNKLEL_00556	K03574
OFGNKLEL_00557	K03501
OFGNKLEL_00558	K02355
OFGNKLEL_00560	K08305
OFGNKLEL_00561	K00605
OFGNKLEL_00565	K07710
OFGNKLEL_00567	K01356
OFGNKLEL_00572	K13281
OFGNKLEL_00573	K15891
OFGNKLEL_00574	K04771
OFGNKLEL_00576	K01802
OFGNKLEL_00577	K07263
OFGNKLEL_00579	K00140
OFGNKLEL_00581	K00827
OFGNKLEL_00583	K00351
OFGNKLEL_00584	K00350
OFGNKLEL_00585	K00349
OFGNKLEL_00586	K00348
OFGNKLEL_00587	K00347
OFGNKLEL_00589	K03718
OFGNKLEL_00590	K00600
OFGNKLEL_00596	K00958
OFGNKLEL_00598	K07133
OFGNKLEL_00603	K07133
OFGNKLEL_00604	K07171
OFGNKLEL_00609	K07692
OFGNKLEL_00610	K07486
OFGNKLEL_00616	K07478
OFGNKLEL_00617	K03977
OFGNKLEL_00619	K02557
OFGNKLEL_00624	K22068
OFGNKLEL_00625	K03736
OFGNKLEL_00627	K03639
OFGNKLEL_00630	K07710
OFGNKLEL_00631	K02485
OFGNKLEL_00635	K01897
OFGNKLEL_00636	K02485
OFGNKLEL_00637	K07814
OFGNKLEL_00639	K09129
OFGNKLEL_00640	K00982
OFGNKLEL_00645	K07652
OFGNKLEL_00646	K06974
OFGNKLEL_00647	K02481
OFGNKLEL_00648	K02036
OFGNKLEL_00649	K02038
OFGNKLEL_00650	K02038
OFGNKLEL_00651	K02040
OFGNKLEL_00653	K01870
OFGNKLEL_00655	K04763
OFGNKLEL_00656	K04763
OFGNKLEL_00666	K08303
OFGNKLEL_00670	K00344
OFGNKLEL_00671	K13896
OFGNKLEL_00672	K13895
OFGNKLEL_00673	K13894
OFGNKLEL_00674	K13893
OFGNKLEL_00676	K00979
OFGNKLEL_00680	K02843
OFGNKLEL_00681	K02843
OFGNKLEL_00682	K02517
OFGNKLEL_00683	K00912
OFGNKLEL_00685	K00241
OFGNKLEL_00688	K11720
OFGNKLEL_00689	K11720
OFGNKLEL_00690	K00949
OFGNKLEL_00691	K01687
OFGNKLEL_00693	K06898
OFGNKLEL_00694	K15256
OFGNKLEL_00695	K15257
OFGNKLEL_00697	K08349
OFGNKLEL_00704	K07071
OFGNKLEL_00707	K07814
OFGNKLEL_00708	K03321
OFGNKLEL_00710	K00673
OFGNKLEL_00713	K10036
OFGNKLEL_00714	K10037
OFGNKLEL_00715	K02028
OFGNKLEL_00718	K01843
OFGNKLEL_00719	K01425
OFGNKLEL_00721	K01939
OFGNKLEL_00723	K05841
OFGNKLEL_00724	K00655
OFGNKLEL_00727	K09954
OFGNKLEL_00731	K07675
OFGNKLEL_00736	K13444
OFGNKLEL_00738	K00820
OFGNKLEL_00740	K01874
OFGNKLEL_00747	K20074
OFGNKLEL_00751	K21900
OFGNKLEL_00752	K02040
OFGNKLEL_00753	K02037
OFGNKLEL_00754	K02038
OFGNKLEL_00755	K02036
OFGNKLEL_00756	K00982
OFGNKLEL_00758	K07133
OFGNKLEL_00759	K07133
OFGNKLEL_00760	K07710
OFGNKLEL_00761	K07714
OFGNKLEL_00762	K04653
OFGNKLEL_00763	K04656
OFGNKLEL_00764	K04654
OFGNKLEL_00765	K04655
OFGNKLEL_00768	K00631
OFGNKLEL_00771	K03469
OFGNKLEL_00773	K00817
OFGNKLEL_00775	K00134
OFGNKLEL_00786	K05499
OFGNKLEL_00788	K01439
OFGNKLEL_00789	K07171
OFGNKLEL_00793	K02032
OFGNKLEL_00794	K02031
OFGNKLEL_00795	K02034
OFGNKLEL_00796	K02033
OFGNKLEL_00797	K02035
OFGNKLEL_00803	K09122
OFGNKLEL_00804	K04070
OFGNKLEL_00807	K01996
OFGNKLEL_00808	K01998
OFGNKLEL_00810	K00059
OFGNKLEL_00812	K03820
OFGNKLEL_00814	K02058
OFGNKLEL_00815	K02056
OFGNKLEL_00816	K02057
OFGNKLEL_00817	K02057
OFGNKLEL_00818	K23010
OFGNKLEL_00819	K02355
OFGNKLEL_00821	K01921
OFGNKLEL_00822	K01945
OFGNKLEL_00823	K07566
OFGNKLEL_00828	K00441
OFGNKLEL_00830	K00099
OFGNKLEL_00831	K00981
OFGNKLEL_00832	K00806
OFGNKLEL_00833	K02838
OFGNKLEL_00834	K09903
OFGNKLEL_00835	K02357
OFGNKLEL_00837	K02967
OFGNKLEL_00840	K17509
OFGNKLEL_00844	K04486
OFGNKLEL_00848	K07306
OFGNKLEL_00849	K02488
OFGNKLEL_00859	K02481
OFGNKLEL_00860	K04739
OFGNKLEL_00863	K00249
OFGNKLEL_00865	K07133
OFGNKLEL_00872	K01881
OFGNKLEL_00873	K00951
OFGNKLEL_00874	K02902
OFGNKLEL_00881	K03496
OFGNKLEL_00884	K01338
OFGNKLEL_00885	K07658
OFGNKLEL_00887	K17218
OFGNKLEL_00889	K07710
OFGNKLEL_00890	K02481
OFGNKLEL_00894	K21393
OFGNKLEL_00899	K00362
OFGNKLEL_00900	K02371
OFGNKLEL_00907	K07710
OFGNKLEL_00908	K07658
OFGNKLEL_00909	K07713
OFGNKLEL_00910	K02337
OFGNKLEL_00912	K09690
OFGNKLEL_00913	K07714
OFGNKLEL_00914	K01465
OFGNKLEL_00915	K01684
OFGNKLEL_00924	K07636
OFGNKLEL_00926	K04763
OFGNKLEL_00933	K21498
OFGNKLEL_00934	K07334
OFGNKLEL_00936	K11618
OFGNKLEL_00937	K07675
OFGNKLEL_00940	K01431
OFGNKLEL_00943	K00278
OFGNKLEL_00945	K03438
OFGNKLEL_00946	K03925
OFGNKLEL_00950	K13599
OFGNKLEL_00957	K07497
OFGNKLEL_00962	K00605
OFGNKLEL_00963	K02437
OFGNKLEL_00970	K00558
OFGNKLEL_00971	K03654
OFGNKLEL_00976	K14358
OFGNKLEL_00978	K02028
OFGNKLEL_00979	K02029
OFGNKLEL_00982	K00248
OFGNKLEL_00988	K00986
OFGNKLEL_00989	K00986
OFGNKLEL_00990	K01845
OFGNKLEL_00991	K03719
OFGNKLEL_00995	K02335
OFGNKLEL_00998	K03088
OFGNKLEL_01002	K00548
OFGNKLEL_01009	K07714
OFGNKLEL_01017	K00019
OFGNKLEL_01020	K10747
OFGNKLEL_01026	K03653
OFGNKLEL_01027	K06920
OFGNKLEL_01035	K07714
OFGNKLEL_01037	K07301
OFGNKLEL_01041	K04561
OFGNKLEL_01045	K01473
OFGNKLEL_01046	K01474
OFGNKLEL_01047	K01912
OFGNKLEL_01048	K03519
OFGNKLEL_01053	K02967
OFGNKLEL_01054	K02493
OFGNKLEL_01055	K02835
OFGNKLEL_01059	K07098
OFGNKLEL_01062	K05567
OFGNKLEL_01063	K05568
OFGNKLEL_01072	K02031
OFGNKLEL_01076	K07636
OFGNKLEL_01077	K02485
OFGNKLEL_01080	K02481
OFGNKLEL_01081	K07710
OFGNKLEL_01082	K13004
OFGNKLEL_01083	K00633
OFGNKLEL_01088	K02456
OFGNKLEL_01090	K01586
OFGNKLEL_01095	K06864
OFGNKLEL_01096	K00940
OFGNKLEL_01097	K00859
OFGNKLEL_01098	K03628
OFGNKLEL_01099	K02909
OFGNKLEL_01101	K00012
OFGNKLEL_01102	K01256
OFGNKLEL_01103	K14441
OFGNKLEL_01104	K04079
OFGNKLEL_01105	K01647
OFGNKLEL_01106	K01126
OFGNKLEL_01107	K01620
OFGNKLEL_01114	K03296
OFGNKLEL_01117	K03186
OFGNKLEL_01118	K00278
OFGNKLEL_01120	K11526
OFGNKLEL_01121	K11527
OFGNKLEL_01128	K01996
OFGNKLEL_01129	K01995
OFGNKLEL_01130	K01998
OFGNKLEL_01135	K21307
OFGNKLEL_01137	K06206
OFGNKLEL_01138	K13819
OFGNKLEL_01139	K04487
OFGNKLEL_01141	K02006
OFGNKLEL_01142	K03738
OFGNKLEL_01144	K07462
OFGNKLEL_01145	K02614
OFGNKLEL_01146	K08153
OFGNKLEL_01147	K00239
OFGNKLEL_01151	K07096
OFGNKLEL_01154	K00053
OFGNKLEL_01155	K18682
OFGNKLEL_01156	K01866
OFGNKLEL_01160	K00031
OFGNKLEL_01163	K11249
OFGNKLEL_01170	K00286
OFGNKLEL_01172	K01897
OFGNKLEL_01173	K02032
OFGNKLEL_01174	K01995
OFGNKLEL_01175	K01996
OFGNKLEL_01176	K11956
OFGNKLEL_01177	K11955
OFGNKLEL_01179	K00244
OFGNKLEL_01180	K00245
OFGNKLEL_01181	K01676
OFGNKLEL_01183	K01679
OFGNKLEL_01185	K00287
OFGNKLEL_01187	K05834
OFGNKLEL_01196	K03723
OFGNKLEL_01198	K00943
OFGNKLEL_01199	K07137
OFGNKLEL_01200	K01737
OFGNKLEL_01201	K03686
OFGNKLEL_01202	K03183
OFGNKLEL_01205	K03496
OFGNKLEL_01211	K02028
OFGNKLEL_01213	K00626
OFGNKLEL_01216	K03388
OFGNKLEL_01217	K01448
OFGNKLEL_01218	K03555
OFGNKLEL_01219	K12733
OFGNKLEL_01224	K09778
OFGNKLEL_01226	K22015
OFGNKLEL_01227	K02379
OFGNKLEL_01231	K05788
OFGNKLEL_01232	K07491
OFGNKLEL_01234	K03704
OFGNKLEL_01235	K03797
OFGNKLEL_01236	K09798
OFGNKLEL_01237	K13355
OFGNKLEL_01238	K09810
OFGNKLEL_01239	K09808
OFGNKLEL_01240	K04567
OFGNKLEL_01241	K00548
OFGNKLEL_01247	K09748
OFGNKLEL_01248	K02600
OFGNKLEL_01249	K02519
OFGNKLEL_01251	K03177
OFGNKLEL_01252	K02956
OFGNKLEL_01254	K13770
OFGNKLEL_01256	K01338
OFGNKLEL_01257	K01338
OFGNKLEL_01258	K02654
OFGNKLEL_01259	K03530
OFGNKLEL_01261	K07019
OFGNKLEL_01262	K00059
OFGNKLEL_01263	K03453
OFGNKLEL_01266	K06871
OFGNKLEL_01270	K03738
OFGNKLEL_01271	K00833
OFGNKLEL_01279	K00793
OFGNKLEL_01280	K14652
OFGNKLEL_01281	K00794
OFGNKLEL_01282	K03625
OFGNKLEL_01283	K07486
OFGNKLEL_01288	K07080
OFGNKLEL_01292	K05601
OFGNKLEL_01293	K21556
OFGNKLEL_01294	K11068
OFGNKLEL_01297	K00059
OFGNKLEL_01300	K01768
OFGNKLEL_01315	K06897
OFGNKLEL_01321	K07658
OFGNKLEL_01324	K07652
OFGNKLEL_01325	K03325
OFGNKLEL_01326	K02003
OFGNKLEL_01327	K02004
OFGNKLEL_01330	K02013
OFGNKLEL_01331	K02899
OFGNKLEL_01332	K02888
OFGNKLEL_01334	K07636
OFGNKLEL_01335	K07658
OFGNKLEL_01342	K02653
OFGNKLEL_01343	K03070
OFGNKLEL_01344	K06891
OFGNKLEL_01347	K01613
OFGNKLEL_01348	K17103
OFGNKLEL_01349	K03624
OFGNKLEL_01351	K03615
OFGNKLEL_01353	K04027
OFGNKLEL_01354	K13993
OFGNKLEL_01359	K11179
OFGNKLEL_01363	K00108
OFGNKLEL_01367	K03216
OFGNKLEL_01380	K01791
OFGNKLEL_01385	K00246
OFGNKLEL_01386	K01902
OFGNKLEL_01387	K01903
OFGNKLEL_01388	K02881
OFGNKLEL_01389	K02988
OFGNKLEL_01391	K02876
OFGNKLEL_01392	K03076
OFGNKLEL_01393	K02518
OFGNKLEL_01394	K02919
OFGNKLEL_01395	K02952
OFGNKLEL_01396	K02948
OFGNKLEL_01397	K02986
OFGNKLEL_01398	K03040
OFGNKLEL_01399	K02879
OFGNKLEL_01405	K03466
OFGNKLEL_01407	K03390
OFGNKLEL_01409	K03086
OFGNKLEL_01410	K02316
OFGNKLEL_01413	K03718
OFGNKLEL_01414	K22293
OFGNKLEL_01416	K00180
OFGNKLEL_01417	K00179
OFGNKLEL_01418	K02335
OFGNKLEL_01421	K00858
OFGNKLEL_01422	K01153
OFGNKLEL_01424	K00688
OFGNKLEL_01428	K00958
OFGNKLEL_01431	K03424
OFGNKLEL_01433	K03786
OFGNKLEL_01434	K00180
OFGNKLEL_01435	K00179
OFGNKLEL_01436	K00566
OFGNKLEL_01439	K00605
OFGNKLEL_01443	K06714
OFGNKLEL_01445	K03497
OFGNKLEL_01450	K07979
OFGNKLEL_01451	K17286
OFGNKLEL_01454	K03272
OFGNKLEL_01455	K05810
OFGNKLEL_01458	K02108
OFGNKLEL_01462	K07133
OFGNKLEL_01463	K07133
OFGNKLEL_01465	K06966
OFGNKLEL_01466	K02622
OFGNKLEL_01469	K09251
OFGNKLEL_01470	K07639
OFGNKLEL_01471	K07661
OFGNKLEL_01476	K11959
OFGNKLEL_01478	K18210
OFGNKLEL_01479	K00102
OFGNKLEL_01481	K01925
OFGNKLEL_01482	K03588
OFGNKLEL_01483	K02563
OFGNKLEL_01484	K01924
OFGNKLEL_01485	K00075
OFGNKLEL_01487	K03590
OFGNKLEL_01489	K02160
OFGNKLEL_01490	K01961
OFGNKLEL_01491	K01470
OFGNKLEL_01493	K00074
OFGNKLEL_01494	K02488
OFGNKLEL_01495	K07058
OFGNKLEL_01498	K13292
OFGNKLEL_01499	K01476
OFGNKLEL_01507	K05592
OFGNKLEL_01509	K03118
OFGNKLEL_01511	K02224
OFGNKLEL_01516	K07126
OFGNKLEL_01518	K11261
OFGNKLEL_01520	K08189
OFGNKLEL_01521	K01486
OFGNKLEL_01522	K01886
OFGNKLEL_01523	K01883
OFGNKLEL_01524	K03523
OFGNKLEL_01525	K16786
OFGNKLEL_01526	K16785
OFGNKLEL_01528	K01990
OFGNKLEL_01532	K01586
OFGNKLEL_01535	K03814
OFGNKLEL_01537	K07516
OFGNKLEL_01538	K00632
OFGNKLEL_01541	K03547
OFGNKLEL_01542	K02946
OFGNKLEL_01543	K02906
OFGNKLEL_01544	K02926
OFGNKLEL_01545	K02892
OFGNKLEL_01546	K02886
OFGNKLEL_01547	K02965
OFGNKLEL_01548	K02890
OFGNKLEL_01549	K02982
OFGNKLEL_01550	K02878
OFGNKLEL_01552	K02961
OFGNKLEL_01553	K02874
OFGNKLEL_01554	K02895
OFGNKLEL_01555	K02931
OFGNKLEL_01556	K02994
OFGNKLEL_01557	K02933
OFGNKLEL_01558	K02881
OFGNKLEL_01560	K00606
OFGNKLEL_01561	K03718
OFGNKLEL_01571	K09777
OFGNKLEL_01572	K00942
OFGNKLEL_01573	K03218
OFGNKLEL_01574	K02242
OFGNKLEL_01579	K07309
OFGNKLEL_01583	K00133
OFGNKLEL_01585	K07443
OFGNKLEL_01595	K03727
OFGNKLEL_01596	K09022
OFGNKLEL_01601	K00262
OFGNKLEL_01606	K07648
OFGNKLEL_01608	K03695
OFGNKLEL_01612	K07783
OFGNKLEL_01615	K18166
OFGNKLEL_01617	K00127
OFGNKLEL_01619	K07493
OFGNKLEL_01621	K07497
OFGNKLEL_01625	K12972
OFGNKLEL_01635	K03614
OFGNKLEL_01636	K03615
OFGNKLEL_01649	K03498
OFGNKLEL_01650	K03499
OFGNKLEL_01654	K07133
OFGNKLEL_01656	K10536
OFGNKLEL_01657	K10536
OFGNKLEL_01658	K11069
OFGNKLEL_01659	K11070
OFGNKLEL_01660	K11071
OFGNKLEL_01661	K11072
OFGNKLEL_01665	K07777
OFGNKLEL_01666	K07689
OFGNKLEL_01670	K03569
OFGNKLEL_01672	K02035
OFGNKLEL_01673	K02031
OFGNKLEL_01674	K07018
OFGNKLEL_01675	K03333
OFGNKLEL_01684	K06193
OFGNKLEL_01686	K13082
OFGNKLEL_01696	K06196
OFGNKLEL_01698	K01908
OFGNKLEL_01699	K02342
OFGNKLEL_01702	K03496
OFGNKLEL_01703	K04763
OFGNKLEL_01704	K01779
OFGNKLEL_01705	K05396
OFGNKLEL_01720	K00600
OFGNKLEL_01722	K01711
OFGNKLEL_01723	K01710
OFGNKLEL_01724	K02377
OFGNKLEL_01725	K00973
OFGNKLEL_01726	K01790
OFGNKLEL_01727	K00067
OFGNKLEL_01729	K13532
OFGNKLEL_01731	K07680
OFGNKLEL_01736	K11527
OFGNKLEL_01737	K00575
OFGNKLEL_01738	K03412
OFGNKLEL_01740	K14640
OFGNKLEL_01741	K01163
OFGNKLEL_01742	K11072
OFGNKLEL_01743	K11070
OFGNKLEL_01746	K00567
OFGNKLEL_01749	K09761
OFGNKLEL_01751	K00314
OFGNKLEL_01754	K02837
OFGNKLEL_01755	K00831
OFGNKLEL_01758	K21395
OFGNKLEL_01760	K03168
OFGNKLEL_01761	K02356
OFGNKLEL_01767	K01689
OFGNKLEL_01769	K00074
OFGNKLEL_01770	K00626
OFGNKLEL_01772	K01897
OFGNKLEL_01773	K02470
OFGNKLEL_01776	K14261
OFGNKLEL_01778	K03657
OFGNKLEL_01781	K00963
OFGNKLEL_01783	K01714
OFGNKLEL_01788	K02034
OFGNKLEL_01789	K15583
OFGNKLEL_01790	K02032
OFGNKLEL_01793	K01768
OFGNKLEL_01794	K03519
OFGNKLEL_01795	K03518
OFGNKLEL_01796	K03520
OFGNKLEL_01799	K09996
OFGNKLEL_01800	K02029
OFGNKLEL_01801	K02028
OFGNKLEL_01803	K02481
OFGNKLEL_01805	K02340
OFGNKLEL_01806	K00873
OFGNKLEL_01807	K03644
OFGNKLEL_01808	K03801
OFGNKLEL_01809	K00283
OFGNKLEL_01819	K08303
OFGNKLEL_01826	K01778
OFGNKLEL_01828	K01912
OFGNKLEL_01834	K00602
OFGNKLEL_01835	K00602
OFGNKLEL_01836	K12573
OFGNKLEL_01839	K00059
OFGNKLEL_01848	K11071
OFGNKLEL_01849	K11070
OFGNKLEL_01856	K01338
OFGNKLEL_01857	K03702
OFGNKLEL_01858	K03703
OFGNKLEL_01862	K07133
OFGNKLEL_01863	K03856
OFGNKLEL_01864	K06959
OFGNKLEL_01865	K11065
OFGNKLEL_01873	K02065
OFGNKLEL_01874	K02067
OFGNKLEL_01875	K04754
OFGNKLEL_01876	K11206
OFGNKLEL_01877	K00764
OFGNKLEL_01878	K01955
OFGNKLEL_01879	K01956
OFGNKLEL_01884	K03742
OFGNKLEL_01886	K03215
OFGNKLEL_01902	K18258
OFGNKLEL_01904	K09141
OFGNKLEL_01905	K01756
OFGNKLEL_01908	K07713
OFGNKLEL_01909	K07709
OFGNKLEL_01910	K12405
OFGNKLEL_01913	K07658
OFGNKLEL_01914	K07652
OFGNKLEL_01918	K09181
OFGNKLEL_01919	K06213
OFGNKLEL_01920	K01966
OFGNKLEL_01922	K01960
OFGNKLEL_01925	K15633
OFGNKLEL_01928	K21395
OFGNKLEL_01934	K00104
OFGNKLEL_01935	K00830
OFGNKLEL_01936	K16792
OFGNKLEL_01937	K00008
OFGNKLEL_01942	K00925
OFGNKLEL_01943	K12132
OFGNKLEL_01946	K03701
OFGNKLEL_01947	K00097
OFGNKLEL_01948	K03738
OFGNKLEL_01950	K06180
OFGNKLEL_01952	K03738
OFGNKLEL_01953	K00314
OFGNKLEL_01954	K01473
OFGNKLEL_01955	K02035
OFGNKLEL_01956	K02031
OFGNKLEL_01960	K06187
OFGNKLEL_01964	K00824
OFGNKLEL_01965	K01990
OFGNKLEL_01968	K01715
OFGNKLEL_01972	K07710
OFGNKLEL_01973	K07636
OFGNKLEL_01974	K02481
OFGNKLEL_01975	K07710
OFGNKLEL_01976	K03773
OFGNKLEL_01981	K07497
OFGNKLEL_01983	K11358
OFGNKLEL_01985	K00015
OFGNKLEL_01989	K07126
OFGNKLEL_01991	K00864
OFGNKLEL_01992	K00111
OFGNKLEL_01995	K03980
OFGNKLEL_01998	K01995
OFGNKLEL_01999	K01996
OFGNKLEL_02000	K01997
OFGNKLEL_02001	K01999
OFGNKLEL_02002	K01995
OFGNKLEL_02005	K03657
OFGNKLEL_02006	K01835
OFGNKLEL_02007	K03583
OFGNKLEL_02008	K03582
OFGNKLEL_02012	K07133
OFGNKLEL_02014	K07714
OFGNKLEL_02016	K02584
