GJALPCBL_00001	K03701
GJALPCBL_00341	K04763
GJALPCBL_00344	K00927
GJALPCBL_00345	K01057
GJALPCBL_00346	K00036
GJALPCBL_00349	K00789
GJALPCBL_00351	K01972
GJALPCBL_00357	K05844
GJALPCBL_00360	K12343
GJALPCBL_00364	K03531
GJALPCBL_00365	K01520
GJALPCBL_00369	K21304
GJALPCBL_00371	K03088
GJALPCBL_00372	K01951
GJALPCBL_00376	K01791
GJALPCBL_00377	K01834
GJALPCBL_00382	K00554
GJALPCBL_00383	K06158
GJALPCBL_00388	K02503
GJALPCBL_00389	K02945
GJALPCBL_00391	K03215
GJALPCBL_00392	K00783
GJALPCBL_00393	K07461
GJALPCBL_00394	K00526
GJALPCBL_00395	K00525
GJALPCBL_00396	K03703
GJALPCBL_00401	K01869
GJALPCBL_00402	K03977
GJALPCBL_00410	K04564
GJALPCBL_00416	K09014
GJALPCBL_00420	K09807
GJALPCBL_00421	K09013
GJALPCBL_00428	K00384
GJALPCBL_00429	K00262
GJALPCBL_00430	K03070
GJALPCBL_00437	K02117
GJALPCBL_00438	K02118
GJALPCBL_00440	K02120
GJALPCBL_00441	K02887
GJALPCBL_00442	K02916
GJALPCBL_00443	K02520
GJALPCBL_00451	K04066
GJALPCBL_00454	K01952
GJALPCBL_00455	K02838
GJALPCBL_00456	K09903
GJALPCBL_00461	K11752
GJALPCBL_00462	K02355
GJALPCBL_00471	K01929
GJALPCBL_00472	K15895
GJALPCBL_00473	K01151
GJALPCBL_00474	K00134
GJALPCBL_00475	K04043
GJALPCBL_00476	K02427
GJALPCBL_00477	K09812
GJALPCBL_00479	K01933
GJALPCBL_00489	K02884
GJALPCBL_00497	K02982
GJALPCBL_00498	K02890
GJALPCBL_00499	K02965
GJALPCBL_00500	K02886
GJALPCBL_00504	K12451
GJALPCBL_00505	K03466
GJALPCBL_00506	K02428
GJALPCBL_00508	K03657
GJALPCBL_00510	K00820
GJALPCBL_00511	K03587
GJALPCBL_00513	K02897
GJALPCBL_00519	K02669
GJALPCBL_00533	K02867
GJALPCBL_00537	K00963
GJALPCBL_00541	K08974
GJALPCBL_00542	K06153
GJALPCBL_00544	K07462
GJALPCBL_00551	K01928
GJALPCBL_00552	K13292
GJALPCBL_00557	K02347
GJALPCBL_00559	K01251
GJALPCBL_00560	K00856
GJALPCBL_00561	K00012
GJALPCBL_00562	K08679
GJALPCBL_00565	K00721
GJALPCBL_00566	K01784
GJALPCBL_00572	K19304
GJALPCBL_00573	K06925
GJALPCBL_00577	K00791
GJALPCBL_00582	K06941
GJALPCBL_00583	K06969
GJALPCBL_00585	K15255
GJALPCBL_00587	K17828
GJALPCBL_00588	K02823
GJALPCBL_00592	K06207
GJALPCBL_00596	K09775
GJALPCBL_00597	K01881
GJALPCBL_00607	K03798
GJALPCBL_00608	K01756
GJALPCBL_00612	K00174
GJALPCBL_00613	K00175
GJALPCBL_00619	K16052
GJALPCBL_00620	K01823
GJALPCBL_00621	K00806
GJALPCBL_00623	K01597
GJALPCBL_00627	K03588
GJALPCBL_00628	K02563
GJALPCBL_00629	K03768
GJALPCBL_00630	K01885
GJALPCBL_00638	K00793
GJALPCBL_00639	K00794
GJALPCBL_00640	K07658
GJALPCBL_00641	K02357
GJALPCBL_00642	K02967
GJALPCBL_00644	K01880
GJALPCBL_00651	K01875
GJALPCBL_00653	K01439
GJALPCBL_00660	K03655
GJALPCBL_00661	K17286
GJALPCBL_00664	K04096
GJALPCBL_00673	K04077
GJALPCBL_00674	K03550
GJALPCBL_00677	K07056
GJALPCBL_00678	K02469
GJALPCBL_00680	K03705
GJALPCBL_00683	K07146
GJALPCBL_00686	K00600
GJALPCBL_00687	K01934
GJALPCBL_00688	K02343
GJALPCBL_00692	K01892
GJALPCBL_00698	K02124
GJALPCBL_00699	K02123
GJALPCBL_00702	K22224
GJALPCBL_00708	K00616
GJALPCBL_00709	K00033
