LOIDMEJA_00001	K16046
LOIDMEJA_00125	K00954
LOIDMEJA_00126	K08316
LOIDMEJA_00127	K03110
LOIDMEJA_00128	K09812
LOIDMEJA_00130	K03089
LOIDMEJA_00132	K03439
LOIDMEJA_00134	K02428
LOIDMEJA_00137	K00286
LOIDMEJA_00138	K06997
LOIDMEJA_00139	K03498
LOIDMEJA_00140	K16868
LOIDMEJA_00142	K01246
LOIDMEJA_00143	K01878
LOIDMEJA_00144	K01879
LOIDMEJA_00145	K03273
LOIDMEJA_00146	K02470
LOIDMEJA_00147	K03629
LOIDMEJA_00148	K02338
LOIDMEJA_00149	K02338
LOIDMEJA_00150	K02313
LOIDMEJA_00152	K00249
LOIDMEJA_00158	K07516
LOIDMEJA_00159	K07102
LOIDMEJA_00160	K00992
LOIDMEJA_00161	K01783
LOIDMEJA_00162	K01657
LOIDMEJA_00163	K01658
LOIDMEJA_00164	K00766
LOIDMEJA_00165	K01609
LOIDMEJA_00166	K10914
LOIDMEJA_00167	K07397
LOIDMEJA_00170	K04739
LOIDMEJA_00172	K01633
LOIDMEJA_00173	K01409
LOIDMEJA_00179	K00528
LOIDMEJA_00185	K02033
LOIDMEJA_00186	K13895
LOIDMEJA_00187	K02035
LOIDMEJA_00188	K02031
LOIDMEJA_00189	K02032
LOIDMEJA_00191	K00001
LOIDMEJA_00193	K03924
LOIDMEJA_00198	K02257
LOIDMEJA_00199	K07152
LOIDMEJA_00200	K18912
LOIDMEJA_00201	K18911
LOIDMEJA_00202	K02204
LOIDMEJA_00204	K02335
LOIDMEJA_00205	K03978
LOIDMEJA_00207	K03673
LOIDMEJA_00208	K05788
LOIDMEJA_00209	K00088
LOIDMEJA_00211	K07391
LOIDMEJA_00213	K00065
LOIDMEJA_00214	K01715
LOIDMEJA_00217	K03796
LOIDMEJA_00220	K18703
LOIDMEJA_00221	K18889
LOIDMEJA_00222	K06147
LOIDMEJA_00223	K00432
LOIDMEJA_00224	K00784
LOIDMEJA_00229	K00117
LOIDMEJA_00232	K00059
LOIDMEJA_00233	K00820
LOIDMEJA_00234	K03657
LOIDMEJA_00236	K20497
LOIDMEJA_00242	K03179
LOIDMEJA_00244	K03309
LOIDMEJA_00245	K03655
LOIDMEJA_00246	K09022
LOIDMEJA_00247	K01139
LOIDMEJA_00248	K03060
LOIDMEJA_00249	K00942
LOIDMEJA_00251	K08483
LOIDMEJA_00253	K13292
LOIDMEJA_00254	K00209
LOIDMEJA_00255	K01768
LOIDMEJA_00256	K01599
LOIDMEJA_00257	K14682
LOIDMEJA_00258	K01438
LOIDMEJA_00259	K02652
LOIDMEJA_00260	K00864
LOIDMEJA_00263	K00821
LOIDMEJA_00264	K07390
LOIDMEJA_00268	K07053
LOIDMEJA_00277	K11162
LOIDMEJA_00278	K00108
LOIDMEJA_00280	K03531
LOIDMEJA_00281	K02535
LOIDMEJA_00283	K19304
LOIDMEJA_00284	K04069
LOIDMEJA_00286	K01703
LOIDMEJA_00287	K01704
LOIDMEJA_00288	K01649
LOIDMEJA_00291	K00219
LOIDMEJA_00295	K00059
LOIDMEJA_00298	K11085
LOIDMEJA_00300	K07153
LOIDMEJA_00301	K00566
LOIDMEJA_00302	K03637
LOIDMEJA_00304	K03635
LOIDMEJA_00305	K06181
LOIDMEJA_00306	K03704
LOIDMEJA_00307	K06891
LOIDMEJA_00308	K03694
LOIDMEJA_00309	K02518
LOIDMEJA_00310	K00685
LOIDMEJA_00311	K00684
LOIDMEJA_00312	K00384
LOIDMEJA_00315	K02018
LOIDMEJA_00316	K02017
LOIDMEJA_00320	K00059
LOIDMEJA_00321	K08973
LOIDMEJA_00323	K00800
LOIDMEJA_00325	K00567
LOIDMEJA_00326	K13529
LOIDMEJA_00327	K14155
LOIDMEJA_00328	K23016
LOIDMEJA_00332	K05592
LOIDMEJA_00338	K11527
LOIDMEJA_00344	K15738
LOIDMEJA_00345	K18967
LOIDMEJA_00346	K01424
LOIDMEJA_00347	K00101
LOIDMEJA_00348	K06969
LOIDMEJA_00350	K07277
LOIDMEJA_00352	K02536
LOIDMEJA_00353	K02372
LOIDMEJA_00354	K00748
LOIDMEJA_00355	K03470
LOIDMEJA_00359	K02527
LOIDMEJA_00362	K03272
LOIDMEJA_00364	K00612
LOIDMEJA_00367	K02848
LOIDMEJA_00368	K02844
LOIDMEJA_00370	K06917
LOIDMEJA_00373	K03316
LOIDMEJA_00374	K18244
LOIDMEJA_00378	K00248
LOIDMEJA_00380	K00228
LOIDMEJA_00381	K14287
LOIDMEJA_00382	K13566
LOIDMEJA_00385	K01480
LOIDMEJA_00386	K16871
LOIDMEJA_00387	K01915
LOIDMEJA_00390	K00605
LOIDMEJA_00394	K22443
LOIDMEJA_00395	K11527
LOIDMEJA_00396	K01130
LOIDMEJA_00402	K07003
LOIDMEJA_00406	K01426
LOIDMEJA_00408	K13239
LOIDMEJA_00411	K00806
LOIDMEJA_00415	K07161
LOIDMEJA_00419	K10805
LOIDMEJA_00420	K01251
LOIDMEJA_00423	K07641
LOIDMEJA_00424	K07663
LOIDMEJA_00429	K00721
LOIDMEJA_00430	K22443
LOIDMEJA_00432	K03296
LOIDMEJA_00436	K15468
LOIDMEJA_00439	K10215
LOIDMEJA_00445	K03517
LOIDMEJA_00447	K01338
LOIDMEJA_00448	K00873
LOIDMEJA_00449	K02346
LOIDMEJA_00451	K02660
LOIDMEJA_00453	K11523
LOIDMEJA_00454	K07668
LOIDMEJA_00455	K01920
LOIDMEJA_00457	K07735
LOIDMEJA_00458	K07447
LOIDMEJA_00459	K02670
LOIDMEJA_00460	K02669
LOIDMEJA_00465	K03292
LOIDMEJA_00468	K07001
LOIDMEJA_00469	K01250
LOIDMEJA_00479	K15866
LOIDMEJA_00480	K09692
LOIDMEJA_00481	K01715
LOIDMEJA_00489	K01687
LOIDMEJA_00492	K11209
LOIDMEJA_00497	K11187
LOIDMEJA_00499	K08190
LOIDMEJA_00504	K00433
LOIDMEJA_00506	K22443
LOIDMEJA_00510	K01692
LOIDMEJA_00515	K00465
LOIDMEJA_00516	K00086
LOIDMEJA_00526	K18453
LOIDMEJA_00527	K01952
LOIDMEJA_00528	K11991
LOIDMEJA_00532	K07729
LOIDMEJA_00536	K16210
LOIDMEJA_00537	K21966
LOIDMEJA_00540	K17509
LOIDMEJA_00541	K05884
LOIDMEJA_00542	K08299
LOIDMEJA_00543	K03638
LOIDMEJA_00544	K03750
LOIDMEJA_00551	K03576
LOIDMEJA_00552	K00275
LOIDMEJA_00561	K18703
LOIDMEJA_00565	K16050
LOIDMEJA_00567	K01436
LOIDMEJA_00573	K08726
LOIDMEJA_00574	K15866
LOIDMEJA_00578	K00059
LOIDMEJA_00579	K22131
LOIDMEJA_00581	K19245
LOIDMEJA_00582	K01630
LOIDMEJA_00584	K18703
LOIDMEJA_00586	K03314
LOIDMEJA_00590	K00108
LOIDMEJA_00593	K11927
LOIDMEJA_00599	K02275
LOIDMEJA_00600	K01414
LOIDMEJA_00601	K00014
LOIDMEJA_00602	K07566
LOIDMEJA_00603	K01588
LOIDMEJA_00604	K04096
LOIDMEJA_00607	K01462
LOIDMEJA_00613	K03774
LOIDMEJA_00614	K03101
LOIDMEJA_00615	K11753
LOIDMEJA_00616	K03980
LOIDMEJA_00618	K00931
LOIDMEJA_00619	K03979
LOIDMEJA_00620	K02899
LOIDMEJA_00621	K02888
LOIDMEJA_00622	K02523
LOIDMEJA_00627	K12340
LOIDMEJA_00628	K02433
LOIDMEJA_00629	K01870
LOIDMEJA_00630	K00626
LOIDMEJA_00635	K03086
LOIDMEJA_00640	K16092
LOIDMEJA_00644	K00078
LOIDMEJA_00648	K00760
LOIDMEJA_00649	K23016
LOIDMEJA_00650	K00249
LOIDMEJA_00652	K17725
LOIDMEJA_00653	K08189
LOIDMEJA_00655	K00059
LOIDMEJA_00656	K05592
LOIDMEJA_00661	K01113
LOIDMEJA_00665	K02836
LOIDMEJA_00666	K07462
LOIDMEJA_00667	K00003
LOIDMEJA_00668	K14261
LOIDMEJA_00670	K03981
LOIDMEJA_00671	K04763
LOIDMEJA_00672	K02884
LOIDMEJA_00673	K00554
LOIDMEJA_00674	K02860
LOIDMEJA_00675	K02959
LOIDMEJA_00676	K03106
LOIDMEJA_00679	K01649
LOIDMEJA_00682	K06978
LOIDMEJA_00687	K11527
LOIDMEJA_00689	K01118
LOIDMEJA_00696	K03566
LOIDMEJA_00697	K22443
LOIDMEJA_00699	K02014
LOIDMEJA_00700	K05916
LOIDMEJA_00702	K01273
LOIDMEJA_00703	K07511
LOIDMEJA_00704	K01354
LOIDMEJA_00707	K01580
LOIDMEJA_00708	K01897
LOIDMEJA_00710	K07303
LOIDMEJA_00711	K00106
LOIDMEJA_00713	K00591
LOIDMEJA_00716	K19222
LOIDMEJA_00722	K07119
LOIDMEJA_00725	K00022
LOIDMEJA_00726	K00059
LOIDMEJA_00734	K22579
LOIDMEJA_00736	K06147
LOIDMEJA_00737	K06147
LOIDMEJA_00739	K00681
LOIDMEJA_00742	K01913
LOIDMEJA_00743	K04773
LOIDMEJA_00745	K15363
LOIDMEJA_00747	K01265
LOIDMEJA_00749	K07636
LOIDMEJA_00750	K02483
LOIDMEJA_00751	K09458
LOIDMEJA_00753	K00721
LOIDMEJA_00755	K03525
LOIDMEJA_00756	K01918
LOIDMEJA_00757	K00606
LOIDMEJA_00760	K03086
LOIDMEJA_00763	K02521
LOIDMEJA_00765	K00641
LOIDMEJA_00768	K15866
LOIDMEJA_00769	K05888
LOIDMEJA_00771	K02014
LOIDMEJA_00772	K03701
LOIDMEJA_00773	K03742
LOIDMEJA_00778	K22443
LOIDMEJA_00779	K13574
LOIDMEJA_00780	K17509
LOIDMEJA_00782	K08997
LOIDMEJA_00783	K01563
LOIDMEJA_00788	K00121
LOIDMEJA_00789	K11147
LOIDMEJA_00790	K06217
LOIDMEJA_00797	K02434
LOIDMEJA_00798	K02433
LOIDMEJA_00801	K03569
LOIDMEJA_00802	K03570
LOIDMEJA_00803	K03571
LOIDMEJA_00804	K06287
LOIDMEJA_00805	K08301
LOIDMEJA_00809	K00392
LOIDMEJA_00811	K03695
LOIDMEJA_00812	K00901
LOIDMEJA_00813	K04760
LOIDMEJA_00814	K00817
LOIDMEJA_00815	K10805
LOIDMEJA_00816	K02238
LOIDMEJA_00818	K09808
LOIDMEJA_00819	K09810
LOIDMEJA_00820	K09808
LOIDMEJA_00822	K03734
LOIDMEJA_00824	K05396
LOIDMEJA_00826	K01042
LOIDMEJA_00827	K03833
LOIDMEJA_00832	K00059
LOIDMEJA_00833	K06153
LOIDMEJA_00835	K00147
LOIDMEJA_00836	K00969
LOIDMEJA_00837	K09710
LOIDMEJA_00838	K00783
LOIDMEJA_00839	K05515
LOIDMEJA_00840	K05837
LOIDMEJA_00841	K08305
LOIDMEJA_00842	K03642
LOIDMEJA_00843	K07258
LOIDMEJA_00845	K03801
LOIDMEJA_00847	K00153
LOIDMEJA_00852	K01439
LOIDMEJA_00853	K00059
LOIDMEJA_00855	K21395
LOIDMEJA_00857	K01069
LOIDMEJA_00858	K00655
LOIDMEJA_00860	K01692
LOIDMEJA_00861	K01834
LOIDMEJA_00867	K12374
LOIDMEJA_00872	K18398
LOIDMEJA_00874	K14206
LOIDMEJA_00877	K03296
LOIDMEJA_00880	K09491
LOIDMEJA_00885	K00059
LOIDMEJA_00886	K01595
LOIDMEJA_00888	K06607
LOIDMEJA_00893	K02483
LOIDMEJA_00898	K05708
LOIDMEJA_00899	K03327
LOIDMEJA_00900	K00351
LOIDMEJA_00904	K09861
LOIDMEJA_00905	K12132
LOIDMEJA_00906	K20074
LOIDMEJA_00908	K01768
LOIDMEJA_00909	K05527
LOIDMEJA_00910	K07043
LOIDMEJA_00911	K10804
LOIDMEJA_00912	K02003
LOIDMEJA_00913	K03088
LOIDMEJA_00915	K01495
LOIDMEJA_00918	K00243
LOIDMEJA_00919	K03579
LOIDMEJA_00920	K16046
LOIDMEJA_00923	K00059
LOIDMEJA_00928	K03405
LOIDMEJA_00933	K02556
LOIDMEJA_00934	K02557
LOIDMEJA_00935	K00889
LOIDMEJA_00936	K02557
LOIDMEJA_00937	K02556
LOIDMEJA_00938	K02405
LOIDMEJA_00939	K04562
LOIDMEJA_00940	K02404
LOIDMEJA_00941	K02400
LOIDMEJA_00942	K02401
LOIDMEJA_00943	K02421
LOIDMEJA_00944	K02420
LOIDMEJA_00945	K02419
LOIDMEJA_00946	K02418
LOIDMEJA_00947	K02417
LOIDMEJA_00952	K02412
LOIDMEJA_00954	K02410
LOIDMEJA_00955	K02409
LOIDMEJA_00957	K07714
LOIDMEJA_00958	K07652
LOIDMEJA_00959	K07714
LOIDMEJA_00964	K02386
LOIDMEJA_00965	K02387
LOIDMEJA_00966	K02388
LOIDMEJA_00968	K02390
LOIDMEJA_00969	K02391
LOIDMEJA_00970	K02392
LOIDMEJA_00972	K02394
LOIDMEJA_00973	K02395
LOIDMEJA_00977	K05931
LOIDMEJA_00979	K07651
LOIDMEJA_00980	K07684
LOIDMEJA_00981	K04659
LOIDMEJA_00986	K01062
LOIDMEJA_00991	K03292
LOIDMEJA_00995	K05708
LOIDMEJA_01000	K00382
LOIDMEJA_01001	K01903
LOIDMEJA_01002	K01902
LOIDMEJA_01004	K04079
LOIDMEJA_01009	K15468
LOIDMEJA_01010	K01070
LOIDMEJA_01012	K09841
LOIDMEJA_01015	K14733
LOIDMEJA_01016	K06158
LOIDMEJA_01020	K01919
LOIDMEJA_01022	K04762
LOIDMEJA_01023	K06966
LOIDMEJA_01024	K03313
LOIDMEJA_01025	K03799
LOIDMEJA_01028	K22820
LOIDMEJA_01030	K15866
LOIDMEJA_01032	K00799
LOIDMEJA_01036	K00314
LOIDMEJA_01038	K00315
LOIDMEJA_01042	K03924
LOIDMEJA_01045	K01682
LOIDMEJA_01046	K14162
LOIDMEJA_01047	K07119
LOIDMEJA_01053	K06147
LOIDMEJA_01054	K07512
LOIDMEJA_01062	K06897
LOIDMEJA_01065	K15866
LOIDMEJA_01066	K15866
LOIDMEJA_01070	K07710
LOIDMEJA_01071	K05807
LOIDMEJA_01073	K03593
LOIDMEJA_01074	K01494
LOIDMEJA_01077	K08744
LOIDMEJA_01079	K10763
LOIDMEJA_01080	K02563
LOIDMEJA_01081	K12941
LOIDMEJA_01083	K01990
LOIDMEJA_01087	K01581
LOIDMEJA_01091	K03835
LOIDMEJA_01094	K00249
LOIDMEJA_01095	K05819
LOIDMEJA_01096	K16593
LOIDMEJA_01100	K03495
LOIDMEJA_01101	K03501
LOIDMEJA_01102	K03496
LOIDMEJA_01103	K03497
LOIDMEJA_01106	K02108
LOIDMEJA_01107	K02110
LOIDMEJA_01108	K02109
LOIDMEJA_01109	K02113
LOIDMEJA_01111	K07515
LOIDMEJA_01117	K01810
LOIDMEJA_01119	K00077
LOIDMEJA_01127	K19226
LOIDMEJA_01129	K01438
LOIDMEJA_01131	K06147
LOIDMEJA_01132	K00799
LOIDMEJA_01133	K18688
LOIDMEJA_01134	K01634
LOIDMEJA_01136	K02343
LOIDMEJA_01137	K09747
LOIDMEJA_01138	K06187
LOIDMEJA_01139	K03684
LOIDMEJA_01141	K09160
LOIDMEJA_01144	K02168
LOIDMEJA_01149	K19802
LOIDMEJA_01151	K02992
LOIDMEJA_01152	K02355
LOIDMEJA_01153	K02358
LOIDMEJA_01155	K00666
LOIDMEJA_01157	K16317
LOIDMEJA_01158	K01796
LOIDMEJA_01159	K00249
LOIDMEJA_01161	K01661
LOIDMEJA_01163	K14162
LOIDMEJA_01165	K03342
LOIDMEJA_01167	K08351
LOIDMEJA_01173	K11720
LOIDMEJA_01177	K00059
LOIDMEJA_01179	K00059
LOIDMEJA_01181	K11517
LOIDMEJA_01183	K03286
LOIDMEJA_01185	K07119
LOIDMEJA_01187	K09456
LOIDMEJA_01188	K03315
LOIDMEJA_01190	K01945
LOIDMEJA_01191	K00974
LOIDMEJA_01192	K01525
LOIDMEJA_01193	K02528
LOIDMEJA_01194	K00097
LOIDMEJA_01195	K03771
LOIDMEJA_01197	K03695
LOIDMEJA_01198	K00901
LOIDMEJA_01199	K04760
LOIDMEJA_01200	K00817
LOIDMEJA_01201	K10805
LOIDMEJA_01202	K02238
LOIDMEJA_01204	K00020
LOIDMEJA_01205	K14572
LOIDMEJA_01206	K15866
LOIDMEJA_01207	K01714
LOIDMEJA_01209	K01423
LOIDMEJA_01212	K03734
LOIDMEJA_01215	K02199
LOIDMEJA_01216	K11752
LOIDMEJA_01217	K00794
LOIDMEJA_01218	K03625
LOIDMEJA_01221	K18703
LOIDMEJA_01222	K01640
LOIDMEJA_01225	K01768
LOIDMEJA_01231	K00164
LOIDMEJA_01232	K03612
LOIDMEJA_01233	K03613
LOIDMEJA_01234	K10773
LOIDMEJA_01235	K01940
LOIDMEJA_01237	K07056
LOIDMEJA_01238	K07121
LOIDMEJA_01239	K09693
LOIDMEJA_01240	K16870
LOIDMEJA_01241	K01240
LOIDMEJA_01243	K07101
LOIDMEJA_01246	K05607
LOIDMEJA_01248	K00059
LOIDMEJA_01249	K18703
LOIDMEJA_01250	K03215
LOIDMEJA_01251	K12339
LOIDMEJA_01254	K08022
LOIDMEJA_01257	K07301
LOIDMEJA_01258	K00626
LOIDMEJA_01263	K00600
LOIDMEJA_01265	K00102
LOIDMEJA_01267	K07020
LOIDMEJA_01268	K18703
LOIDMEJA_01271	K03292
LOIDMEJA_01277	K11163
LOIDMEJA_01278	K03704
LOIDMEJA_01279	K09858
LOIDMEJA_01280	K07305
LOIDMEJA_01281	K03773
LOIDMEJA_01283	K03583
LOIDMEJA_01284	K03582
LOIDMEJA_01285	K03581
LOIDMEJA_01289	K21029
LOIDMEJA_01290	K02493
LOIDMEJA_01291	K02835
LOIDMEJA_01292	K02492
LOIDMEJA_01296	K01692
LOIDMEJA_01303	K03308
LOIDMEJA_01304	K18979
LOIDMEJA_01309	K01426
LOIDMEJA_01310	K21900
LOIDMEJA_01311	K01736
LOIDMEJA_01312	K06147
LOIDMEJA_01313	K00799
LOIDMEJA_01317	K07678
LOIDMEJA_01318	K00997
LOIDMEJA_01319	K03584
LOIDMEJA_01320	K03595
LOIDMEJA_01321	K03685
LOIDMEJA_01323	K03100
LOIDMEJA_01324	K03596
LOIDMEJA_01325	K04771
LOIDMEJA_01329	K03088
LOIDMEJA_01336	K00330
LOIDMEJA_01337	K00331
LOIDMEJA_01338	K13378
LOIDMEJA_01339	K00334
LOIDMEJA_01340	K00335
LOIDMEJA_01341	K00336
LOIDMEJA_01342	K00337
LOIDMEJA_01343	K00338
LOIDMEJA_01344	K00339
LOIDMEJA_01345	K00340
LOIDMEJA_01346	K03829
LOIDMEJA_01349	K21430
LOIDMEJA_01354	K03925
LOIDMEJA_01355	K03438
LOIDMEJA_01357	K03587
LOIDMEJA_01358	K00174
LOIDMEJA_01359	K00175
LOIDMEJA_01364	K18665
LOIDMEJA_01365	K06148
LOIDMEJA_01366	K03518
LOIDMEJA_01367	K03520
LOIDMEJA_01370	K01138
LOIDMEJA_01375	K14392
LOIDMEJA_01382	K00059
LOIDMEJA_01383	K00248
LOIDMEJA_01385	K01966
LOIDMEJA_01387	K01299
LOIDMEJA_01389	K00477
LOIDMEJA_01391	K01961
LOIDMEJA_01394	K02670
LOIDMEJA_01395	K01933
LOIDMEJA_01397	K02501
LOIDMEJA_01398	K02500
LOIDMEJA_01413	K13444
LOIDMEJA_01423	K05786
LOIDMEJA_01424	K01358
LOIDMEJA_01425	K05708
LOIDMEJA_01426	K00059
LOIDMEJA_01427	K16046
LOIDMEJA_01433	K11150
LOIDMEJA_01434	K00059
LOIDMEJA_01439	K01686
LOIDMEJA_01442	K05799
LOIDMEJA_01445	K16044
LOIDMEJA_01452	K00790
LOIDMEJA_01453	K00765
LOIDMEJA_01457	K03762
LOIDMEJA_01460	K15631
LOIDMEJA_01461	K00372
LOIDMEJA_01463	K11212
LOIDMEJA_01464	K12234
LOIDMEJA_01470	K01692
LOIDMEJA_01473	K01692
LOIDMEJA_01479	K17227
LOIDMEJA_01480	K17226
LOIDMEJA_01486	K04763
LOIDMEJA_01487	K01061
LOIDMEJA_01491	K07137
LOIDMEJA_01493	K12736
LOIDMEJA_01494	K00018
LOIDMEJA_01497	K02453
LOIDMEJA_01499	K06929
LOIDMEJA_01506	K02114
LOIDMEJA_01507	K04042
LOIDMEJA_01508	K00820
LOIDMEJA_01513	K16090
LOIDMEJA_01514	K03296
LOIDMEJA_01515	K18141
LOIDMEJA_01517	K18703
LOIDMEJA_01523	K00981
LOIDMEJA_01524	K02838
LOIDMEJA_01525	K09903
LOIDMEJA_01526	K03518
LOIDMEJA_01527	K03520
LOIDMEJA_01531	K03563
LOIDMEJA_01532	K00928
LOIDMEJA_01533	K01872
LOIDMEJA_01535	K03553
LOIDMEJA_01537	K02226
LOIDMEJA_01540	K08081
LOIDMEJA_01549	K05888
LOIDMEJA_01551	K15537
LOIDMEJA_01552	K07386
LOIDMEJA_01553	K15987
LOIDMEJA_01556	K04084
LOIDMEJA_01557	K03786
LOIDMEJA_01558	K02160
LOIDMEJA_01559	K01961
LOIDMEJA_01560	K02687
LOIDMEJA_01562	K05540
LOIDMEJA_01563	K03557
LOIDMEJA_01564	K02379
LOIDMEJA_01568	K00264
LOIDMEJA_01573	K21310
LOIDMEJA_01578	K03929
LOIDMEJA_01579	K01253
LOIDMEJA_01580	K22071
LOIDMEJA_01581	K15468
LOIDMEJA_01583	K03564
LOIDMEJA_01586	K07146
LOIDMEJA_01589	K11729
LOIDMEJA_01590	K00344
LOIDMEJA_01591	K18703
LOIDMEJA_01592	K00666
LOIDMEJA_01598	K01997
LOIDMEJA_01599	K01998
LOIDMEJA_01600	K02336
LOIDMEJA_01601	K02013
LOIDMEJA_01603	K00314
LOIDMEJA_01606	K17474
LOIDMEJA_01607	K00108
LOIDMEJA_01609	K00249
LOIDMEJA_01612	K00059
LOIDMEJA_01614	K00008
LOIDMEJA_01615	K07511
LOIDMEJA_01619	K01563
LOIDMEJA_01620	K01130
LOIDMEJA_01621	K06177
LOIDMEJA_01627	K02509
LOIDMEJA_01630	K00151
LOIDMEJA_01632	K15468
LOIDMEJA_01640	K00108
LOIDMEJA_01644	K03119
LOIDMEJA_01647	K01652
LOIDMEJA_01648	K12405
LOIDMEJA_01649	K15866
LOIDMEJA_01651	K01968
LOIDMEJA_01652	K01907
LOIDMEJA_01654	K17743
LOIDMEJA_01656	K15981
LOIDMEJA_01657	K07588
LOIDMEJA_01658	K01847
LOIDMEJA_01659	K05606
LOIDMEJA_01660	K01961
LOIDMEJA_01661	K01966
LOIDMEJA_01662	K08683
LOIDMEJA_01664	K00027
LOIDMEJA_01669	K00059
LOIDMEJA_01676	K00661
LOIDMEJA_01677	K02003
LOIDMEJA_01680	K03119
LOIDMEJA_01683	K22390
LOIDMEJA_01685	K02199
LOIDMEJA_01688	K03734
LOIDMEJA_01693	K01759
LOIDMEJA_01697	K05539
LOIDMEJA_01700	K07315
LOIDMEJA_01701	K01079
LOIDMEJA_01703	K19810
LOIDMEJA_01704	K02356
LOIDMEJA_01705	K04568
LOIDMEJA_01706	K01613
LOIDMEJA_01707	K01011
LOIDMEJA_01708	K13288
LOIDMEJA_01709	K18979
LOIDMEJA_01710	K17758
LOIDMEJA_01711	K06925
LOIDMEJA_01712	K01448
LOIDMEJA_01713	K03572
LOIDMEJA_01716	K08159
LOIDMEJA_01717	K01897
LOIDMEJA_01720	K07220
LOIDMEJA_01722	K03119
LOIDMEJA_01723	K00626
LOIDMEJA_01733	K02549
LOIDMEJA_01735	K01938
LOIDMEJA_01739	K00612
LOIDMEJA_01740	K00966
LOIDMEJA_01743	K05605
LOIDMEJA_01745	K06980
LOIDMEJA_01746	K09159
LOIDMEJA_01748	K00278
LOIDMEJA_01749	K08351
LOIDMEJA_01753	K00059
LOIDMEJA_01754	K00059
LOIDMEJA_01755	K00059
LOIDMEJA_01757	K01627
LOIDMEJA_01758	K01937
LOIDMEJA_01759	K04075
LOIDMEJA_01761	K06446
LOIDMEJA_01765	K00059
LOIDMEJA_01768	K00315
LOIDMEJA_01769	K07045
LOIDMEJA_01777	K00059
LOIDMEJA_01782	K03442
LOIDMEJA_01783	K05607
LOIDMEJA_01784	K18691
LOIDMEJA_01791	K01692
LOIDMEJA_01794	K01847
LOIDMEJA_01796	K08680
LOIDMEJA_01797	K18703
LOIDMEJA_01798	K02433
LOIDMEJA_01804	K14445
LOIDMEJA_01808	K00239
LOIDMEJA_01809	K00240
LOIDMEJA_01813	K09761
LOIDMEJA_01814	K00297
LOIDMEJA_01815	K00789
LOIDMEJA_01816	K00615
LOIDMEJA_01817	K16066
LOIDMEJA_01818	K03777
LOIDMEJA_01819	K01733
LOIDMEJA_01820	K20862
LOIDMEJA_01821	K03733
LOIDMEJA_01823	K01778
LOIDMEJA_01824	K01586
LOIDMEJA_01826	K01755
LOIDMEJA_01830	K09760
LOIDMEJA_01832	K14393
LOIDMEJA_01833	K01915
LOIDMEJA_01834	K22314
LOIDMEJA_01835	K04851
LOIDMEJA_01836	K00847
LOIDMEJA_01837	K00059
LOIDMEJA_01846	K02456
LOIDMEJA_01847	K02455
LOIDMEJA_01850	K01866
LOIDMEJA_01851	K19304
LOIDMEJA_01852	K15724
LOIDMEJA_01855	K03281
LOIDMEJA_01856	K01845
LOIDMEJA_01859	K00767
LOIDMEJA_01861	K03806
LOIDMEJA_01862	K06858
LOIDMEJA_01863	K00163
LOIDMEJA_01864	K00627
LOIDMEJA_01865	K00798
LOIDMEJA_01869	K01557
LOIDMEJA_01873	K03554
LOIDMEJA_01874	K02193
LOIDMEJA_01875	K02194
LOIDMEJA_01876	K02195
LOIDMEJA_01877	K02197
