FGJAFLCN_00003	K05685
FGJAFLCN_00861	K08678
FGJAFLCN_00863	K00059
FGJAFLCN_00867	K02501
FGJAFLCN_00868	K02500
FGJAFLCN_00869	K01845
FGJAFLCN_00870	K01654
FGJAFLCN_00874	K13010
FGJAFLCN_00879	K00956
FGJAFLCN_00880	K00957
FGJAFLCN_00882	K00566
FGJAFLCN_00889	K01955
FGJAFLCN_00890	K03624
FGJAFLCN_00897	K22736
FGJAFLCN_00902	K05592
FGJAFLCN_00910	K01654
FGJAFLCN_00911	K00983
FGJAFLCN_00912	K06147
FGJAFLCN_00918	K21749
FGJAFLCN_00920	K00059
FGJAFLCN_00921	K00046
FGJAFLCN_00922	K05304
FGJAFLCN_00923	K03271
FGJAFLCN_00926	K01711
FGJAFLCN_00929	K13010
FGJAFLCN_00932	K01711
FGJAFLCN_00934	K00721
FGJAFLCN_00937	K01000
FGJAFLCN_00938	K02314
FGJAFLCN_00939	K03553
FGJAFLCN_00951	K03979
FGJAFLCN_00952	K04043
FGJAFLCN_00953	K00134
FGJAFLCN_00955	K01151
FGJAFLCN_00956	K00974
FGJAFLCN_00960	K02939
FGJAFLCN_00961	K13889
FGJAFLCN_00971	K02493
FGJAFLCN_00973	K01939
FGJAFLCN_00975	K00858
FGJAFLCN_00979	K03841
FGJAFLCN_00980	K00134
FGJAFLCN_00985	K03655
FGJAFLCN_00990	K04066
FGJAFLCN_00993	K01952
FGJAFLCN_00994	K02838
FGJAFLCN_00995	K09903
FGJAFLCN_01000	K00873
FGJAFLCN_01001	K06252
FGJAFLCN_01003	K03438
FGJAFLCN_01006	K00507
FGJAFLCN_01007	K01537
FGJAFLCN_01009	K00033
FGJAFLCN_01010	K00616
FGJAFLCN_01013	K06878
FGJAFLCN_01014	K00615
FGJAFLCN_01017	K20994
FGJAFLCN_01023	K01928
FGJAFLCN_01025	K03470
FGJAFLCN_01026	K13292
FGJAFLCN_01029	K01409
FGJAFLCN_01042	K04078
FGJAFLCN_01043	K04077
FGJAFLCN_01049	K14588
FGJAFLCN_01050	K03696
FGJAFLCN_01052	K00943
FGJAFLCN_01053	K01491
FGJAFLCN_01054	K00764
FGJAFLCN_01056	K01945
FGJAFLCN_01062	K05366
FGJAFLCN_01067	K04488
FGJAFLCN_01068	K11717
FGJAFLCN_01069	K02469
FGJAFLCN_01071	K03705
FGJAFLCN_01074	K07146
FGJAFLCN_01077	K00600
FGJAFLCN_01078	K01934
FGJAFLCN_01079	K02343
FGJAFLCN_01083	K01494
FGJAFLCN_01086	K06252
FGJAFLCN_01088	K06180
FGJAFLCN_01090	K03699
FGJAFLCN_01096	K07258
FGJAFLCN_01106	K02433
FGJAFLCN_01109	K03217
FGJAFLCN_01110	K01623
FGJAFLCN_01113	K01883
FGJAFLCN_01116	K04564
FGJAFLCN_01119	K03043
FGJAFLCN_01129	K01791
FGJAFLCN_01136	K09691
FGJAFLCN_01137	K09690
FGJAFLCN_01138	K07576
FGJAFLCN_01141	K06178
FGJAFLCN_01143	K07652
FGJAFLCN_01147	K02950
FGJAFLCN_01148	K02992
FGJAFLCN_01150	K02355
FGJAFLCN_01153	K11752
FGJAFLCN_01155	K00525
FGJAFLCN_01158	K06942
FGJAFLCN_01161	K07658
FGJAFLCN_01162	K02357
FGJAFLCN_01163	K02967
