CDCFFNGI_00002	K10026
CDCFFNGI_00246	K02018
CDCFFNGI_00248	K02020
CDCFFNGI_00249	K00990
CDCFFNGI_00252	K03559
CDCFFNGI_00253	K03561
CDCFFNGI_00254	K00789
CDCFFNGI_00257	K11216
CDCFFNGI_00258	K01963
CDCFFNGI_00260	K00783
CDCFFNGI_00261	K06204
CDCFFNGI_00263	K05540
CDCFFNGI_00265	K03439
CDCFFNGI_00267	K06180
CDCFFNGI_00268	K05837
CDCFFNGI_00271	K00411
CDCFFNGI_00272	K00412
CDCFFNGI_00273	K00413
CDCFFNGI_00276	K03750
CDCFFNGI_00277	K06920
CDCFFNGI_00278	K01737
CDCFFNGI_00280	K00766
CDCFFNGI_00283	K01955
CDCFFNGI_00284	K13640
CDCFFNGI_00285	K05516
CDCFFNGI_00286	K03216
CDCFFNGI_00287	K01433
CDCFFNGI_00288	K00029
CDCFFNGI_00293	K00116
CDCFFNGI_00294	K01647
CDCFFNGI_00295	K01879
CDCFFNGI_00298	K03798
CDCFFNGI_00301	K01735
CDCFFNGI_00302	K01940
CDCFFNGI_00303	K01295
CDCFFNGI_00304	K05827
CDCFFNGI_00306	K08637
CDCFFNGI_00308	K04485
CDCFFNGI_00310	K07042
CDCFFNGI_00311	K07301
CDCFFNGI_00313	K01270
CDCFFNGI_00316	K15257
CDCFFNGI_00317	K02342
CDCFFNGI_00318	K01817
CDCFFNGI_00319	K01783
CDCFFNGI_00322	K03596
CDCFFNGI_00324	K02242
CDCFFNGI_00325	K02501
CDCFFNGI_00326	K07071
CDCFFNGI_00327	K01814
CDCFFNGI_00328	K03797
CDCFFNGI_00329	K01923
CDCFFNGI_00331	K01952
CDCFFNGI_00333	K00655
CDCFFNGI_00334	K02563
CDCFFNGI_00335	K03588
CDCFFNGI_00336	K03587
CDCFFNGI_00337	K03695
CDCFFNGI_00338	K02914
CDCFFNGI_00340	K03217
CDCFFNGI_00341	K06346
CDCFFNGI_00342	K03650
CDCFFNGI_00344	K05515
CDCFFNGI_00346	K01262
CDCFFNGI_00347	K03786
CDCFFNGI_00350	K02238
CDCFFNGI_00351	K22468
CDCFFNGI_00352	K06153
CDCFFNGI_00354	K01886
CDCFFNGI_00355	K00950
CDCFFNGI_00356	K00566
CDCFFNGI_00357	K00948
CDCFFNGI_00359	K02902
CDCFFNGI_00360	K10716
CDCFFNGI_00361	K00620
CDCFFNGI_00362	K09794
CDCFFNGI_00363	K02469
CDCFFNGI_00364	K00133
CDCFFNGI_00366	K01599
CDCFFNGI_00369	K07126
CDCFFNGI_00370	K10716
CDCFFNGI_00372	K09816
CDCFFNGI_00373	K09817
CDCFFNGI_00374	K01902
CDCFFNGI_00375	K01903
CDCFFNGI_00377	K01678
CDCFFNGI_00378	K01677
CDCFFNGI_00379	K00024
CDCFFNGI_00380	K00024
CDCFFNGI_00381	K00031
CDCFFNGI_00383	K00941
CDCFFNGI_00384	K00788
CDCFFNGI_00385	K03149
CDCFFNGI_00387	K03153
CDCFFNGI_00388	K03147
CDCFFNGI_00389	K12506
CDCFFNGI_00391	K01095
CDCFFNGI_00392	K03455
CDCFFNGI_00393	K01933
CDCFFNGI_00395	K00859
CDCFFNGI_00396	K01778
CDCFFNGI_00397	K03796
CDCFFNGI_00398	K02835
CDCFFNGI_00399	K02968
CDCFFNGI_00400	K03431
CDCFFNGI_00401	K03101
CDCFFNGI_00413	K06013
CDCFFNGI_00416	K02959
CDCFFNGI_00417	K03106
CDCFFNGI_00418	K06179
CDCFFNGI_00419	K02527
CDCFFNGI_00420	K03631
CDCFFNGI_00421	K00858
CDCFFNGI_00422	K07391
CDCFFNGI_00423	K01462
CDCFFNGI_00424	K01358
CDCFFNGI_00425	K03545
CDCFFNGI_00426	K01755
CDCFFNGI_00427	K03406
CDCFFNGI_00429	K00769
CDCFFNGI_00430	K06158
CDCFFNGI_00434	K06287
CDCFFNGI_00438	K00566
CDCFFNGI_00441	K09812
CDCFFNGI_00443	K07493
CDCFFNGI_00447	K02342
CDCFFNGI_00448	K07182
CDCFFNGI_00452	K14393
CDCFFNGI_00454	K07652
CDCFFNGI_00455	K02970
CDCFFNGI_00456	K03637
CDCFFNGI_00459	K02897
CDCFFNGI_00460	K01056
CDCFFNGI_00461	K11720
CDCFFNGI_00463	K17224
CDCFFNGI_00464	K17222
CDCFFNGI_00465	K17227
CDCFFNGI_00466	K17226
CDCFFNGI_00468	K02484
CDCFFNGI_00469	K02483
CDCFFNGI_00472	K01613
CDCFFNGI_00473	K08304
CDCFFNGI_00475	K03787
CDCFFNGI_00476	K02337
CDCFFNGI_00477	K03415
CDCFFNGI_00478	K02108
CDCFFNGI_00479	K01754
CDCFFNGI_00482	K18285
CDCFFNGI_00484	K08591
CDCFFNGI_00487	K00169
CDCFFNGI_00488	K00171
CDCFFNGI_00489	K00172
CDCFFNGI_00490	K01091
CDCFFNGI_00491	K02035
CDCFFNGI_00492	K02996
CDCFFNGI_00493	K02871
CDCFFNGI_00494	K07462
CDCFFNGI_00495	K01867
CDCFFNGI_00496	K03517
CDCFFNGI_00497	K03664
CDCFFNGI_00498	K00919
CDCFFNGI_00499	K03177
CDCFFNGI_00500	K03657
CDCFFNGI_00501	K11752
CDCFFNGI_00502	K09748
CDCFFNGI_00503	K02834
CDCFFNGI_00504	K02519
CDCFFNGI_00506	K00872
CDCFFNGI_00508	K02535
CDCFFNGI_00510	K06881
CDCFFNGI_00512	K01875
CDCFFNGI_00513	K00767
CDCFFNGI_00515	K01648
CDCFFNGI_00516	K01648
CDCFFNGI_00520	K01937
CDCFFNGI_00521	K01666
CDCFFNGI_00522	K00616
CDCFFNGI_00523	K01079
CDCFFNGI_00524	K00547
CDCFFNGI_00526	K07447
CDCFFNGI_00527	K00997
CDCFFNGI_00528	K02033
CDCFFNGI_00529	K07173
CDCFFNGI_00532	K00652
CDCFFNGI_00533	K07460
CDCFFNGI_00534	K22015
CDCFFNGI_00537	K00821
CDCFFNGI_00541	K03978
CDCFFNGI_00546	K03525
CDCFFNGI_00547	K00765
CDCFFNGI_00548	K18827
CDCFFNGI_00549	K17758
CDCFFNGI_00551	K01409
CDCFFNGI_00554	K00099
CDCFFNGI_00555	K00981
CDCFFNGI_00557	K05807
CDCFFNGI_00562	K00097
CDCFFNGI_00563	K03474
CDCFFNGI_00564	K03406
CDCFFNGI_00565	K03776
CDCFFNGI_00568	K01935
CDCFFNGI_00569	K06891
CDCFFNGI_00570	K03694
CDCFFNGI_00571	K00684
CDCFFNGI_00573	K02428
CDCFFNGI_00577	K03406
CDCFFNGI_00582	K03743
CDCFFNGI_00583	K01870
CDCFFNGI_00587	K01928
CDCFFNGI_00591	K01579
CDCFFNGI_00592	K09747
CDCFFNGI_00593	K00795
CDCFFNGI_00594	K04078
CDCFFNGI_00595	K04077
CDCFFNGI_00597	K03980
CDCFFNGI_00598	K03770
CDCFFNGI_00599	K03590
CDCFFNGI_00600	K03531
CDCFFNGI_00601	K01609
CDCFFNGI_00603	K06940
CDCFFNGI_00609	K18234
CDCFFNGI_00610	K08311
CDCFFNGI_00611	K00053
CDCFFNGI_00612	K12573
CDCFFNGI_00613	K02340
CDCFFNGI_00614	K02990
CDCFFNGI_00615	K03111
CDCFFNGI_00616	K02963
CDCFFNGI_00617	K18138
CDCFFNGI_00621	K01873
CDCFFNGI_00623	K09760
CDCFFNGI_00624	K01673
CDCFFNGI_00626	K03977
CDCFFNGI_00627	K16052
CDCFFNGI_00630	K10716
CDCFFNGI_00631	K01627
CDCFFNGI_00632	K00794
CDCFFNGI_00633	K03625
CDCFFNGI_00634	K01591
CDCFFNGI_00638	K01876
CDCFFNGI_00639	K04075
CDCFFNGI_00641	K09778
CDCFFNGI_00642	K06168
CDCFFNGI_00644	K02600
CDCFFNGI_00645	K01883
CDCFFNGI_00646	K03628
CDCFFNGI_00647	K01776
CDCFFNGI_00648	K02343
CDCFFNGI_00649	K00931
CDCFFNGI_00650	K00604
CDCFFNGI_00651	K03524
CDCFFNGI_00652	K03496
CDCFFNGI_00653	K03497
CDCFFNGI_00657	K02111
CDCFFNGI_00658	K02115
CDCFFNGI_00659	K02112
CDCFFNGI_00660	K02114
CDCFFNGI_00662	K03559
CDCFFNGI_00664	K03641
CDCFFNGI_00667	K03775
CDCFFNGI_00668	K00645
CDCFFNGI_00669	K01243
CDCFFNGI_00673	K06959
CDCFFNGI_00675	K16092
CDCFFNGI_00677	K07175
CDCFFNGI_00678	K08973
CDCFFNGI_00679	K03179
CDCFFNGI_00680	K00791
CDCFFNGI_00681	K00526
CDCFFNGI_00686	K07310
CDCFFNGI_00692	K07114
CDCFFNGI_00693	K03924
CDCFFNGI_00695	K01868
CDCFFNGI_00696	K02520
CDCFFNGI_00697	K19416
CDCFFNGI_00698	K02169
CDCFFNGI_00699	K03075
CDCFFNGI_00701	K02838
CDCFFNGI_00702	K00762
CDCFFNGI_00708	K01495
CDCFFNGI_00710	K02652
CDCFFNGI_00712	K03595
CDCFFNGI_00714	K03495
CDCFFNGI_00715	K07478
CDCFFNGI_00716	K06178
CDCFFNGI_00717	K06041
CDCFFNGI_00718	K12574
CDCFFNGI_00719	K02528
CDCFFNGI_00720	K02500
CDCFFNGI_00723	K06941
CDCFFNGI_00725	K01885
CDCFFNGI_00726	K00537
CDCFFNGI_00727	K06929
CDCFFNGI_00728	K02484
CDCFFNGI_00729	K01924
CDCFFNGI_00732	K09944
CDCFFNGI_00733	K00773
CDCFFNGI_00734	K02435
CDCFFNGI_00736	K01657
CDCFFNGI_00738	K00600
CDCFFNGI_00739	K04567
CDCFFNGI_00741	K03526
CDCFFNGI_00748	K01687
CDCFFNGI_00749	K01465
CDCFFNGI_00751	K02434
CDCFFNGI_00752	K00057
CDCFFNGI_00753	K05875
CDCFFNGI_00755	K07107
CDCFFNGI_00756	K15778
CDCFFNGI_00761	K03657
CDCFFNGI_00762	K00615
CDCFFNGI_00763	K02356
CDCFFNGI_00764	K00058
CDCFFNGI_00765	K02945
CDCFFNGI_00766	K03527
CDCFFNGI_00767	K00800
CDCFFNGI_00768	K01890
CDCFFNGI_00769	K01889
CDCFFNGI_00770	K02503
CDCFFNGI_00771	K10536
CDCFFNGI_00772	K00147
CDCFFNGI_00774	K00286
CDCFFNGI_00775	K03310
CDCFFNGI_00782	K07705
CDCFFNGI_00783	K02478
CDCFFNGI_00784	K00764
CDCFFNGI_00785	K00215
CDCFFNGI_00786	K00384
CDCFFNGI_00787	K03671
CDCFFNGI_00788	K01872
CDCFFNGI_00790	K08997
CDCFFNGI_00794	K07709
CDCFFNGI_00802	K14652
CDCFFNGI_00803	K15738
CDCFFNGI_00804	K09117
CDCFFNGI_00805	K10300
CDCFFNGI_00806	K06176
CDCFFNGI_00808	K06442
CDCFFNGI_00809	K11753
CDCFFNGI_00810	K15256
CDCFFNGI_00811	K03564
CDCFFNGI_00813	K11782
CDCFFNGI_00814	K03636
CDCFFNGI_00815	K03635
CDCFFNGI_00816	K04486
CDCFFNGI_00817	K01915
CDCFFNGI_00818	K05366
CDCFFNGI_00819	K02031
CDCFFNGI_00820	K15633
CDCFFNGI_00821	K01000
CDCFFNGI_00822	K01925
CDCFFNGI_00827	K02358
CDCFFNGI_00828	K02913
CDCFFNGI_00831	K02601
CDCFFNGI_00832	K02867
CDCFFNGI_00833	K02863
CDCFFNGI_00834	K02864
CDCFFNGI_00835	K02935
CDCFFNGI_00836	K13797
CDCFFNGI_00837	K13797
CDCFFNGI_00839	K01338
CDCFFNGI_00843	K03551
CDCFFNGI_00844	K00606
CDCFFNGI_00858	K09803
CDCFFNGI_00863	K04763
CDCFFNGI_00872	K03733
CDCFFNGI_00891	K09805
CDCFFNGI_00894	K03413
CDCFFNGI_00895	K03496
CDCFFNGI_00896	K03406
CDCFFNGI_00898	K03526
CDCFFNGI_00899	K03526
CDCFFNGI_00900	K07481
CDCFFNGI_00904	K14165
CDCFFNGI_00918	K01784
CDCFFNGI_00928	K07243
CDCFFNGI_00931	K01710
CDCFFNGI_00932	K00067
CDCFFNGI_00933	K01790
CDCFFNGI_00934	K00973
CDCFFNGI_00937	K16175
CDCFFNGI_00940	K07316
CDCFFNGI_00941	K03283
CDCFFNGI_00944	K03313
CDCFFNGI_00945	K02197
CDCFFNGI_00946	K04834
CDCFFNGI_00954	K11065
CDCFFNGI_00955	K02395
CDCFFNGI_00956	K02396
CDCFFNGI_00961	K07316
CDCFFNGI_00962	K03271
CDCFFNGI_00964	K00973
CDCFFNGI_00965	K01790
CDCFFNGI_00966	K00067
CDCFFNGI_00973	K00010
CDCFFNGI_00975	K03043
CDCFFNGI_00976	K02935
CDCFFNGI_00977	K02864
CDCFFNGI_00978	K02863
CDCFFNGI_00979	K02867
CDCFFNGI_00980	K02601
CDCFFNGI_00981	K03073
CDCFFNGI_00983	K02358
CDCFFNGI_00989	K04043
CDCFFNGI_00990	K04043
CDCFFNGI_00993	K02199
CDCFFNGI_00994	K01356
CDCFFNGI_01014	K03496
CDCFFNGI_01017	K19161
CDCFFNGI_01023	K18918
CDCFFNGI_01024	K06218
CDCFFNGI_01027	K03496
CDCFFNGI_01031	K07062
CDCFFNGI_01033	K06218
CDCFFNGI_01034	K18918
CDCFFNGI_01040	K01153
CDCFFNGI_01041	K01154
CDCFFNGI_01042	K03427
CDCFFNGI_01052	K00123
CDCFFNGI_01057	K03111
CDCFFNGI_01058	K10908
CDCFFNGI_01105	K03465
