CLBEIFOI_00001	K11173
CLBEIFOI_00106	K02876
CLBEIFOI_00107	K03076
CLBEIFOI_00108	K00939
CLBEIFOI_00109	K02952
CLBEIFOI_00110	K02948
CLBEIFOI_00111	K03040
CLBEIFOI_00112	K02879
CLBEIFOI_00113	K04771
CLBEIFOI_00114	K07478
CLBEIFOI_00115	K06199
CLBEIFOI_00116	K06180
CLBEIFOI_00118	K07556
CLBEIFOI_00120	K01962
CLBEIFOI_00121	K01644
CLBEIFOI_00122	K19802
CLBEIFOI_00123	K00824
CLBEIFOI_00125	K00605
CLBEIFOI_00126	K02437
CLBEIFOI_00127	K00281
CLBEIFOI_00128	K00854
CLBEIFOI_00129	K01805
CLBEIFOI_00133	K02049
CLBEIFOI_00135	K02049
CLBEIFOI_00136	K01464
CLBEIFOI_00137	K02083
CLBEIFOI_00138	K09017
CLBEIFOI_00139	K00640
CLBEIFOI_00140	K00627
CLBEIFOI_00141	K00162
CLBEIFOI_00142	K00161
CLBEIFOI_00144	K01623
CLBEIFOI_00145	K00927
CLBEIFOI_00146	K03767
CLBEIFOI_00147	K03768
CLBEIFOI_00148	K01866
CLBEIFOI_00149	K09001
CLBEIFOI_00150	K00036
CLBEIFOI_00151	K01057
CLBEIFOI_00152	K01810
CLBEIFOI_00153	K07387
CLBEIFOI_00157	K06204
CLBEIFOI_00159	K01142
CLBEIFOI_00162	K22072
CLBEIFOI_00163	K01129
CLBEIFOI_00164	K01887
CLBEIFOI_00166	K01207
CLBEIFOI_00167	K05896
CLBEIFOI_00168	K06024
CLBEIFOI_00171	K02888
CLBEIFOI_00172	K02899
CLBEIFOI_00173	K11249
CLBEIFOI_00175	K03979
CLBEIFOI_00176	K00931
CLBEIFOI_00177	K00147
CLBEIFOI_00181	K00655
CLBEIFOI_00183	K02533
CLBEIFOI_00184	K02259
CLBEIFOI_00185	K01299
CLBEIFOI_00186	K02469
CLBEIFOI_00188	K01698
CLBEIFOI_00190	K03723
CLBEIFOI_00191	K07018
CLBEIFOI_00192	K13643
CLBEIFOI_00193	K04487
CLBEIFOI_00194	K09014
CLBEIFOI_00195	K09013
CLBEIFOI_00196	K09015
CLBEIFOI_00199	K11717
CLBEIFOI_00202	K00605
CLBEIFOI_00204	K11755
CLBEIFOI_00205	K01885
CLBEIFOI_00207	K04094
CLBEIFOI_00213	K03564
CLBEIFOI_00215	K07568
CLBEIFOI_00218	K00382
CLBEIFOI_00219	K18384
CLBEIFOI_00225	K02049
CLBEIFOI_00227	K02049
CLBEIFOI_00228	K01464
CLBEIFOI_00229	K02083
CLBEIFOI_00230	K09017
CLBEIFOI_00231	K09017
CLBEIFOI_00232	K17723
CLBEIFOI_00233	K00266
CLBEIFOI_00236	K06287
CLBEIFOI_00237	K02518
CLBEIFOI_00238	K03704
CLBEIFOI_00239	K01092
CLBEIFOI_00242	K06876
CLBEIFOI_00244	K01892
CLBEIFOI_00246	K00765
CLBEIFOI_00248	K00525
CLBEIFOI_00253	K02483
CLBEIFOI_00255	K01897
CLBEIFOI_00256	K01995
CLBEIFOI_00257	K01997
CLBEIFOI_00258	K01998
CLBEIFOI_00260	K01996
CLBEIFOI_00261	K01912
CLBEIFOI_00262	K00285
CLBEIFOI_00263	K01885
CLBEIFOI_00265	K00873
CLBEIFOI_00266	K02916
CLBEIFOI_00267	K02887
CLBEIFOI_00268	K01889
CLBEIFOI_00269	K01890
CLBEIFOI_00271	K03282
CLBEIFOI_00272	K00259
CLBEIFOI_00273	K03719
CLBEIFOI_00277	K01736
CLBEIFOI_00279	K03530
CLBEIFOI_00280	K01241
CLBEIFOI_00283	K01619
CLBEIFOI_00285	K08305
CLBEIFOI_00286	K12573
CLBEIFOI_00288	K01439
CLBEIFOI_00289	K01091
CLBEIFOI_00291	K00674
CLBEIFOI_00292	K03519
CLBEIFOI_00293	K03520
CLBEIFOI_00294	K03518
CLBEIFOI_00297	K07113
CLBEIFOI_00298	K03071
CLBEIFOI_00299	K02342
CLBEIFOI_00300	K00859
CLBEIFOI_00301	K00014
CLBEIFOI_00303	K08973
CLBEIFOI_00304	K03628
CLBEIFOI_00305	K03650
CLBEIFOI_00306	K03495
CLBEIFOI_00307	K03501
CLBEIFOI_00308	K03496
CLBEIFOI_00309	K03497
CLBEIFOI_00310	K09790
CLBEIFOI_00312	K02428
CLBEIFOI_00313	K00989
CLBEIFOI_00314	K03705
CLBEIFOI_00315	K03687
CLBEIFOI_00316	K03555
CLBEIFOI_00317	K00029
CLBEIFOI_00320	K01823
CLBEIFOI_00321	K10960
CLBEIFOI_00323	K04040
CLBEIFOI_00328	K19266
CLBEIFOI_00331	K09469
CLBEIFOI_00333	K02035
CLBEIFOI_00334	K02033
CLBEIFOI_00335	K02034
CLBEIFOI_00336	K02031
CLBEIFOI_00337	K02032
CLBEIFOI_00338	K01669
CLBEIFOI_00350	K00790
CLBEIFOI_00352	K00013
CLBEIFOI_00356	K01640
CLBEIFOI_00357	K01661
CLBEIFOI_00358	K16048
CLBEIFOI_00360	K04091
CLBEIFOI_00361	K03710
CLBEIFOI_00363	K01082
CLBEIFOI_00366	K01869
CLBEIFOI_00369	K02114
CLBEIFOI_00370	K02112
CLBEIFOI_00371	K02115
CLBEIFOI_00372	K02132
CLBEIFOI_00375	K01069
CLBEIFOI_00376	K03694
CLBEIFOI_00377	K02557
CLBEIFOI_00379	K07232
CLBEIFOI_00381	K12368
CLBEIFOI_00382	K02033
CLBEIFOI_00383	K02034
CLBEIFOI_00384	K02031
CLBEIFOI_00385	K00128
CLBEIFOI_00386	K00059
CLBEIFOI_00388	K03703
CLBEIFOI_00389	K00034
CLBEIFOI_00390	K07301
CLBEIFOI_00391	K04773
CLBEIFOI_00392	K01992
CLBEIFOI_00393	K01990
CLBEIFOI_00394	K01599
CLBEIFOI_00395	K01749
CLBEIFOI_00396	K18204
CLBEIFOI_00397	K00228
CLBEIFOI_00398	K00059
CLBEIFOI_00399	K00564
CLBEIFOI_00400	K06891
CLBEIFOI_00401	K07258
CLBEIFOI_00402	K13896
CLBEIFOI_00403	K13895
CLBEIFOI_00404	K13894
CLBEIFOI_00405	K13893
CLBEIFOI_00406	K08738
CLBEIFOI_00407	K05359
CLBEIFOI_00409	K03426
CLBEIFOI_00411	K02343
CLBEIFOI_00412	K00666
CLBEIFOI_00413	K09747
CLBEIFOI_00414	K06187
CLBEIFOI_00415	K09987
CLBEIFOI_00416	K01166
CLBEIFOI_00420	K03153
CLBEIFOI_00421	K15461
CLBEIFOI_00422	K15270
CLBEIFOI_00423	K08309
CLBEIFOI_00424	K01714
CLBEIFOI_00426	K07127
CLBEIFOI_00427	K13485
CLBEIFOI_00428	K01483
CLBEIFOI_00429	K03458
CLBEIFOI_00431	K00074
CLBEIFOI_00432	K14162
CLBEIFOI_00433	K06180
CLBEIFOI_00438	K00315
CLBEIFOI_00439	K00547
CLBEIFOI_00440	K17509
CLBEIFOI_00446	K01754
CLBEIFOI_00447	K22468
CLBEIFOI_00453	K07126
CLBEIFOI_00454	K11072
CLBEIFOI_00455	K02053
CLBEIFOI_00458	K00826
CLBEIFOI_00459	K01640
CLBEIFOI_00460	K18703
CLBEIFOI_00461	K07080
CLBEIFOI_00465	K00059
CLBEIFOI_00469	K01951
CLBEIFOI_00472	K00019
CLBEIFOI_00473	K15866
CLBEIFOI_00475	K02198
CLBEIFOI_00476	K02011
CLBEIFOI_00480	K02029
CLBEIFOI_00481	K02028
CLBEIFOI_00482	K02424
CLBEIFOI_00491	K00428
CLBEIFOI_00494	K21393
CLBEIFOI_00509	K18204
CLBEIFOI_00511	K02049
CLBEIFOI_00512	K15552
CLBEIFOI_00514	K00128
CLBEIFOI_00517	K08680
CLBEIFOI_00518	K00059
CLBEIFOI_00519	K00013
CLBEIFOI_00520	K21393
CLBEIFOI_00524	K06145
CLBEIFOI_00525	K11473
CLBEIFOI_00526	K11472
CLBEIFOI_00527	K00104
CLBEIFOI_00531	K03924
CLBEIFOI_00535	K22187
CLBEIFOI_00536	K02335
CLBEIFOI_00538	K01990
CLBEIFOI_00539	K02503
CLBEIFOI_00542	K10773
CLBEIFOI_00543	K00567
CLBEIFOI_00544	K00626
CLBEIFOI_00546	K00681
CLBEIFOI_00550	K03466
CLBEIFOI_00551	K14267
CLBEIFOI_00552	K02433
CLBEIFOI_00553	K03185
CLBEIFOI_00554	K09667
CLBEIFOI_00555	K09791
CLBEIFOI_00556	K01338
CLBEIFOI_00557	K03671
CLBEIFOI_00558	K01142
CLBEIFOI_00560	K13639
CLBEIFOI_00561	K02483
CLBEIFOI_00562	K14652
CLBEIFOI_00564	K06997
CLBEIFOI_00566	K00879
CLBEIFOI_00567	K03534
CLBEIFOI_00568	K10538
CLBEIFOI_00569	K10440
CLBEIFOI_00570	K10441
CLBEIFOI_00572	K03477
CLBEIFOI_00574	K01813
CLBEIFOI_00576	K02688
CLBEIFOI_00577	K13953
CLBEIFOI_00579	K07043
CLBEIFOI_00593	K01473
CLBEIFOI_00594	K01474
CLBEIFOI_00595	K03417
CLBEIFOI_00596	K01704
CLBEIFOI_00597	K01703
CLBEIFOI_00601	K00059
CLBEIFOI_00602	K01996
CLBEIFOI_00603	K01995
CLBEIFOI_00604	K11961
CLBEIFOI_00605	K01997
CLBEIFOI_00619	K00969
CLBEIFOI_00623	K04566
CLBEIFOI_00628	K10716
CLBEIFOI_00630	K01649
CLBEIFOI_00631	K10112
CLBEIFOI_00632	K10112
CLBEIFOI_00633	K02026
CLBEIFOI_00634	K10118
CLBEIFOI_00636	K02358
CLBEIFOI_00637	K02946
CLBEIFOI_00638	K02906
CLBEIFOI_00639	K02926
CLBEIFOI_00640	K02892
CLBEIFOI_00641	K02886
CLBEIFOI_00642	K02965
CLBEIFOI_00643	K02890
CLBEIFOI_00644	K02982
CLBEIFOI_00645	K01673
CLBEIFOI_00646	K01255
CLBEIFOI_00658	K03292
CLBEIFOI_00659	K00219
CLBEIFOI_00664	K02601
CLBEIFOI_00665	K02867
CLBEIFOI_00666	K02863
CLBEIFOI_00667	K02864
CLBEIFOI_00668	K02935
CLBEIFOI_00669	K03043
CLBEIFOI_00670	K03046
CLBEIFOI_00673	K05802
CLBEIFOI_00674	K01738
CLBEIFOI_00675	K00574
CLBEIFOI_00676	K01669
CLBEIFOI_00678	K02168
CLBEIFOI_00679	K19745
CLBEIFOI_00680	K00605
CLBEIFOI_00683	K05799
CLBEIFOI_00687	K01679
CLBEIFOI_00692	K06196
CLBEIFOI_00694	K08300
CLBEIFOI_00695	K00020
CLBEIFOI_00696	K01434
CLBEIFOI_00697	K03665
CLBEIFOI_00698	K03666
CLBEIFOI_00699	K03498
CLBEIFOI_00700	K03499
CLBEIFOI_00701	K13599
CLBEIFOI_00703	K07712
CLBEIFOI_00704	K07708
CLBEIFOI_00705	K05540
CLBEIFOI_00706	K00991
CLBEIFOI_00707	K01770
CLBEIFOI_00708	K01095
CLBEIFOI_00709	K03742
CLBEIFOI_00711	K03320
CLBEIFOI_00712	K18588
CLBEIFOI_00713	K00760
CLBEIFOI_00714	K00605
CLBEIFOI_00715	K02001
CLBEIFOI_00716	K02000
CLBEIFOI_00718	K03566
CLBEIFOI_00721	K11206
CLBEIFOI_00723	K00265
CLBEIFOI_00725	K00820
CLBEIFOI_00726	K01915
CLBEIFOI_00728	K19775
CLBEIFOI_00731	K00314
CLBEIFOI_00735	K00485
CLBEIFOI_00736	K03320
CLBEIFOI_00738	K00820
CLBEIFOI_00741	K01915
CLBEIFOI_00742	K08299
CLBEIFOI_00743	K22224
CLBEIFOI_00744	K00248
CLBEIFOI_00745	K13247
CLBEIFOI_00746	K00059
CLBEIFOI_00749	K02427
CLBEIFOI_00750	K01524
CLBEIFOI_00753	K00548
CLBEIFOI_00755	K10257
CLBEIFOI_00756	K01053
CLBEIFOI_00757	K01805
CLBEIFOI_00758	K00852
CLBEIFOI_00761	K06971
CLBEIFOI_00762	K20609
CLBEIFOI_00763	K00854
CLBEIFOI_00765	K10119
CLBEIFOI_00766	K10237
CLBEIFOI_00768	K10112
CLBEIFOI_00769	K02431
CLBEIFOI_00770	K00852
CLBEIFOI_00771	K02433
CLBEIFOI_00774	K09812
CLBEIFOI_00776	K00655
CLBEIFOI_00777	K07006
CLBEIFOI_00778	K01938
CLBEIFOI_00779	K01491
CLBEIFOI_00781	K03724
CLBEIFOI_00782	K01029
CLBEIFOI_00783	K01028
CLBEIFOI_00784	K03168
CLBEIFOI_00785	K04096
CLBEIFOI_00786	K03568
CLBEIFOI_00787	K02275
CLBEIFOI_00788	K02257
CLBEIFOI_00790	K02258
CLBEIFOI_00791	K02262
CLBEIFOI_00792	K14998
CLBEIFOI_00793	K01733
CLBEIFOI_00794	K17732
CLBEIFOI_00795	K03790
CLBEIFOI_00796	K18204
CLBEIFOI_00797	K14441
CLBEIFOI_00799	K01992
CLBEIFOI_00801	K03733
CLBEIFOI_00803	K00616
CLBEIFOI_00804	K04066
CLBEIFOI_00806	K02687
CLBEIFOI_00807	K01159
CLBEIFOI_00808	K03550
CLBEIFOI_00809	K03551
CLBEIFOI_00811	K07107
CLBEIFOI_00812	K03562
CLBEIFOI_00813	K03559
CLBEIFOI_00815	K03641
CLBEIFOI_00816	K03640
CLBEIFOI_00818	K04075
CLBEIFOI_00819	K03798
CLBEIFOI_00820	K00382
CLBEIFOI_00821	K00658
CLBEIFOI_00822	K00164
CLBEIFOI_00823	K01902
CLBEIFOI_00824	K01903
CLBEIFOI_00825	K00024
CLBEIFOI_00827	K01644
CLBEIFOI_00832	K00241
CLBEIFOI_00834	K00239
CLBEIFOI_00835	K00240
CLBEIFOI_00837	K03784
CLBEIFOI_00838	K18852
CLBEIFOI_00839	K01847
CLBEIFOI_00840	K00344
CLBEIFOI_00844	K00666
CLBEIFOI_00845	K00249
CLBEIFOI_00846	K07560
CLBEIFOI_00849	K06178
CLBEIFOI_00850	K11991
CLBEIFOI_00851	K01870
CLBEIFOI_00852	K08484
CLBEIFOI_00853	K00928
CLBEIFOI_00855	K02527
CLBEIFOI_00860	K07160
CLBEIFOI_00861	K06350
CLBEIFOI_00863	K01779
CLBEIFOI_00865	K01796
CLBEIFOI_00869	K02435
CLBEIFOI_00870	K02433
CLBEIFOI_00872	K11066
CLBEIFOI_00873	K02913
CLBEIFOI_00874	K06890
CLBEIFOI_00876	K18649
CLBEIFOI_00877	K12960
CLBEIFOI_00878	K01487
CLBEIFOI_00879	K06213
CLBEIFOI_00880	K01934
CLBEIFOI_00882	K09769
CLBEIFOI_00887	K06895
CLBEIFOI_00890	K02167
CLBEIFOI_00891	K00130
CLBEIFOI_00892	K00108
CLBEIFOI_00893	K07110
CLBEIFOI_00894	K07552
CLBEIFOI_00895	K01966
CLBEIFOI_00898	K01965
CLBEIFOI_00900	K01847
CLBEIFOI_00907	K21755
CLBEIFOI_00908	K18204
CLBEIFOI_00909	K01999
CLBEIFOI_00910	K01995
CLBEIFOI_00911	K01996
CLBEIFOI_00913	K11961
CLBEIFOI_00915	K00005
CLBEIFOI_00917	K00812
CLBEIFOI_00918	K00252
CLBEIFOI_00919	K11381
CLBEIFOI_00922	K11390
CLBEIFOI_00923	K00128
CLBEIFOI_00925	K13954
CLBEIFOI_00926	K00605
CLBEIFOI_00927	K08351
CLBEIFOI_00928	K02001
CLBEIFOI_00929	K02000
CLBEIFOI_00934	K01684
CLBEIFOI_00935	K00108
CLBEIFOI_00937	K00605
CLBEIFOI_00938	K01066
CLBEIFOI_00939	K01578
CLBEIFOI_00942	K07462
CLBEIFOI_00943	K02446
CLBEIFOI_00944	K00003
CLBEIFOI_00946	K00020
CLBEIFOI_00947	K00261
CLBEIFOI_00948	K02316
CLBEIFOI_00949	K03086
CLBEIFOI_00951	K07738
CLBEIFOI_00952	K11752
CLBEIFOI_00953	K07266
CLBEIFOI_00955	K07265
CLBEIFOI_00956	K00793
CLBEIFOI_00957	K01669
CLBEIFOI_00958	K01358
CLBEIFOI_00959	K03544
CLBEIFOI_00963	K00684
CLBEIFOI_00964	K01961
CLBEIFOI_00966	K00666
CLBEIFOI_00967	K01895
CLBEIFOI_00968	K01996
CLBEIFOI_00969	K01995
CLBEIFOI_00970	K01998
CLBEIFOI_00971	K01997
CLBEIFOI_00974	K07668
CLBEIFOI_00976	K07636
CLBEIFOI_00980	K06167
CLBEIFOI_00981	K03424
CLBEIFOI_00982	K02343
CLBEIFOI_00983	K00943
CLBEIFOI_00984	K07258
CLBEIFOI_00986	K00799
CLBEIFOI_00987	K00265
CLBEIFOI_00988	K00266
CLBEIFOI_00989	K06153
CLBEIFOI_00990	K03786
CLBEIFOI_00991	K01897
CLBEIFOI_00992	K00995
CLBEIFOI_00993	K03636
CLBEIFOI_00994	K03635
CLBEIFOI_00997	K06125
CLBEIFOI_00998	K09761
CLBEIFOI_01000	K01919
CLBEIFOI_01002	K03688
CLBEIFOI_01003	K03183
CLBEIFOI_01004	K10563
CLBEIFOI_01005	K01692
CLBEIFOI_01007	K02313
CLBEIFOI_01008	K02338
CLBEIFOI_01009	K03629
CLBEIFOI_01011	K02470
CLBEIFOI_01012	K01620
CLBEIFOI_01013	K09160
CLBEIFOI_01014	K11753
CLBEIFOI_01018	K01524
CLBEIFOI_01020	K03548
CLBEIFOI_01023	K01480
CLBEIFOI_01024	K00088
CLBEIFOI_01025	K03500
CLBEIFOI_01028	K03553
CLBEIFOI_01029	K01872
CLBEIFOI_01030	K06207
CLBEIFOI_01035	K00651
CLBEIFOI_01039	K02020
CLBEIFOI_01044	K01627
CLBEIFOI_01045	K00979
CLBEIFOI_01046	K06041
CLBEIFOI_01047	K08679
CLBEIFOI_01053	K05539
CLBEIFOI_01054	K00077
CLBEIFOI_01055	K22133
CLBEIFOI_01056	K07090
CLBEIFOI_01060	K07447
CLBEIFOI_01062	K17509
CLBEIFOI_01065	K00605
CLBEIFOI_01067	K04564
CLBEIFOI_01068	K05786
CLBEIFOI_01069	K06966
CLBEIFOI_01071	K06147
CLBEIFOI_01072	K03296
CLBEIFOI_01076	K03977
CLBEIFOI_01077	K01875
CLBEIFOI_01078	K03210
CLBEIFOI_01079	K03072
CLBEIFOI_01080	K03074
CLBEIFOI_01083	K02193
CLBEIFOI_01084	K02194
CLBEIFOI_01085	K01738
CLBEIFOI_01086	K02195
CLBEIFOI_01088	K02199
CLBEIFOI_01089	K01681
CLBEIFOI_01091	K02517
CLBEIFOI_01093	K01756
CLBEIFOI_01096	K01915
CLBEIFOI_01097	K04751
CLBEIFOI_01099	K03545
CLBEIFOI_01100	K00773
CLBEIFOI_01103	K06929
CLBEIFOI_01104	K02639
CLBEIFOI_01105	K17285
CLBEIFOI_01108	K23016
CLBEIFOI_01115	K11085
CLBEIFOI_01118	K00040
CLBEIFOI_01120	K06929
CLBEIFOI_01124	K17231
CLBEIFOI_01129	K00102
CLBEIFOI_01130	K03631
CLBEIFOI_01132	K02535
CLBEIFOI_01133	K03531
CLBEIFOI_01134	K03590
CLBEIFOI_01136	K01921
CLBEIFOI_01137	K00075
CLBEIFOI_01138	K15738
CLBEIFOI_01143	K03621
CLBEIFOI_01144	K00648
CLBEIFOI_01145	K04764
CLBEIFOI_01149	K21430
CLBEIFOI_01152	K01768
CLBEIFOI_01159	K03596
CLBEIFOI_01160	K13703
CLBEIFOI_01169	K03919
CLBEIFOI_01171	K00135
CLBEIFOI_01172	K09681
CLBEIFOI_01173	K03780
CLBEIFOI_01174	K01677
CLBEIFOI_01175	K00239
CLBEIFOI_01178	K00235
CLBEIFOI_01179	K21393
CLBEIFOI_01183	K09941
CLBEIFOI_01185	K09823
CLBEIFOI_01187	K02074
CLBEIFOI_01188	K02075
CLBEIFOI_01189	K02077
CLBEIFOI_01195	K02003
CLBEIFOI_01196	K02004
CLBEIFOI_01199	K11209
CLBEIFOI_01200	K02031
CLBEIFOI_01201	K02034
CLBEIFOI_01202	K02033
CLBEIFOI_01203	K02035
CLBEIFOI_01204	K18802
CLBEIFOI_01206	K00020
CLBEIFOI_01210	K02064
CLBEIFOI_01211	K02063
CLBEIFOI_01212	K11072
CLBEIFOI_01216	K04079
CLBEIFOI_01217	K02481
CLBEIFOI_01219	K03470
CLBEIFOI_01220	K00571
CLBEIFOI_01221	K00496
CLBEIFOI_01222	K03575
CLBEIFOI_01225	K18703
CLBEIFOI_01226	K00912
CLBEIFOI_01229	K02884
CLBEIFOI_01230	K01738
CLBEIFOI_01231	K00554
CLBEIFOI_01233	K02959
CLBEIFOI_01236	K03106
CLBEIFOI_01239	K02126
CLBEIFOI_01244	K21309
CLBEIFOI_01245	K21308
CLBEIFOI_01246	K21307
CLBEIFOI_01248	K01647
CLBEIFOI_01249	K00625
CLBEIFOI_01250	K00925
CLBEIFOI_01251	K01652
CLBEIFOI_01252	K00375
CLBEIFOI_01254	K11529
CLBEIFOI_01255	K02621
CLBEIFOI_01258	K00798
CLBEIFOI_01259	K03521
CLBEIFOI_01260	K03522
CLBEIFOI_01261	K00074
CLBEIFOI_01263	K11189
CLBEIFOI_01265	K06958
CLBEIFOI_01267	K07658
CLBEIFOI_01268	K15747
CLBEIFOI_01274	K09005
CLBEIFOI_01276	K00275
CLBEIFOI_01277	K00208
CLBEIFOI_01278	K00769
CLBEIFOI_01281	K01657
CLBEIFOI_01283	K01658
CLBEIFOI_01284	K00766
CLBEIFOI_01285	K01609
CLBEIFOI_01286	K03637
CLBEIFOI_01287	K03750
CLBEIFOI_01288	K01356
CLBEIFOI_01289	K02238
CLBEIFOI_01290	K01885
CLBEIFOI_01291	K01647
CLBEIFOI_01292	K08299
CLBEIFOI_01294	K10805
CLBEIFOI_01295	K01715
CLBEIFOI_01296	K00799
CLBEIFOI_01298	K08869
CLBEIFOI_01299	K04768
CLBEIFOI_01300	K01693
CLBEIFOI_01301	K02501
CLBEIFOI_01302	K01814
CLBEIFOI_01303	K02500
CLBEIFOI_01304	K11755
CLBEIFOI_01306	K00613
CLBEIFOI_01308	K02028
CLBEIFOI_01311	K03520
CLBEIFOI_01314	K01873
CLBEIFOI_01315	K03439
CLBEIFOI_01316	K00800
CLBEIFOI_01317	K00945
CLBEIFOI_01318	K02945
CLBEIFOI_01319	K05788
CLBEIFOI_01321	K01817
CLBEIFOI_01322	K01696
CLBEIFOI_01323	K00789
CLBEIFOI_01325	K07147
CLBEIFOI_01326	K03695
CLBEIFOI_01327	K01591
CLBEIFOI_01330	K02346
CLBEIFOI_01331	K01916
CLBEIFOI_01332	K02337
CLBEIFOI_01333	K13481
CLBEIFOI_01334	K13482
CLBEIFOI_01335	K07402
CLBEIFOI_01336	K02056
CLBEIFOI_01337	K02057
CLBEIFOI_01338	K02057
CLBEIFOI_01339	K02058
CLBEIFOI_01340	K22895
CLBEIFOI_01342	K11209
CLBEIFOI_01348	K02017
CLBEIFOI_01349	K02018
CLBEIFOI_01350	K09748
CLBEIFOI_01351	K02600
CLBEIFOI_01353	K02519
CLBEIFOI_01354	K03574
CLBEIFOI_01355	K00620
CLBEIFOI_01356	K03769
CLBEIFOI_01357	K03070
CLBEIFOI_01368	K10538
CLBEIFOI_01377	K12661
CLBEIFOI_01378	K00108
CLBEIFOI_01381	K01436
CLBEIFOI_01383	K00077
CLBEIFOI_01385	K02035
CLBEIFOI_01386	K02033
CLBEIFOI_01387	K02034
CLBEIFOI_01388	K02032
CLBEIFOI_01389	K06978
CLBEIFOI_01391	K03702
CLBEIFOI_01392	K03937
CLBEIFOI_01394	K01652
CLBEIFOI_01397	K09760
CLBEIFOI_01398	K03572
CLBEIFOI_01401	K05607
CLBEIFOI_01402	K00059
CLBEIFOI_01403	K00059
CLBEIFOI_01404	K03592
CLBEIFOI_01405	K01092
CLBEIFOI_01407	K03088
CLBEIFOI_01408	K00574
CLBEIFOI_01411	K00044
CLBEIFOI_01412	K00290
CLBEIFOI_01414	K00123
CLBEIFOI_01415	K12972
CLBEIFOI_01416	K05837
CLBEIFOI_01417	K05515
CLBEIFOI_01419	K03570
CLBEIFOI_01420	K03569
CLBEIFOI_01421	K00315
CLBEIFOI_01423	K02056
CLBEIFOI_01426	K05499
CLBEIFOI_01428	K03338
CLBEIFOI_01430	K01624
CLBEIFOI_01432	K00020
CLBEIFOI_01434	K03335
CLBEIFOI_01435	K03336
CLBEIFOI_01436	K00058
CLBEIFOI_01437	K18652
CLBEIFOI_01438	K03337
CLBEIFOI_01440	K04761
CLBEIFOI_01442	K00315
CLBEIFOI_01443	K00128
CLBEIFOI_01444	K00962
CLBEIFOI_01445	K02956
CLBEIFOI_01449	K03177
CLBEIFOI_01451	K00135
CLBEIFOI_01452	K01432
CLBEIFOI_01453	K01091
CLBEIFOI_01455	K01783
CLBEIFOI_01459	K05799
CLBEIFOI_01462	K03529
CLBEIFOI_01464	K02227
CLBEIFOI_01468	K14155
CLBEIFOI_01469	K01462
CLBEIFOI_01470	K01462
CLBEIFOI_01471	K00604
CLBEIFOI_01473	K03500
CLBEIFOI_01475	K00602
CLBEIFOI_01476	K03101
CLBEIFOI_01478	K17732
CLBEIFOI_01480	K14977
CLBEIFOI_01483	K00121
CLBEIFOI_01486	K07088
CLBEIFOI_01487	K09768
CLBEIFOI_01491	K18798
CLBEIFOI_01492	K11754
CLBEIFOI_01493	K01963
CLBEIFOI_01495	K01687
CLBEIFOI_01499	K00219
CLBEIFOI_01500	K02557
CLBEIFOI_01503	K00953
CLBEIFOI_01504	K02584
CLBEIFOI_01505	K07715
CLBEIFOI_01507	K02409
CLBEIFOI_01508	K02410
CLBEIFOI_01510	K02412
CLBEIFOI_01514	K02416
CLBEIFOI_01515	K02417
CLBEIFOI_01517	K02419
CLBEIFOI_01520	K02401
