OFPGINBK_00002	K01062
OFPGINBK_00404	K03801
OFPGINBK_00405	K00382
OFPGINBK_00406	K01495
OFPGINBK_00407	K09125
OFPGINBK_00408	K01737
OFPGINBK_00409	K10773
OFPGINBK_00418	K01647
OFPGINBK_00422	K21285
OFPGINBK_00424	K06147
OFPGINBK_00428	K01241
OFPGINBK_00429	K01142
OFPGINBK_00432	K03307
OFPGINBK_00434	K19710
OFPGINBK_00435	K02355
OFPGINBK_00437	K00971
OFPGINBK_00439	K06206
OFPGINBK_00441	K00817
OFPGINBK_00444	K00457
OFPGINBK_00447	K00451
OFPGINBK_00451	K03564
OFPGINBK_00454	K00773
OFPGINBK_00455	K04485
OFPGINBK_00457	K03269
OFPGINBK_00462	K00611
OFPGINBK_00463	K03667
OFPGINBK_00464	K01419
OFPGINBK_00465	K04087
OFPGINBK_00466	K04088
OFPGINBK_00469	K03092
OFPGINBK_00470	K06861
OFPGINBK_00472	K03270
OFPGINBK_00473	K01627
OFPGINBK_00479	K01937
OFPGINBK_00480	K00979
OFPGINBK_00481	K02004
OFPGINBK_00482	K02004
OFPGINBK_00483	K02003
OFPGINBK_00485	K12340
OFPGINBK_00486	K00970
OFPGINBK_00488	K07011
OFPGINBK_00492	K03218
OFPGINBK_00498	K01468
OFPGINBK_00499	K01712
OFPGINBK_00501	K02879
OFPGINBK_00502	K03040
OFPGINBK_00503	K02986
OFPGINBK_00504	K02948
OFPGINBK_00505	K02952
OFPGINBK_00506	K02518
OFPGINBK_00507	K01265
OFPGINBK_00508	K03076
OFPGINBK_00509	K02876
OFPGINBK_00511	K02988
OFPGINBK_00512	K02881
OFPGINBK_00513	K02933
OFPGINBK_00514	K02994
OFPGINBK_00515	K02954
OFPGINBK_00516	K02931
OFPGINBK_00517	K02895
OFPGINBK_00518	K02874
OFPGINBK_00519	K02961
OFPGINBK_00521	K02878
OFPGINBK_00522	K02982
OFPGINBK_00523	K02890
OFPGINBK_00524	K02965
OFPGINBK_00525	K02886
OFPGINBK_00526	K02892
OFPGINBK_00527	K02926
OFPGINBK_00528	K02906
OFPGINBK_00529	K02946
OFPGINBK_00530	K02358
OFPGINBK_00531	K02355
OFPGINBK_00532	K02992
OFPGINBK_00533	K02950
OFPGINBK_00534	K03046
OFPGINBK_00535	K03043
OFPGINBK_00536	K02935
OFPGINBK_00537	K02864
OFPGINBK_00538	K02863
OFPGINBK_00539	K02867
OFPGINBK_00540	K02601
OFPGINBK_00543	K02913
OFPGINBK_00544	K02358
OFPGINBK_00547	K03088
OFPGINBK_00553	K10716
OFPGINBK_00555	K00140
OFPGINBK_00556	K00128
OFPGINBK_00557	K16871
OFPGINBK_00558	K00207
OFPGINBK_00559	K01431
OFPGINBK_00560	K01464
OFPGINBK_00561	K14611
OFPGINBK_00562	K03365
OFPGINBK_00563	K00128
OFPGINBK_00565	K14158
OFPGINBK_00566	K09471
OFPGINBK_00567	K01845
OFPGINBK_00568	K06920
OFPGINBK_00571	K01302
OFPGINBK_00578	K01784
OFPGINBK_00580	K07154
OFPGINBK_00582	K19428
OFPGINBK_00592	K01758
OFPGINBK_00593	K03070
OFPGINBK_00594	K03625
OFPGINBK_00595	K00826
OFPGINBK_00596	K00248
OFPGINBK_00597	K00626
OFPGINBK_00598	K06217
OFPGINBK_00607	K02069
OFPGINBK_00609	K07137
OFPGINBK_00611	K01876
OFPGINBK_00613	K02112
OFPGINBK_00614	K02115
OFPGINBK_00615	K02111
OFPGINBK_00617	K02109
OFPGINBK_00619	K02108
OFPGINBK_00624	K03497
OFPGINBK_00625	K03496
OFPGINBK_00629	K00294
OFPGINBK_00630	K00926
OFPGINBK_00631	K01903
OFPGINBK_00632	K01902
OFPGINBK_00633	K00940
OFPGINBK_00638	K03621
OFPGINBK_00639	K00648
OFPGINBK_00640	K00645
OFPGINBK_00641	K00059
OFPGINBK_00643	K02078
OFPGINBK_00644	K09458
OFPGINBK_00645	K03685
OFPGINBK_00646	K08999
OFPGINBK_00647	K15916
OFPGINBK_00648	K13787
OFPGINBK_00649	K01835
OFPGINBK_00651	K04079
OFPGINBK_00654	K06013
OFPGINBK_00655	K07116
OFPGINBK_00657	K07146
OFPGINBK_00658	K07106
OFPGINBK_00659	K02687
OFPGINBK_00660	K00060
OFPGINBK_00662	K00639
OFPGINBK_00663	K02431
OFPGINBK_00665	K12257
OFPGINBK_00666	K03074
OFPGINBK_00668	K00567
OFPGINBK_00670	K08591
OFPGINBK_00675	K03307
OFPGINBK_00677	K07783
OFPGINBK_00678	K01083
OFPGINBK_00682	K03772
OFPGINBK_00684	K01069
OFPGINBK_00690	K07305
OFPGINBK_00698	K07777
OFPGINBK_00699	K02479
OFPGINBK_00703	K06924
OFPGINBK_00705	K01493
OFPGINBK_00707	K11717
OFPGINBK_00709	K02426
OFPGINBK_00710	K09015
OFPGINBK_00711	K09013
OFPGINBK_00712	K09014
OFPGINBK_00713	K22063
OFPGINBK_00716	K01008
OFPGINBK_00717	K21866
OFPGINBK_00718	K00174
OFPGINBK_00719	K00175
OFPGINBK_00720	K01679
OFPGINBK_00721	K05366
OFPGINBK_00722	K11720
OFPGINBK_00736	K01962
OFPGINBK_00738	K03522
OFPGINBK_00739	K03521
OFPGINBK_00741	K16089
OFPGINBK_00742	K19302
OFPGINBK_00747	K01466
OFPGINBK_00748	K01477
OFPGINBK_00749	K13484
OFPGINBK_00751	K07127
OFPGINBK_00757	K01466
OFPGINBK_00758	K18703
OFPGINBK_00759	K05799
OFPGINBK_00760	K01703
OFPGINBK_00761	K01704
OFPGINBK_00762	K12660
OFPGINBK_00764	K00059
OFPGINBK_00765	K01473
OFPGINBK_00766	K01474
OFPGINBK_00769	K00135
OFPGINBK_00770	K08189
OFPGINBK_00773	K01640
OFPGINBK_00774	K01703
OFPGINBK_00775	K01704
OFPGINBK_00780	K03453
OFPGINBK_00782	K00370
OFPGINBK_00784	K00371
OFPGINBK_00787	K16089
OFPGINBK_00792	K04096
OFPGINBK_00793	K03979
OFPGINBK_00794	K00031
OFPGINBK_00796	K00954
OFPGINBK_00801	K03686
OFPGINBK_00802	K03687
OFPGINBK_00803	K09811
OFPGINBK_00804	K09812
OFPGINBK_00805	K07301
OFPGINBK_00806	K00969
OFPGINBK_00815	K00600
OFPGINBK_00819	K00703
OFPGINBK_00821	K05837
OFPGINBK_00822	K05515
OFPGINBK_00824	K03570
OFPGINBK_00825	K03569
OFPGINBK_00827	K07465
OFPGINBK_00830	K03272
OFPGINBK_00832	K00384
OFPGINBK_00833	K03671
OFPGINBK_00837	K03100
OFPGINBK_00838	K03470
OFPGINBK_00839	K02238
OFPGINBK_00840	K03310
OFPGINBK_00841	K01092
OFPGINBK_00845	K01278
OFPGINBK_00846	K21929
OFPGINBK_00848	K03771
OFPGINBK_00849	K01661
OFPGINBK_00850	K01640
OFPGINBK_00851	K01969
OFPGINBK_00854	K01916
OFPGINBK_00855	K01512
OFPGINBK_00856	K01893
OFPGINBK_00859	K03702
OFPGINBK_00864	K21573
OFPGINBK_00873	K01183
OFPGINBK_00879	K09001
OFPGINBK_00880	K08303
OFPGINBK_00881	K02564
OFPGINBK_00884	K13872
OFPGINBK_00885	K01297
OFPGINBK_00886	K08641
OFPGINBK_00887	K06374
OFPGINBK_00888	K06373
OFPGINBK_00889	K01297
OFPGINBK_00890	K07259
OFPGINBK_00891	K01951
OFPGINBK_00893	K14054
OFPGINBK_00894	K01586
OFPGINBK_00896	K02564
OFPGINBK_00898	K11068
OFPGINBK_00903	K06001
OFPGINBK_00905	K03183
OFPGINBK_00906	K19222
OFPGINBK_00907	K02361
OFPGINBK_00909	K02551
OFPGINBK_00910	K01661
OFPGINBK_00911	K02548
OFPGINBK_00916	K01356
OFPGINBK_00918	K02337
OFPGINBK_00919	K07533
OFPGINBK_00928	K06330
OFPGINBK_00938	K00428
OFPGINBK_00944	K01360
OFPGINBK_00954	K18652
OFPGINBK_00955	K22390
OFPGINBK_00957	K02445
OFPGINBK_00958	K08324
OFPGINBK_00959	K13954
OFPGINBK_00966	K05349
OFPGINBK_00970	K12373
OFPGINBK_00974	K05970
OFPGINBK_00978	K01191
OFPGINBK_00983	K03274
OFPGINBK_00985	K03272
OFPGINBK_00992	K03088
OFPGINBK_01002	K04015
OFPGINBK_01004	K07309
OFPGINBK_01008	K00370
OFPGINBK_01009	K00371
OFPGINBK_01011	K00374
OFPGINBK_01012	K02575
OFPGINBK_01013	K02575
OFPGINBK_01014	K07322
OFPGINBK_01016	K04014
OFPGINBK_01022	K02600
OFPGINBK_01023	K02519
OFPGINBK_01025	K03177
OFPGINBK_01026	K11753
OFPGINBK_01027	K02956
OFPGINBK_01028	K00962
OFPGINBK_01029	K00812
OFPGINBK_01034	K19302
OFPGINBK_01037	K01302
OFPGINBK_01038	K14085
OFPGINBK_01039	K03918
OFPGINBK_01040	K07056
OFPGINBK_01041	K00943
OFPGINBK_01042	K03797
OFPGINBK_01046	K01097
OFPGINBK_01047	K00997
OFPGINBK_01048	K17759
OFPGINBK_01050	K03631
OFPGINBK_01051	K00790
OFPGINBK_01052	K03499
OFPGINBK_01053	K03498
OFPGINBK_01054	K01715
OFPGINBK_01056	K19802
OFPGINBK_01057	K05606
OFPGINBK_01058	K03703
OFPGINBK_01071	K09691
OFPGINBK_01072	K09690
OFPGINBK_01075	K00958
OFPGINBK_01076	K16692
OFPGINBK_01087	K06168
OFPGINBK_01090	K00058
OFPGINBK_01091	K01681
OFPGINBK_01093	K06287
OFPGINBK_01094	K15034
OFPGINBK_01096	K03925
OFPGINBK_01097	K03438
OFPGINBK_01099	K03587
OFPGINBK_01100	K01928
OFPGINBK_01101	K01929
OFPGINBK_01102	K01000
OFPGINBK_01103	K01925
OFPGINBK_01104	K03588
OFPGINBK_01105	K02563
OFPGINBK_01106	K01924
OFPGINBK_01107	K00075
OFPGINBK_01109	K03590
OFPGINBK_01110	K03531
OFPGINBK_01111	K02902
OFPGINBK_01117	K03310
OFPGINBK_01121	K01251
OFPGINBK_01122	K00789
OFPGINBK_01124	K00548
OFPGINBK_01128	K01610
OFPGINBK_01129	K04763
OFPGINBK_01130	K06180
OFPGINBK_01131	K03101
OFPGINBK_01133	K01870
OFPGINBK_01134	K04771
OFPGINBK_01138	K04084
OFPGINBK_01139	K07001
OFPGINBK_01140	K03768
OFPGINBK_01141	K00762
OFPGINBK_01142	K01591
OFPGINBK_01144	K14387
OFPGINBK_01146	K06888
OFPGINBK_01148	K11102
OFPGINBK_01149	K06153
OFPGINBK_01150	K11928
OFPGINBK_01152	K03088
OFPGINBK_01160	K01021
OFPGINBK_01163	K14982
OFPGINBK_01164	K03210
OFPGINBK_01165	K01462
OFPGINBK_01166	K00604
OFPGINBK_01167	K03500
OFPGINBK_01171	K03665
OFPGINBK_01172	K05810
OFPGINBK_01176	K00128
OFPGINBK_01182	K05595
OFPGINBK_01183	K01887
OFPGINBK_01184	K09710
OFPGINBK_01187	K00566
OFPGINBK_01188	K04487
OFPGINBK_01193	K03924
OFPGINBK_01194	K06941
OFPGINBK_01195	K01436
OFPGINBK_01197	K00681
OFPGINBK_01198	K00812
OFPGINBK_01199	K01779
OFPGINBK_01201	K13051
OFPGINBK_01202	K01880
OFPGINBK_01204	K03168
OFPGINBK_01207	K01892
OFPGINBK_01210	K04659
OFPGINBK_01214	K07478
OFPGINBK_01215	K01802
OFPGINBK_01221	K13236
OFPGINBK_01227	K07762
OFPGINBK_01229	K07282
OFPGINBK_01237	K01897
OFPGINBK_01241	K03553
OFPGINBK_01244	K01975
OFPGINBK_01245	K03742
OFPGINBK_01246	K01095
OFPGINBK_01247	K00995
OFPGINBK_01248	K06187
OFPGINBK_01249	K09747
OFPGINBK_01250	K02343
OFPGINBK_01254	K18930
OFPGINBK_01258	K07304
OFPGINBK_01259	K00831
OFPGINBK_01261	K03624
OFPGINBK_01269	K03526
OFPGINBK_01272	K07391
OFPGINBK_01275	K00729
OFPGINBK_01276	K03734
OFPGINBK_01288	K03544
OFPGINBK_01289	K01358
OFPGINBK_01302	K01126
OFPGINBK_01303	K03307
OFPGINBK_01306	K16089
OFPGINBK_01309	K03307
OFPGINBK_01310	K01191
OFPGINBK_01321	K15719
OFPGINBK_01323	K03307
OFPGINBK_01327	K05989
OFPGINBK_01330	K15719
OFPGINBK_01340	K01886
OFPGINBK_01341	K01885
OFPGINBK_01346	K01992
OFPGINBK_01347	K01990
OFPGINBK_01349	K01866
OFPGINBK_01350	K03664
OFPGINBK_01353	K01255
OFPGINBK_01355	K01895
OFPGINBK_01357	K06902
OFPGINBK_01361	K07714
OFPGINBK_01366	K03324
OFPGINBK_01367	K03324
OFPGINBK_01374	K01126
OFPGINBK_01375	K01434
OFPGINBK_01378	K01408
OFPGINBK_01380	K00382
OFPGINBK_01381	K00627
OFPGINBK_01382	K00163
OFPGINBK_01385	K16329
OFPGINBK_01388	K06997
OFPGINBK_01389	K02469
OFPGINBK_01390	K02470
OFPGINBK_01392	K03629
OFPGINBK_01393	K02338
OFPGINBK_01395	K03771
OFPGINBK_01397	K03723
OFPGINBK_01398	K03495
OFPGINBK_01399	K01488
OFPGINBK_01400	K01487
OFPGINBK_01401	K13481
OFPGINBK_01402	K00106
OFPGINBK_01403	K07402
OFPGINBK_01406	K01488
OFPGINBK_01407	K01739
OFPGINBK_01413	K13640
OFPGINBK_01426	K03737
OFPGINBK_01427	K03737
OFPGINBK_01433	K05592
OFPGINBK_01434	K06207
OFPGINBK_01437	K03113
OFPGINBK_01449	K02035
OFPGINBK_01450	K13894
OFPGINBK_01451	K13895
OFPGINBK_01454	K02031
OFPGINBK_01455	K02032
OFPGINBK_01456	K08602
OFPGINBK_01463	K01868
OFPGINBK_01464	K02520
OFPGINBK_01465	K02916
OFPGINBK_01466	K02887
OFPGINBK_01467	K01889
OFPGINBK_01468	K01890
OFPGINBK_01471	K01491
OFPGINBK_01475	K01992
OFPGINBK_01476	K01990
OFPGINBK_01485	K17828
OFPGINBK_01486	K03216
OFPGINBK_01487	K03642
OFPGINBK_01488	K04718
OFPGINBK_01489	K00981
OFPGINBK_01499	K10716
OFPGINBK_01500	K12323
OFPGINBK_01501	K02485
OFPGINBK_01502	K02486
OFPGINBK_01504	K22390
OFPGINBK_01508	K07727
OFPGINBK_01509	K03639
OFPGINBK_01510	K01488
OFPGINBK_01511	K03637
OFPGINBK_01512	K07090
OFPGINBK_01513	K03750
OFPGINBK_01514	K11996
OFPGINBK_01517	K03635
OFPGINBK_01519	K14445
OFPGINBK_01523	K09825
OFPGINBK_01524	K03386
OFPGINBK_01525	K16203
OFPGINBK_01528	K03111
OFPGINBK_01529	K00655
OFPGINBK_01532	K01424
OFPGINBK_01533	K03802
OFPGINBK_01534	K13282
OFPGINBK_01537	K03802
OFPGINBK_01538	K13282
OFPGINBK_01541	K13292
OFPGINBK_01549	K01937
OFPGINBK_01552	K07003
OFPGINBK_01555	K00384
OFPGINBK_01571	K00029
OFPGINBK_01575	K19266
OFPGINBK_01576	K01652
OFPGINBK_01577	K00382
OFPGINBK_01583	K00571
OFPGINBK_01585	K03086
OFPGINBK_01586	K01153
OFPGINBK_01587	K03427
OFPGINBK_01603	K01714
OFPGINBK_01604	K00852
OFPGINBK_01605	K06041
OFPGINBK_01612	K01768
OFPGINBK_01613	K02666
OFPGINBK_01623	K07787
OFPGINBK_01625	K14588
OFPGINBK_01630	K15725
OFPGINBK_01632	K03768
OFPGINBK_01633	K03572
OFPGINBK_01634	K13990
OFPGINBK_01636	K04763
OFPGINBK_01637	K03271
OFPGINBK_01638	K17104
OFPGINBK_01639	K02437
OFPGINBK_01640	K01961
OFPGINBK_01641	K02160
OFPGINBK_01642	K02356
OFPGINBK_01645	K03924
OFPGINBK_01649	K04043
OFPGINBK_01650	K03696
OFPGINBK_01651	K09810
OFPGINBK_01652	K09808
OFPGINBK_01653	K09808
OFPGINBK_01654	K04567
OFPGINBK_01655	K02836
OFPGINBK_01656	K03307
OFPGINBK_01657	K04042
OFPGINBK_01662	K07390
OFPGINBK_01673	K00869
OFPGINBK_01674	K01752
OFPGINBK_01678	K02654
OFPGINBK_01679	K02652
OFPGINBK_01680	K02481
OFPGINBK_01681	K02505
OFPGINBK_01685	K01125
OFPGINBK_01689	K11991
OFPGINBK_01690	K06917
OFPGINBK_01703	K00325
OFPGINBK_01704	K00324
OFPGINBK_01705	K00324
OFPGINBK_01710	K02669
OFPGINBK_01720	K02652
OFPGINBK_01721	K02653
OFPGINBK_01724	K01932
OFPGINBK_01725	K22116
OFPGINBK_01731	K01292
OFPGINBK_01736	K03752
OFPGINBK_01737	K11717
OFPGINBK_01738	K03704
OFPGINBK_01739	K01808
OFPGINBK_01740	K00615
OFPGINBK_01741	K01783
OFPGINBK_01742	K09778
OFPGINBK_01743	K01273
OFPGINBK_01744	K00486
OFPGINBK_01745	K01556
OFPGINBK_01746	K03392
OFPGINBK_01747	K00452
OFPGINBK_01748	K09022
OFPGINBK_01751	K00767
OFPGINBK_01752	K00059
OFPGINBK_01753	K00453
OFPGINBK_01755	K06966
OFPGINBK_01760	K09155
OFPGINBK_01767	K00626
OFPGINBK_01768	K07516
OFPGINBK_01769	K01250
OFPGINBK_01770	K14713
OFPGINBK_01777	K00648
OFPGINBK_01784	K08671
OFPGINBK_01788	K19421
OFPGINBK_01790	K01515
OFPGINBK_01791	K18979
OFPGINBK_01796	K03088
OFPGINBK_01797	K00024
OFPGINBK_01798	K02899
OFPGINBK_01799	K02888
OFPGINBK_01800	K08301
OFPGINBK_01802	K00265
OFPGINBK_01804	K21552
OFPGINBK_01805	K01092
OFPGINBK_01807	K03465
OFPGINBK_01808	K03630
OFPGINBK_01809	K11381
OFPGINBK_01811	K01649
OFPGINBK_01812	K00252
OFPGINBK_01813	K08071
OFPGINBK_01815	K03325
OFPGINBK_01822	K19271
OFPGINBK_01825	K03524
OFPGINBK_01827	K01847
OFPGINBK_01828	K05516
OFPGINBK_01836	K15837
OFPGINBK_01837	K00057
OFPGINBK_01850	K01208
OFPGINBK_01854	K00554
OFPGINBK_01855	K02884
OFPGINBK_01857	K01042
OFPGINBK_01858	K02358
OFPGINBK_01859	K03555
OFPGINBK_01861	K16052
OFPGINBK_01863	K13867
OFPGINBK_01864	K00548
OFPGINBK_01865	K01520
OFPGINBK_01866	K04078
OFPGINBK_01867	K04077
OFPGINBK_01868	K02335
OFPGINBK_01869	K01990
OFPGINBK_01872	K01775
OFPGINBK_01881	K00705
OFPGINBK_01882	K00688
OFPGINBK_01884	K01214
OFPGINBK_01885	K01214
OFPGINBK_01890	K03655
OFPGINBK_01892	K01873
OFPGINBK_01894	K02428
OFPGINBK_01901	K09798
OFPGINBK_01918	K01695
OFPGINBK_01919	K01696
OFPGINBK_01920	K01817
OFPGINBK_01921	K01609
OFPGINBK_01922	K00766
OFPGINBK_01923	K01658
OFPGINBK_01924	K01657
OFPGINBK_01926	K01758
OFPGINBK_01927	K01733
OFPGINBK_01928	K00872
OFPGINBK_01929	K00133
OFPGINBK_01930	K12524
OFPGINBK_01931	K00765
OFPGINBK_01932	K00013
OFPGINBK_01933	K00817
OFPGINBK_01935	K01693
OFPGINBK_01936	K02501
OFPGINBK_01937	K01814
OFPGINBK_01938	K02500
OFPGINBK_01939	K11755
OFPGINBK_01940	K01940
OFPGINBK_01941	K01755
OFPGINBK_01942	K00931
OFPGINBK_01943	K00147
OFPGINBK_01944	K00286
OFPGINBK_01945	K01953
OFPGINBK_01946	K01687
OFPGINBK_01947	K01652
OFPGINBK_01948	K01653
OFPGINBK_01949	K01653
OFPGINBK_01950	K00053
OFPGINBK_01951	K00052
OFPGINBK_01952	K01649
OFPGINBK_01953	K01703
OFPGINBK_01954	K01704
OFPGINBK_01955	K01649
OFPGINBK_01957	K18707
OFPGINBK_01958	K06158
OFPGINBK_01959	K09861
OFPGINBK_01961	K00281
OFPGINBK_01963	K07164
OFPGINBK_01964	K07462
OFPGINBK_01965	K00248
OFPGINBK_01966	K07037
OFPGINBK_01968	K02499
OFPGINBK_01973	K02003
OFPGINBK_01981	K17686
OFPGINBK_01982	K01784
OFPGINBK_01984	K07154
OFPGINBK_01989	K00412
OFPGINBK_01997	K07497
OFPGINBK_01998	K04763
OFPGINBK_01999	K00791
OFPGINBK_02000	K02825
OFPGINBK_02001	K00609
OFPGINBK_02002	K01465
OFPGINBK_02003	K02871
OFPGINBK_02004	K02996
OFPGINBK_02005	K02967
OFPGINBK_02006	K02357
OFPGINBK_02007	K09903
OFPGINBK_02008	K02838
OFPGINBK_02009	K00525
OFPGINBK_02013	K03977
OFPGINBK_02018	K03106
OFPGINBK_02022	K19421
OFPGINBK_02023	K10012
OFPGINBK_02025	K01354
OFPGINBK_02028	K09760
OFPGINBK_02030	K03568
OFPGINBK_02031	K13010
OFPGINBK_02034	K00059
OFPGINBK_02035	K21424
OFPGINBK_02036	K01697
OFPGINBK_02041	K01962
OFPGINBK_02042	K02851
OFPGINBK_02044	K00721
OFPGINBK_02045	K00067
OFPGINBK_02053	K03596
OFPGINBK_02054	K14441
OFPGINBK_02055	K03110
OFPGINBK_02056	K00995
OFPGINBK_02057	K16787
OFPGINBK_02058	K02527
OFPGINBK_02060	K02523
OFPGINBK_02061	K03118
OFPGINBK_02062	K07588
OFPGINBK_02063	K07376
OFPGINBK_02065	K00088
OFPGINBK_02066	K01745
OFPGINBK_02068	K03722
OFPGINBK_02069	K21401
OFPGINBK_02071	K03308
OFPGINBK_02073	K09022
OFPGINBK_02075	K01872
OFPGINBK_02078	K00605
OFPGINBK_02079	K03550
OFPGINBK_02080	K01159
OFPGINBK_02087	K07114
OFPGINBK_02088	K03116
OFPGINBK_02090	K17103
OFPGINBK_02091	K01613
OFPGINBK_02092	K04771
OFPGINBK_02093	K06173
OFPGINBK_02096	K03820
OFPGINBK_02097	K07447
OFPGINBK_02099	K00951
OFPGINBK_02100	K02314
OFPGINBK_02101	K21929
OFPGINBK_02103	K00942
OFPGINBK_02105	K03529
OFPGINBK_02108	K01803
OFPGINBK_02109	K00927
OFPGINBK_02112	K00262
OFPGINBK_02115	K00845
OFPGINBK_02117	K01256
OFPGINBK_02119	K21903
OFPGINBK_02124	K19430
OFPGINBK_02129	K18672
OFPGINBK_02130	K00796
OFPGINBK_02131	K03798
OFPGINBK_02132	K00760
OFPGINBK_02133	K04075
OFPGINBK_02134	K01069
OFPGINBK_02136	K02195
OFPGINBK_02138	K01990
OFPGINBK_02140	K02198
OFPGINBK_02142	K01848
OFPGINBK_02143	K06200
OFPGINBK_02144	K01662
OFPGINBK_02145	K08681
OFPGINBK_02146	K06215
OFPGINBK_02147	K03527
